ad_id,version_index,creative_index,video_resolution,video_bitrate,duration_s
1542662291202539,0,0,720x1280,498089,74.67
1324708162884438,0,0,720x1280,1275297,29.95
2118422772240776,0,0,720x1280,244983,8.0
1281960683918283,0,0,720x1280,607284,46.29
1724197118748377,0,0,720x1280,957950,39.23
1007300494972391,0,0,720x1280,1374357,65.64
956692124024564,0,0,720x1280,628999,45.14
1023770803552722,0,0,720x1280,2597091,47.74
941613088747926,0,0,720x1280,607589,43.45
1545545373757343,0,0,720x1280,602498,44.82
982593771083391,0,0,720x1280,1133390,44.95
1470471397608970,0,0,720x1280,543007,32.79
954609790259093,0,0,720x1280,1097060,37.65
2147829419384950,0,0,720x1270,926694,56.79
1459802412348522,0,0,720x1280,938755,40.96
1271072245182250,0,0,720x1280,606843,44.88
26964483843185846,0,0,720x1280,1772303,26.0
1510838230642930,0,0,720x1280,915150,39.81
1888603368477515,0,0,720x1280,1097060,37.65
1484334716724850,0,0,720x1280,1140051,60.35
2012385659367758,0,0,720x1280,941543,52.84
2044839999773285,0,0,720x1280,938755,40.96
1383947583494215,0,0,720x1280,834418,44.59
1558063979656305,0,0,720x1280,1250361,41.26
1290451376083367,0,0,720x1280,498089,74.67
873558985758115,0,0,720x1280,833011,44.76
1383764603589213,0,0,720x1280,1801949,25.75
990067790082865,0,0,720x720,487878,8.08
1244804194191792,0,0,720x1270,923456,58.05
1410583254158330,0,0,720x1270,928164,56.14
990103036720803,0,0,720x1280,1178987,60.54
910631738693945,0,0,720x1280,920718,43.2
35616055594707499,0,0,720x1280,1270351,59.65
1761637955248042,0,0,720x720,202733,8.13
3404871473007544,0,0,720x1280,1391400,61.61
1378914400744740,0,0,720x1280,559010,48.64
1513314403857875,0,0,720x1280,1105371,44.88
863233420161856,0,0,720x1280,1158225,47.55
933714815692813,0,0,720x1280,962143,44.99
1716360766456463,0,0,720x1280,981225,51.37
1448807829637445,0,0,720x1280,1438669,32.81
1440487231130234,0,0,720x1280,602498,44.82
1697902834684350,0,0,720x1280,602498,44.82
1538536904371801,0,0,720x1280,627318,43.71
2927738817566830,0,0,720x1280,859941,56.87
1551214316696728,0,0,720x1280,636691,58.24
4032411253724650,0,0,720x1280,596031,42.88
1319590739598224,0,0,720x1280,559010,48.64
1673722073879679,0,0,720x1280,582698,50.24
962920393089241,0,0,720x1280,1097060,37.65
1694533281791470,0,0,720x1280,833011,44.76
1398691244996445,0,0,720x1280,1062622,60.6
1629149148185749,0,0,720x1280,1253798,51.88
2012900123438878,0,0,720x1280,607589,43.45
1175933374295559,0,0,360x640,244837,28.1
823893853913277,0,0,720x1280,981225,51.37
1810610246280277,0,0,1280x720,830998,60.24
27959016983700695,0,0,720x1280,1093234,48.96
1476773330606036,0,0,720x1280,1952325,65.19
1922940892437204,0,0,720x1280,1050336,44.63
26910824648598388,0,0,720x1280,627318,43.71
1274208157485689,0,0,1280x720,830998,60.24
25506520168976866,0,0,720x1280,1545110,69.38
3482915095217476,0,0,720x1280,1182349,43.39
1716593546422400,0,0,720x1280,1037120,33.24
1032008312493950,0,0,720x1280,2231242,43.39
1610948496652199,0,0,720x1280,1140051,60.35
4422642624690358,0,0,720x1280,1759935,62.12
931656546562920,0,0,720x1280,1046005,30.85
911440421411962,0,0,720x1280,1512138,47.53
856074337114553,0,0,720x1280,597455,42.0
25708460672174884,0,0,720x1280,1050336,44.63
958573573586121,0,0,720x1280,922193,40.96
955183070649190,0,0,720x1280,1040177,33.24
1557206485797910,0,0,720x1280,1803557,25.75
2689205164778706,0,0,720x1280,842862,65.32
990621093352631,0,0,720x1280,1111420,45.16
2509145826184441,0,0,720x1280,1200809,61.59
718234571379170,0,0,720x1280,1282072,35.65
2490566491402542,0,0,720x1280,1592164,42.09
969397399258262,0,0,720x1280,814492,47.83
1343483664648943,0,0,720x1280,1631573,41.49
1532066918300938,0,0,720x1280,1144433,47.87
2152190968965147,0,0,720x1280,1281971,60.0
829706806169021,0,0,720x1280,1088129,56.55
824600273417843,0,0,720x1280,1289757,35.95
2261387548010517,0,0,720x1280,1269831,60.07
1586731656353958,0,0,720x1280,1124851,44.88
2233165930785010,0,0,720x1280,1392560,61.42
996186669659412,0,0,720x1280,1478757,26.99
2408984296280626,0,0,720x1280,1539469,38.89
1017025177512749,0,0,720x1280,1586728,42.99
1459063862660451,0,0,720x1280,1546859,25.79
1364636219033957,0,0,720x1280,934518,34.22
2099085243988558,0,0,360x640,483176,42.54
1500684418055839,0,0,720x1280,1289757,35.95
1484396486622158,0,0,720x1280,1178987,60.54
1001221348906871,0,0,720x1280,1193797,44.69
1504396264684384,0,0,720x1280,1179258,44.41
1744948076945550,0,0,720x1280,1931614,64.08
1285399016659666,0,0,720x1280,2017513,55.32
1812131213254272,0,0,640x360,278440,54.57
874203262356382,0,0,720x1280,1192404,45.12
1359488312753507,0,0,720x1280,1050336,44.63
939016588843645,0,0,1280x720,938180,59.6
