ad_id,version_index,creative_index,video_resolution,video_bitrate,duration_s
1212657180911138,0,0,720x1280,1524672,12.91
908822938160022,0,0,720x1280,1752279,11.63
1414823376812512,0,0,720x1280,1227804,32.25
900964249487648,0,0,720x1280,1024500,15.17
2145402302955929,0,0,720x1280,1323767,11.77
1214331300401198,0,0,720x1280,1341025,22.38
1417738519758197,0,0,720x1280,995347,19.48
1457798545962459,0,0,720x1280,1188470,24.19
1403710238171409,0,0,720x1280,1815151,18.69
895901269731389,0,0,720x1280,1225271,11.77
25674228382269402,0,0,720x1280,1637769,17.94
1505919334867604,0,0,720x1280,1472385,9.39
1228162876124945,0,0,720x1280,1281907,22.38
894945046633710,0,0,720x1280,1160260,12.91
826441597149033,0,0,720x1280,1949557,17.04
1981093915820751,0,0,720x1280,1053904,20.91
1443156474268077,0,0,720x1280,1116322,18.99
1286723966731755,0,0,720x1280,1237729,22.31
2004457904289111,0,0,720x1280,1071784,23.57
1299322238926571,0,0,720x1280,1016738,18.56
1445137293761554,0,0,720x1280,2009584,19.48
1421135246404699,0,0,720x1280,1378096,12.91
1428345402211481,0,0,720x1280,1224128,20.35
1263111225719321,0,0,720x1280,1914553,25.07
1446451490465131,0,0,720x1280,1315020,18.41
834079296351372,0,0,720x1280,1243617,12.91
906064629056046,0,0,720x1280,1243282,19.63
1241603491508608,0,0,720x1280,1923612,20.37
1424324155822363,0,0,720x1280,1047882,13.01
937128972045324,0,0,720x1280,1009918,15.55
1345444240674582,0,0,720x1280,1259689,21.59
