ad_id,script_group_id,group_size,variant_role,replication_type,text_similarity
1001357272270495,english-seekho-g0000,102,replica,visual_variant,0.441
1008293012135432,english-seekho-g0000,102,original,original,
1011307304820369,english-seekho-g0000,102,replica,character_variant,0.035
1013181651239799,english-seekho-g0000,102,replica,visual_variant,0.326
1013668457726942,english-seekho-g0000,102,replica,character_variant,0.044
1013834224460527,english-seekho-g0000,102,replica,character_variant,0.324
1018262830627096,english-seekho-g0000,102,replica,character_variant,0.017
1021980153536343,english-seekho-g0000,102,replica,character_variant,0.083
1022674277084766,english-seekho-g0000,102,replica,exact_replica,1.000
1023295656811984,english-seekho-g0000,102,replica,reworded_replica,0.050
1024869819880376,english-seekho-g0000,102,replica,character_variant,0.134
1028046746241190,english-seekho-g0000,102,replica,reworded_replica,0.334
1033915609199890,english-seekho-g0000,102,replica,visual_variant,0.057
1045990277761082,english-seekho-g0000,102,replica,translation_replica,0.021
1055425796917432,english-seekho-g0000,102,replica,character_variant,0.321
1069394115515801,english-seekho-g0000,102,replica,character_variant,0.041
1300169945614322,english-seekho-g0000,102,replica,character_variant,0.340
1309536078044009,english-seekho-g0000,102,replica,visual_variant,0.072
1313747330354233,english-seekho-g0000,102,replica,visual_variant,0.046
1318793436483983,english-seekho-g0000,102,replica,character_variant,0.133
1325748155804834,english-seekho-g0000,102,replica,reworded_replica,0.030
1330007445767303,english-seekho-g0000,102,replica,character_variant,0.327
1333487312060975,english-seekho-g0000,102,replica,character_variant,0.034
1337582304971119,english-seekho-g0000,102,replica,reworded_replica,0.039
1341026564866825,english-seekho-g0000,102,replica,visual_variant,0.133
1353647783548641,english-seekho-g0000,102,replica,visual_variant,0.063
1356285063214825,english-seekho-g0000,102,replica,visual_variant,0.325
1357436906281518,english-seekho-g0000,102,replica,visual_variant,0.325
1366851648954243,english-seekho-g0000,102,replica,character_variant,0.044
1383705140289874,english-seekho-g0000,102,replica,character_variant,0.058
1389687782990041,english-seekho-g0000,102,replica,visual_variant,0.044
1436524178516846,english-seekho-g0000,102,replica,visual_variant,0.029
1473725044062857,english-seekho-g0000,102,replica,character_variant,0.324
1481600617048122,english-seekho-g0000,102,replica,reworded_replica,0.467
1490787835910342,english-seekho-g0000,102,replica,character_variant,0.125
1490991088886116,english-seekho-g0000,102,replica,reworded_replica,0.513
1493798311856053,english-seekho-g0000,102,replica,visual_variant,0.441
1500481334881968,english-seekho-g0000,102,replica,visual_variant,0.128
1513255320189298,english-seekho-g0000,102,replica,character_variant,0.125
1513521240502710,english-seekho-g0000,102,replica,visual_variant,0.441
1520726159399023,english-seekho-g0000,102,replica,translation_replica,0.031
1528298082022266,english-seekho-g0000,102,replica,visual_variant,0.026
1541787580770336,english-seekho-g0000,102,replica,character_variant,0.453
1542133587364460,english-seekho-g0000,102,replica,visual_variant,0.324
1551480519924408,english-seekho-g0000,102,replica,character_variant,0.038
1555436146233455,english-seekho-g0000,102,replica,character_variant,0.325
1556117122696788,english-seekho-g0000,102,replica,visual_variant,0.437
1576350230571641,english-seekho-g0000,102,replica,reworded_replica,0.473
1602379751895886,english-seekho-g0000,102,replica,character_variant,0.125
1608575014603598,english-seekho-g0000,102,replica,reworded_replica,0.044
1631658434604080,english-seekho-g0000,102,replica,visual_variant,0.441
1649960252894658,english-seekho-g0000,102,replica,reworded_replica,0.037
1651270955950318,english-seekho-g0000,102,replica,character_variant,0.485
1699700921215417,english-seekho-g0000,102,replica,character_variant,0.044
1702417277734069,english-seekho-g0000,102,replica,character_variant,0.336
1725152981831904,english-seekho-g0000,102,replica,reworded_replica,0.078
1726702032101827,english-seekho-g0000,102,replica,visual_variant,0.047
1728535624842006,english-seekho-g0000,102,replica,reworded_replica,0.035
1864845014476554,english-seekho-g0000,102,replica,visual_variant,0.486
1903419580318637,english-seekho-g0000,102,replica,character_variant,0.321
1929680877700827,english-seekho-g0000,102,replica,reworded_replica,0.296
2019647642315445,english-seekho-g0000,102,replica,visual_variant,0.016
2024160915187386,english-seekho-g0000,102,replica,character_variant,0.439
2058788614731278,english-seekho-g0000,102,replica,reworded_replica,0.338
2075965949653375,english-seekho-g0000,102,replica,character_variant,0.325
2106465080285398,english-seekho-g0000,102,replica,visual_variant,0.485
2107970230600044,english-seekho-g0000,102,replica,translation_replica,0.029
2158550408262628,english-seekho-g0000,102,replica,visual_variant,0.068
2225673594942685,english-seekho-g0000,102,replica,visual_variant,0.322
2260187944721046,english-seekho-g0000,102,replica,visual_variant,0.076
2349007295629898,english-seekho-g0000,102,replica,character_variant,0.044
2455706111536072,english-seekho-g0000,102,replica,visual_variant,0.483
2483997988715225,english-seekho-g0000,102,replica,character_variant,0.134
2526497024482485,english-seekho-g0000,102,replica,character_variant,0.126
2537354666679942,english-seekho-g0000,102,replica,visual_variant,0.076
2591689004608802,english-seekho-g0000,102,replica,visual_variant,0.029
27073408298955034,english-seekho-g0000,102,replica,character_variant,0.047
27136057009379982,english-seekho-g0000,102,replica,visual_variant,0.031
3024940101191521,english-seekho-g0000,102,replica,character_variant,0.041
3322498811288102,english-seekho-g0000,102,replica,visual_variant,0.047
4066131160354420,english-seekho-g0000,102,replica,visual_variant,0.038
4415426418702988,english-seekho-g0000,102,replica,character_variant,0.068
4488104131411551,english-seekho-g0000,102,replica,visual_variant,0.033
4551442688514124,english-seekho-g0000,102,replica,character_variant,0.017
5354912531399950,english-seekho-g0000,102,replica,character_variant,0.134
773037125897340,english-seekho-g0000,102,replica,character_variant,0.058
783311214748224,english-seekho-g0000,102,replica,visual_variant,0.126
802553552808088,english-seekho-g0000,102,replica,visual_variant,0.067
884539008014653,english-seekho-g0000,102,replica,reworded_replica,0.031
907474865691545,english-seekho-g0000,102,replica,reworded_replica,0.120
941734938861838,english-seekho-g0000,102,replica,reworded_replica,0.050
956807577314315,english-seekho-g0000,102,replica,visual_variant,0.496
977778404882183,english-seekho-g0000,102,replica,exact_replica,1.000
980617561559297,english-seekho-g0000,102,replica,character_variant,0.297
982252277769319,english-seekho-g0000,102,replica,translation_replica,0.038
985323620546558,english-seekho-g0000,102,replica,character_variant,0.127
985533387662266,english-seekho-g0000,102,replica,character_variant,0.133
993724173607458,english-seekho-g0000,102,replica,visual_variant,0.066
995219973120049,english-seekho-g0000,102,replica,translation_replica,0.075
998839265829186,english-seekho-g0000,102,replica,translation_replica,0.032
999219592865985,english-seekho-g0000,102,replica,reworded_replica,0.316
999972472416365,english-seekho-g0000,102,replica,visual_variant,0.126
1004112128872943,english-seekho-g0001,30,replica,reworded_replica,0.256
1126978040496998,english-seekho-g0001,30,original,original,
1283358550592107,english-seekho-g0001,30,replica,reworded_replica,0.137
1395351685758863,english-seekho-g0001,30,replica,visual_variant,0.143
1499606681634983,english-seekho-g0001,30,replica,exact_replica,1.000
1514896193659204,english-seekho-g0001,30,replica,reworded_replica,0.127
1619768796177619,english-seekho-g0001,30,replica,reworded_replica,0.392
1631458994582084,english-seekho-g0001,30,replica,reworded_replica,0.188
1637911940656686,english-seekho-g0001,30,replica,reworded_replica,0.142
1669005917711876,english-seekho-g0001,30,replica,visual_variant,0.431
1690865141916250,english-seekho-g0001,30,replica,visual_variant,0.372
1720610582305471,english-seekho-g0001,30,replica,reworded_replica,0.220
1926566638060333,english-seekho-g0001,30,replica,reworded_replica,0.053
2011104622816471,english-seekho-g0001,30,replica,reworded_replica,0.127
2018888478732564,english-seekho-g0001,30,replica,reworded_replica,0.127
2033652774241263,english-seekho-g0001,30,replica,reworded_replica,0.425
2092207258026410,english-seekho-g0001,30,replica,translation_replica,0.061
2225190144952040,english-seekho-g0001,30,replica,reworded_replica,0.142
2417947832017509,english-seekho-g0001,30,replica,reworded_replica,0.093
2592420044570072,english-seekho-g0001,30,replica,visual_variant,0.307
26760057663622875,english-seekho-g0001,30,replica,reworded_replica,0.178
2755888441437155,english-seekho-g0001,30,replica,reworded_replica,0.127
4348893292057982,english-seekho-g0001,30,replica,reworded_replica,0.192
865821879200159,english-seekho-g0001,30,replica,reworded_replica,0.180
880903308358300,english-seekho-g0001,30,replica,reworded_replica,0.405
949474424515743,english-seekho-g0001,30,replica,reworded_replica,0.079
954032054280252,english-seekho-g0001,30,replica,visual_variant,0.459
960878673578943,english-seekho-g0001,30,replica,reworded_replica,0.159
970350219192232,english-seekho-g0001,30,replica,reworded_replica,0.079
976998408541407,english-seekho-g0001,30,replica,reworded_replica,0.195
1043816221481981,english-seekho-g0002,27,replica,reworded_replica,0.074
1147815504196202,english-seekho-g0002,27,replica,visual_variant,0.679
1181778644138684,english-seekho-g0002,27,replica,visual_variant,0.714
1232981315449845,english-seekho-g0002,27,replica,visual_variant,0.035
1305985317637766,english-seekho-g0002,27,original,original,
1406691644630557,english-seekho-g0002,27,replica,visual_variant,0.071
1522677949449657,english-seekho-g0002,27,replica,visual_variant,0.058
1545268820543987,english-seekho-g0002,27,replica,reworded_replica,0.165
1636577990607766,english-seekho-g0002,27,replica,translation_replica,0.073
1653589995874727,english-seekho-g0002,27,replica,visual_variant,0.419
1706068323752314,english-seekho-g0002,27,replica,reworded_replica,0.893
1732125901478288,english-seekho-g0002,27,replica,visual_variant,0.066
1755395445839518,english-seekho-g0002,27,replica,visual_variant,0.050
1790759518556749,english-seekho-g0002,27,replica,visual_variant,0.750
2061280504770026,english-seekho-g0002,27,replica,visual_variant,0.060
2077287970338884,english-seekho-g0002,27,replica,visual_variant,0.754
2335189793892390,english-seekho-g0002,27,replica,visual_variant,0.834
2490626478079076,english-seekho-g0002,27,replica,visual_variant,0.061
3043686939135142,english-seekho-g0002,27,replica,visual_variant,0.080
4548966068665938,english-seekho-g0002,27,replica,visual_variant,0.055
835603072955889,english-seekho-g0002,27,replica,exact_replica,1.000
876287251448118,english-seekho-g0002,27,replica,visual_variant,0.679
968883082730315,english-seekho-g0002,27,replica,exact_replica,1.000
981094987898584,english-seekho-g0002,27,replica,exact_replica,0.901
983636504265617,english-seekho-g0002,27,replica,visual_variant,0.071
988759547228396,english-seekho-g0002,27,replica,visual_variant,0.358
990597490610841,english-seekho-g0002,27,replica,visual_variant,0.185
1003514292166877,english-seekho-g0003,21,replica,translation_replica,0.024
1016711277501426,english-seekho-g0003,21,replica,translation_replica,0.034
1033103892989144,english-seekho-g0003,21,replica,translation_replica,0.042
1132903655640672,english-seekho-g0003,21,original,original,
1309510511121100,english-seekho-g0003,21,replica,reworded_replica,0.137
1343543300957920,english-seekho-g0003,21,replica,translation_replica,0.031
1385952640022072,english-seekho-g0003,21,replica,translation_replica,0.031
1463686805063835,english-seekho-g0003,21,replica,translation_replica,0.029
1603965631335488,english-seekho-g0003,21,replica,translation_replica,0.050
1698486967975301,english-seekho-g0003,21,replica,translation_replica,0.024
1719939115662673,english-seekho-g0003,21,replica,translation_replica,0.029
1948206473241244,english-seekho-g0003,21,replica,reworded_replica,0.137
2415054118998787,english-seekho-g0003,21,replica,translation_replica,0.027
2613169722474233,english-seekho-g0003,21,replica,translation_replica,0.038
27364573159862444,english-seekho-g0003,21,replica,translation_replica,0.031
4045096479121226,english-seekho-g0003,21,replica,translation_replica,0.102
4595374774118114,english-seekho-g0003,21,replica,translation_replica,0.027
742546498851380,english-seekho-g0003,21,replica,translation_replica,0.050
873021038754328,english-seekho-g0003,21,replica,translation_replica,0.052
954483154257513,english-seekho-g0003,21,replica,translation_replica,0.027
963571616506535,english-seekho-g0003,21,replica,translation_replica,0.029
1005257525198925,english-seekho-g0004,21,replica,character_variant,0.035
1176956084747598,english-seekho-g0004,21,replica,reworded_replica,0.796
1371188878397753,english-seekho-g0004,21,replica,visual_variant,0.874
1399469045648797,english-seekho-g0004,21,replica,reworded_replica,0.031
1484554966327969,english-seekho-g0004,21,replica,character_variant,0.939
1485257069470905,english-seekho-g0004,21,replica,reworded_replica,0.031
1525891568990663,english-seekho-g0004,21,original,original,
1568452348192437,english-seekho-g0004,21,replica,reworded_replica,0.239
1762683425102280,english-seekho-g0004,21,replica,translation_replica,0.102
1776427543722557,english-seekho-g0004,21,replica,visual_variant,0.874
1965576304350514,english-seekho-g0004,21,replica,visual_variant,0.874
2441724282959846,english-seekho-g0004,21,replica,reworded_replica,0.034
2738800799813855,english-seekho-g0004,21,replica,visual_variant,0.072
3745166842290933,english-seekho-g0004,21,replica,translation_replica,0.107
4424025224584940,english-seekho-g0004,21,replica,character_variant,0.826
841014529015757,english-seekho-g0004,21,replica,visual_variant,0.242
865120769995614,english-seekho-g0004,21,replica,translation_replica,0.102
952034237314249,english-seekho-g0004,21,replica,character_variant,0.147
986194637611101,english-seekho-g0004,21,replica,character_variant,0.814
987991557547588,english-seekho-g0004,21,replica,reworded_replica,0.034
990018286870707,english-seekho-g0004,21,replica,character_variant,0.939
1008376008280324,english-seekho-g0005,19,replica,exact_replica,1.000
1025514597085693,english-seekho-g0005,19,replica,exact_replica,0.908
1035891969103163,english-seekho-g0005,19,replica,translation_replica,0.025
1307637824670207,english-seekho-g0005,19,original,original,
1555200289554353,english-seekho-g0005,19,replica,reworded_replica,0.822
1616161116147111,english-seekho-g0005,19,replica,reworded_replica,0.778
1676469613688542,english-seekho-g0005,19,replica,exact_replica,0.938
2022316295339015,english-seekho-g0005,19,replica,visual_variant,0.892
2055782472016906,english-seekho-g0005,19,replica,translation_replica,0.034
2239797586835770,english-seekho-g0005,19,replica,reworded_replica,0.827
2501343360304887,english-seekho-g0005,19,replica,visual_variant,0.796
3517643978389637,english-seekho-g0005,19,replica,translation_replica,0.039
3539960019475278,english-seekho-g0005,19,replica,reworded_replica,0.778
4526978114291365,english-seekho-g0005,19,replica,visual_variant,0.819
4555657601319784,english-seekho-g0005,19,replica,visual_variant,0.682
861399523217538,english-seekho-g0005,19,replica,exact_replica,0.978
990254637064965,english-seekho-g0005,19,replica,exact_replica,0.926
992773516690548,english-seekho-g0005,19,replica,exact_replica,1.000
998909686118850,english-seekho-g0005,19,replica,reworded_replica,0.783
1016415150793716,english-seekho-g0006,19,replica,reworded_replica,0.507
1026281803080676,english-seekho-g0006,19,replica,reworded_replica,0.770
1352224066791360,english-seekho-g0006,19,replica,exact_replica,0.944
1364520442219315,english-seekho-g0006,19,replica,reworded_replica,0.076
1491418492197050,english-seekho-g0006,19,replica,exact_replica,0.922
1494902855983792,english-seekho-g0006,19,replica,exact_replica,0.927
1533133661531012,english-seekho-g0006,19,replica,reworded_replica,0.733
1542093714195929,english-seekho-g0006,19,replica,reworded_replica,0.604
1715109379839037,english-seekho-g0006,19,replica,reworded_replica,0.697
1733263277722198,english-seekho-g0006,19,replica,exact_replica,0.941
1736842965112021,english-seekho-g0006,19,replica,character_variant,0.448
1777868353380885,english-seekho-g0006,19,replica,reworded_replica,0.631
2023887941855843,english-seekho-g0006,19,original,original,
2173731296805171,english-seekho-g0006,19,replica,reworded_replica,0.373
2198319764373917,english-seekho-g0006,19,replica,reworded_replica,0.754
2829567170770163,english-seekho-g0006,19,replica,reworded_replica,0.358
897376420053123,english-seekho-g0006,19,replica,reworded_replica,0.697
974520208678074,english-seekho-g0006,19,replica,character_variant,0.829
975980368393351,english-seekho-g0006,19,replica,reworded_replica,0.650
1281336507021529,english-seekho-g0007,15,original,original,
1302516825430257,english-seekho-g0007,15,replica,translation_replica,0.140
1467890751279753,english-seekho-g0007,15,replica,visual_variant,0.742
1503697738097799,english-seekho-g0007,15,replica,reworded_replica,0.619
1504911954989241,english-seekho-g0007,15,replica,visual_variant,0.726
1523983375767554,english-seekho-g0007,15,replica,reworded_replica,0.425
1526116959237145,english-seekho-g0007,15,replica,character_variant,0.115
1549761863456981,english-seekho-g0007,15,replica,exact_replica,1.000
2456598014858856,english-seekho-g0007,15,replica,translation_replica,0.112
27327075786913978,english-seekho-g0007,15,replica,character_variant,0.621
4369199030000784,english-seekho-g0007,15,replica,exact_replica,1.000
841687008985481,english-seekho-g0007,15,replica,reworded_replica,0.740
842280601796121,english-seekho-g0007,15,replica,reworded_replica,0.450
883032468164104,english-seekho-g0007,15,replica,reworded_replica,0.636
991759129902174,english-seekho-g0007,15,replica,reworded_replica,0.450
1011300708130761,english-seekho-g0008,11,replica,visual_variant,0.119
1054948106795031,english-seekho-g0008,11,original,original,
1445447133927643,english-seekho-g0008,11,replica,visual_variant,0.486
1541923423962810,english-seekho-g0008,11,replica,reworded_replica,0.496
1683181803008249,english-seekho-g0008,11,replica,visual_variant,0.119
1905133330090659,english-seekho-g0008,11,replica,reworded_replica,0.521
2056613488574281,english-seekho-g0008,11,replica,visual_variant,0.119
2468895176912539,english-seekho-g0008,11,replica,visual_variant,0.119
3887006608101122,english-seekho-g0008,11,replica,visual_variant,0.488
4379825375635044,english-seekho-g0008,11,replica,reworded_replica,0.778
835839852482522,english-seekho-g0008,11,replica,visual_variant,0.121
1013965144742380,english-seekho-g0009,11,replica,reworded_replica,0.306
1289467059618283,english-seekho-g0009,11,replica,character_variant,0.437
1304663088473953,english-seekho-g0009,11,original,original,
1487410989520803,english-seekho-g0009,11,replica,exact_replica,1.000
1811538746955560,english-seekho-g0009,11,replica,character_variant,0.112
1896094514425192,english-seekho-g0009,11,replica,reworded_replica,0.501
1926900574736867,english-seekho-g0009,11,replica,exact_replica,1.000
2026561875402149,english-seekho-g0009,11,replica,character_variant,0.402
3014596585598444,english-seekho-g0009,11,replica,reworded_replica,0.501
976247658643508,english-seekho-g0009,11,replica,reworded_replica,0.501
992294803309079,english-seekho-g0009,11,replica,exact_replica,0.930
