ad_id,script_group_id,group_size,variant_role,replication_type,text_similarity
1003719535314984,mysivi-g0000,112,replica,translation_replica,0.044
1212127940752948,mysivi-g0000,112,replica,translation_replica,0.167
1463906051777866,mysivi-g0000,112,replica,translation_replica,0.024
1499961814988586,mysivi-g0000,112,replica,translation_replica,0.071
1594922091609640,mysivi-g0000,112,replica,translation_replica,0.044
1706610454090939,mysivi-g0000,112,replica,translation_replica,0.082
1824308365205197,mysivi-g0000,112,replica,translation_replica,0.167
1919377688693567,mysivi-g0000,112,replica,translation_replica,0.071
2057001265231638,mysivi-g0000,112,replica,translation_replica,0.017
2187708092043586,mysivi-g0000,112,replica,translation_replica,0.107
2187985138676728,mysivi-g0000,112,replica,translation_replica,0.167
2495643760892894,mysivi-g0000,112,replica,translation_replica,0.044
809446541711698,mysivi-g0000,112,replica,translation_replica,0.071
828046342935469,mysivi-g0000,112,replica,translation_replica,0.167
929288733053067,mysivi-g0000,112,replica,translation_replica,0.143
1001707738963676,mysivi-g0000,112,original,original,
1015907504329532,mysivi-g0000,112,replica,translation_replica,0.132
1018987467129308,mysivi-g0000,112,replica,translation_replica,0.206
1146573297659532,mysivi-g0000,112,replica,translation_replica,0.149
1257723099480067,mysivi-g0000,112,replica,translation_replica,0.081
1263262909291174,mysivi-g0000,112,replica,translation_replica,0.065
1271807964925842,mysivi-g0000,112,replica,translation_replica,0.218
1272952361273336,mysivi-g0000,112,replica,translation_replica,0.206
1285990649669186,mysivi-g0000,112,replica,translation_replica,0.139
1287804709503036,mysivi-g0000,112,replica,translation_replica,0.075
1300014528301734,mysivi-g0000,112,replica,visual_variant,0.052
1309794577224111,mysivi-g0000,112,replica,visual_variant,0.223
1318480437075234,mysivi-g0000,112,replica,visual_variant,0.204
1322744639755965,mysivi-g0000,112,replica,translation_replica,0.152
1328346785805810,mysivi-g0000,112,replica,translation_replica,0.075
1350633686991222,mysivi-g0000,112,replica,translation_replica,0.056
1353281539974463,mysivi-g0000,112,replica,translation_replica,0.081
1355392709825401,mysivi-g0000,112,replica,translation_replica,0.092
1360759119207161,mysivi-g0000,112,replica,translation_replica,0.065
1377971844172092,mysivi-g0000,112,replica,translation_replica,0.206
1428151732403427,mysivi-g0000,112,replica,visual_variant,0.223
1433463448462695,mysivi-g0000,112,replica,translation_replica,0.227
