ad_id,script_group_id,group_size,variant_role,replication_type,text_similarity
1271072245182250,pw-talk-g0000,7,original,original,
1281960683918283,pw-talk-g0000,7,replica,visual_variant,0.350
1538536904371801,pw-talk-g0000,7,replica,visual_variant,0.049
2012900123438878,pw-talk-g0000,7,replica,visual_variant,0.395
26910824648598388,pw-talk-g0000,7,replica,visual_variant,0.049
941613088747926,pw-talk-g0000,7,replica,visual_variant,0.395
956692124024564,pw-talk-g0000,7,replica,visual_variant,0.346
1290451376083367,pw-talk-g0001,7,replica,exact_replica,1.000
1542662291202539,pw-talk-g0001,7,original,original,
1551214316696728,pw-talk-g0001,7,replica,reworded_replica,0.164
1673722073879679,pw-talk-g0001,7,replica,reworded_replica,0.233
4032411253724650,pw-talk-g0001,7,replica,reworded_replica,0.145
794561180289136,pw-talk-g0001,7,replica,reworded_replica,0.389
856074337114553,pw-talk-g0001,7,replica,visual_variant,0.273
1513314403857875,pw-talk-g0002,6,replica,reworded_replica,0.724
1586731656353958,pw-talk-g0002,6,replica,reworded_replica,0.728
1694533281791470,pw-talk-g0002,6,replica,visual_variant,0.391
873558985758115,pw-talk-g0002,6,replica,visual_variant,0.391
982593771083391,pw-talk-g0002,6,original,original,
990621093352631,pw-talk-g0002,6,replica,reworded_replica,0.381
1165795875730721,pw-talk-g0003,4,original,original,
1337220371117503,pw-talk-g0003,4,replica,reworded_replica,0.030
1545955853653859,pw-talk-g0003,4,replica,reworded_replica,0.051
1833591784277010,pw-talk-g0003,4,replica,reworded_replica,0.680
1017025177512749,pw-talk-g0004,3,original,original,
1343483664648943,pw-talk-g0004,3,replica,reworded_replica,0.747
2490566491402542,pw-talk-g0004,3,replica,reworded_replica,0.622
1244804194191792,pw-talk-g0005,3,original,original,
1410583254158330,pw-talk-g0005,3,replica,reworded_replica,0.797
1477133837198003,pw-talk-g0005,3,replica,reworded_replica,0.797
1359488312753507,pw-talk-g0006,3,original,original,
1922940892437204,pw-talk-g0006,3,replica,exact_replica,1.000
25708460672174884,pw-talk-g0006,3,replica,exact_replica,1.000
1383764603589213,pw-talk-g0007,3,replica,reworded_replica,0.720
1557206485797910,pw-talk-g0007,3,replica,reworded_replica,0.616
26964483843185846,pw-talk-g0007,3,original,original,
1419619376634665,pw-talk-g0008,3,replica,exact_replica,1.000
1484396486622158,pw-talk-g0008,3,original,original,
990103036720803,pw-talk-g0008,3,replica,exact_replica,1.000
1440487231130234,pw-talk-g0009,3,replica,exact_replica,1.000
1545545373757343,pw-talk-g0009,3,original,original,
1697902834684350,pw-talk-g0009,3,replica,exact_replica,1.000
1459802412348522,pw-talk-g0010,3,original,original,
2044839999773285,pw-talk-g0010,3,replica,exact_replica,1.000
958573573586121,pw-talk-g0010,3,replica,exact_replica,0.938
1481417903730539,pw-talk-g0011,3,original,original,
1995190501114135,pw-talk-g0011,3,replica,character_variant,0.152
3300601286799572,pw-talk-g0011,3,replica,character_variant,0.601
1500684418055839,pw-talk-g0012,3,original,original,
718234571379170,pw-talk-g0012,3,replica,visual_variant,0.578
824600273417843,pw-talk-g0012,3,replica,exact_replica,1.000
1532066918300938,pw-talk-g0013,3,original,original,
863233420161856,pw-talk-g0013,3,replica,reworded_replica,0.498
969397399258262,pw-talk-g0013,3,replica,visual_variant,0.518
1713215196773751,pw-talk-g0014,3,original,original,
2468284430277467,pw-talk-g0014,3,replica,reworded_replica,0.227
3004045323138221,pw-talk-g0014,3,replica,reworded_replica,0.223
1716360766456463,pw-talk-g0015,3,original,original,
1975446566468610,pw-talk-g0015,3,replica,exact_replica,1.000
823893853913277,pw-talk-g0015,3,replica,exact_replica,1.000
1724197118748377,pw-talk-g0016,3,original,original,
27245669081785604,pw-talk-g0016,3,replica,exact_replica,1.000
910631738693945,pw-talk-g0016,3,replica,reworded_replica,0.016
1888603368477515,pw-talk-g0017,3,original,original,
954609790259093,pw-talk-g0017,3,replica,exact_replica,1.000
962920393089241,pw-talk-g0017,3,replica,exact_replica,1.000
1001221348906871,pw-talk-g0018,2,original,original,
874203262356382,pw-talk-g0018,2,replica,reworded_replica,0.260
1032008312493950,pw-talk-g0019,2,original,original,
3482915095217476,pw-talk-g0019,2,replica,visual_variant,0.318
1274208157485689,pw-talk-g0020,2,original,original,
1810610246280277,pw-talk-g0020,2,replica,exact_replica,1.000
1319590739598224,pw-talk-g0021,2,original,original,
