ad_id,script_group_id,group_size,variant_role,replication_type,text_similarity
1354159723277515,speakeasy-g0000,5,original,original,
1505439874403686,speakeasy-g0000,5,replica,reworded_replica,0.311
2513169462430169,speakeasy-g0000,5,replica,reworded_replica,0.468
2530265374081304,speakeasy-g0000,5,replica,reworded_replica,0.360
4532421870373347,speakeasy-g0000,5,replica,reworded_replica,0.245
1003649275414638,speakeasy-g0001,4,original,original,
1459277669338335,speakeasy-g0001,4,replica,reworded_replica,0.649
1782202363157939,speakeasy-g0001,4,replica,reworded_replica,0.676
832059772860621,speakeasy-g0001,4,replica,reworded_replica,0.740
2016516622275043,speakeasy-g0002,4,original,original,
2906298679721315,speakeasy-g0002,4,replica,reworded_replica,0.025
972795661907348,speakeasy-g0002,4,replica,reworded_replica,0.397
979539158020932,speakeasy-g0002,4,replica,reworded_replica,0.576
1026365906522740,speakeasy-g0003,3,original,original,
1324292329831050,speakeasy-g0003,3,replica,reworded_replica,0.713
1329522652574885,speakeasy-g0003,3,replica,reworded_replica,0.642
1338695088149217,speakeasy-g0004,3,original,original,
1670693267577856,speakeasy-g0004,3,replica,character_variant,0.033
2046215799301881,speakeasy-g0004,3,replica,reworded_replica,0.089
1749757829714015,speakeasy-g0005,3,original,original,
4233618053522585,speakeasy-g0005,3,replica,reworded_replica,0.166
881778314332597,speakeasy-g0005,3,replica,reworded_replica,0.258
1004243468673350,speakeasy-g0006,2,original,original,
989566713658308,speakeasy-g0006,2,replica,exact_replica,1.000
1274918781380927,speakeasy-g0007,2,original,original,
1366251452036374,speakeasy-g0007,2,replica,reworded_replica,0.614
1375633121052920,speakeasy-g0008,2,original,original,
1674688393676148,speakeasy-g0008,2,replica,reworded_replica,0.380
1528971672204383,speakeasy-g0009,2,original,original,
2477522462687760,speakeasy-g0009,2,replica,reworded_replica,0.679
1709927423521021,speakeasy-g0010,2,original,original,
2150914032432455,speakeasy-g0010,2,replica,reworded_replica,0.020
1921299865193505,speakeasy-g0011,2,original,original,
947802114906536,speakeasy-g0011,2,replica,exact_replica,1.000
2099249430662365,speakeasy-g0012,2,original,original,
4143356245955538,speakeasy-g0012,2,replica,visual_variant,0.041
2108488899728525,speakeasy-g0013,2,original,original,
889233933501921,speakeasy-g0013,2,replica,reworded_replica,0.500
2230483907768260,speakeasy-g0014,2,original,original,
27046815901606274,speakeasy-g0014,2,replica,reworded_replica,0.690
2502975900173757,speakeasy-g0015,2,original,original,
874722785094358,speakeasy-g0015,2,replica,reworded_replica,0.344
1010463461343787,speakeasy-g0016,1,original,unique,
1011965198455335,speakeasy-g0017,1,original,unique,
1013230951086366,speakeasy-g0018,1,original,unique,
1023353213520872,speakeasy-g0019,1,original,unique,
1023399443469525,speakeasy-g0020,1,original,unique,
1028672456571398,speakeasy-g0021,1,original,unique,
1028713099962693,speakeasy-g0022,1,original,unique,
1029393612916848,speakeasy-g0023,1,original,unique,
1031572926061825,speakeasy-g0024,1,original,unique,
1033786642642767,speakeasy-g0025,1,original,unique,
1044795624562796,speakeasy-g0026,1,original,unique,
1168131235478527,speakeasy-g0027,1,original,unique,
1285753573334918,speakeasy-g0028,1,original,unique,
1302324998744301,speakeasy-g0029,1,original,unique,
1304013031902050,speakeasy-g0030,1,original,unique,
1311410404519071,speakeasy-g0031,1,original,unique,
1321959232684279,speakeasy-g0032,1,original,unique,
1350528533804193,speakeasy-g0033,1,original,unique,
1351419703555499,speakeasy-g0034,1,original,unique,
1361588702531436,speakeasy-g0035,1,original,unique,
1386805923279705,speakeasy-g0036,1,original,unique,
1419366993709973,speakeasy-g0037,1,original,unique,
1509000537534731,speakeasy-g0038,1,original,unique,
1515028196659572,speakeasy-g0039,1,original,unique,
1543528693797253,speakeasy-g0040,1,original,unique,
1586155146379829,speakeasy-g0041,1,original,unique,
1608724900874315,speakeasy-g0042,1,original,unique,
1653566946609414,speakeasy-g0043,1,original,unique,
1657579782144196,speakeasy-g0044,1,original,unique,
1697445064905391,speakeasy-g0045,1,original,unique,
1706586897142307,speakeasy-g0046,1,original,unique,
