ad_id,script_group_id,group_size,variant_role,replication_type,text_similarity
1182441817236590,speakx-g0000,9,original,original,
1293067956117881,speakx-g0000,9,replica,translation_replica,0.066
1459744116192629,speakx-g0000,9,replica,translation_replica,0.066
1670382757639077,speakx-g0000,9,replica,translation_replica,0.085
1748068816627011,speakx-g0000,9,replica,translation_replica,0.038
1945016303042855,speakx-g0000,9,replica,exact_replica,1.000
2087931068421187,speakx-g0000,9,replica,translation_replica,0.067
831865046236591,speakx-g0000,9,replica,translation_replica,0.067
975868448384290,speakx-g0000,9,replica,translation_replica,0.085
1017963330951251,speakx-g0001,7,replica,reworded_replica,0.201
1030503980140114,speakx-g0001,7,original,original,
1467213678402110,speakx-g0001,7,replica,reworded_replica,0.201
1527023688816595,speakx-g0001,7,replica,exact_replica,1.000
1542208837423364,speakx-g0001,7,replica,translation_replica,0.029
26968972736117345,speakx-g0001,7,replica,translation_replica,0.029
35711967805116200,speakx-g0001,7,replica,translation_replica,0.029
1006329295201378,speakx-g0002,5,original,original,
1529888078840502,speakx-g0002,5,replica,reworded_replica,0.890
2429663597501268,speakx-g0002,5,replica,reworded_replica,0.890
2443712506142477,speakx-g0002,5,replica,reworded_replica,0.890
953292117697900,speakx-g0002,5,replica,reworded_replica,0.890
1498207608381120,speakx-g0003,5,original,original,
1665305344789047,speakx-g0003,5,replica,reworded_replica,0.457
2852148961823035,speakx-g0003,5,replica,exact_replica,1.000
984918357242547,speakx-g0003,5,replica,reworded_replica,0.457
1712870236507784,speakx-g0003,5,replica,translation_replica,0.035
3028455167350044,speakx-g0004,5,original,original,
37337901365796958,speakx-g0004,5,replica,reworded_replica,0.309
842899398339565,speakx-g0004,5,replica,reworded_replica,0.309
861281100343417,speakx-g0004,5,replica,reworded_replica,0.314
1287946936434940,speakx-g0004,5,replica,reworded_replica,0.309
1008889414931118,speakx-g0005,4,replica,exact_replica,1.000
1306098638255345,speakx-g0005,4,original,original,
838145219358586,speakx-g0005,4,replica,reworded_replica,0.209
1718754532619881,speakx-g0005,4,replica,reworded_replica,0.209
1281577630753736,speakx-g0006,4,original,original,
1507220527751466,speakx-g0006,4,replica,exact_replica,1.000
1685505725983692,speakx-g0006,4,replica,reworded_replica,0.095
2445266529284122,speakx-g0006,4,replica,reworded_replica,0.095
1306104707759795,speakx-g0007,4,replica,translation_replica,0.139
1349370937055281,speakx-g0007,4,original,original,
1386304936584896,speakx-g0007,4,replica,translation_replica,0.139
824616770475280,speakx-g0007,4,replica,exact_replica,1.000
1387399283411233,speakx-g0008,4,replica,reworded_replica,0.235
1482004609604227,speakx-g0008,4,original,original,
813412201592967,speakx-g0008,4,replica,reworded_replica,0.235
1888179688562464,speakx-g0008,4,replica,exact_replica,1.000
1478426623765158,speakx-g0009,4,original,original,
2809428052749261,speakx-g0009,4,replica,exact_replica,1.000
976542395354747,speakx-g0009,4,replica,exact_replica,1.000
989290027036103,speakx-g0009,4,replica,exact_replica,1.000
2245758992828721,speakx-g0010,4,replica,exact_replica,1.000
812647415013944,speakx-g0010,4,original,original,
953470727433696,speakx-g0010,4,replica,translation_replica,0.091
2177042646483754,speakx-g0010,4,replica,translation_replica,0.091
1317357846423381,speakx-g0011,3,replica,exact_replica,1.000
1890571951655444,speakx-g0011,3,replica,exact_replica,1.000
26864506773237930,speakx-g0011,3,original,original,
1361766756008318,speakx-g0012,3,replica,exact_replica,1.000
1455497906349902,speakx-g0012,3,replica,exact_replica,1.000
942092611562781,speakx-g0012,3,original,original,
1496154588035776,speakx-g0013,3,replica,exact_replica,1.000
4432264630363822,speakx-g0013,3,replica,exact_replica,1.000
822646964213690,speakx-g0013,3,original,original,
1650498256245529,speakx-g0014,3,replica,exact_replica,1.000
967017965779261,speakx-g0014,3,original,original,
3689448171208985,speakx-g0014,3,replica,translation_replica,0.171
1681006989507648,speakx-g0015,3,replica,exact_replica,1.000
1722146582095771,speakx-g0015,3,original,original,
25689263567435851,speakx-g0015,3,replica,exact_replica,1.000
2047136142819030,speakx-g0016,3,original,original,
965991376247034,speakx-g0016,3,replica,exact_replica,1.000
1350966316920951,speakx-g0016,3,replica,exact_replica,1.000
2468043330284583,speakx-g0017,3,original,original,
2718857995158689,speakx-g0017,3,replica,exact_replica,1.000
4317358591866176,speakx-g0017,3,replica,exact_replica,1.000
1000338829196892,speakx-g0018,2,original,original,
1561713398936768,speakx-g0018,2,replica,reworded_replica,0.898
1001955356099173,speakx-g0019,2,replica,exact_replica,1.000
2163947724344247,speakx-g0019,2,original,original,
1007530385081900,speakx-g0020,2,replica,exact_replica,1.000
1674695527105346,speakx-g0020,2,original,original,
1008847321469743,speakx-g0021,2,original,original,
1005340095418175,speakx-g0021,2,replica,exact_replica,1.000
1010201854756042,speakx-g0022,2,replica,exact_replica,1.000
4214340422164193,speakx-g0022,2,original,original,
1015528570998771,speakx-g0023,2,original,original,
1559092795653919,speakx-g0023,2,replica,reworded_replica,0.417
1016408487631842,speakx-g0024,2,replica,exact_replica,1.000
858959107181092,speakx-g0024,2,original,original,
1019027777130898,speakx-g0025,2,replica,reworded_replica,0.092
1476659844143221,speakx-g0025,2,original,original,
1023443820344511,speakx-g0026,2,replica,exact_replica,1.000
2170637817088886,speakx-g0026,2,original,original,
1027447753065197,speakx-g0027,2,replica,exact_replica,1.000
1429462188410527,speakx-g0027,2,original,original,
1043103124812012,speakx-g0028,2,replica,exact_replica,1.000
2191004834982270,speakx-g0028,2,original,original,
1201463028826137,speakx-g0029,2,original,original,
1606018377805781,speakx-g0029,2,replica,exact_replica,1.000
1209738614498577,speakx-g0030,2,replica,exact_replica,1.000
1846567089393685,speakx-g0030,2,original,original,
1224354406554260,speakx-g0031,2,original,original,
1696016167950307,speakx-g0031,2,replica,exact_replica,1.000
1242925180598225,speakx-g0032,2,original,original,
1332278622154395,speakx-g0032,2,replica,exact_replica,1.000
1261894342696646,speakx-g0033,2,original,original,
861317746449714,speakx-g0033,2,replica,exact_replica,0.932
1271227128122015,speakx-g0034,2,replica,exact_replica,1.000
1668568907754755,speakx-g0034,2,original,original,
1279276767638086,speakx-g0035,2,original,original,
1519137703335884,speakx-g0035,2,replica,exact_replica,1.000
1282823553919831,speakx-g0036,2,original,original,
1795514791415516,speakx-g0036,2,replica,exact_replica,1.000
1293999789370021,speakx-g0037,2,original,original,
2887194411625477,speakx-g0037,2,replica,exact_replica,1.000
1301259608777420,speakx-g0038,2,original,original,
1371947624756416,speakx-g0038,2,replica,exact_replica,1.000
1308281881491141,speakx-g0039,2,replica,reworded_replica,0.845
1871665510183650,speakx-g0039,2,original,original,
1311019194506588,speakx-g0040,2,replica,exact_replica,1.000
3034428376940626,speakx-g0040,2,original,original,
1315260573546336,speakx-g0041,2,replica,exact_replica,1.000
1606416436942554,speakx-g0041,2,original,original,
1316777246578170,speakx-g0042,2,original,original,
1662266588372476,speakx-g0042,2,replica,exact_replica,1.000
1327506092053493,speakx-g0043,2,replica,exact_replica,1.000
931857945993685,speakx-g0043,2,original,original,
1355959489761084,speakx-g0044,2,replica,exact_replica,1.000
2235801616953885,speakx-g0044,2,original,original,
1357098709656712,speakx-g0045,2,replica,reworded_replica,0.491
802134739188636,speakx-g0045,2,original,original,
1382923387003958,speakx-g0046,2,original,original,
983037457947633,speakx-g0046,2,replica,exact_replica,1.000
1416378913857622,speakx-g0047,2,original,original,
1566808484881295,speakx-g0047,2,replica,exact_replica,1.000
1420564419556783,speakx-g0048,2,original,original,
1653131032409183,speakx-g0048,2,replica,exact_replica,1.000
1446240430854536,speakx-g0049,2,original,original,
794762543589793,speakx-g0049,2,replica,exact_replica,1.000
1451452453663844,speakx-g0050,2,replica,exact_replica,1.000
1018266577731610,speakx-g0050,2,original,original,
1468615711427185,speakx-g0051,2,original,original,
1537332977762360,speakx-g0051,2,replica,exact_replica,1.000
1473297194097493,speakx-g0052,2,replica,exact_replica,1.000
965434199345665,speakx-g0052,2,original,original,
1477183203777341,speakx-g0053,2,original,original,
1692395758675404,speakx-g0053,2,replica,exact_replica,1.000
1480436776901571,speakx-g0054,2,original,original,
929060776855189,speakx-g0054,2,replica,exact_replica,1.000
1483250163405257,speakx-g0055,2,original,original,
802986049419170,speakx-g0055,2,replica,exact_replica,1.000
1515357813295706,speakx-g0056,2,replica,exact_replica,1.000
1598934404482182,speakx-g0056,2,original,original,
1524055402758387,speakx-g0057,2,replica,exact_replica,1.000
993529143162192,speakx-g0057,2,original,original,
1527222942372722,speakx-g0058,2,replica,reworded_replica,0.503
940578045564403,speakx-g0058,2,original,original,
1528983802208134,speakx-g0059,2,replica,exact_replica,1.000
950441070968656,speakx-g0059,2,original,original,
1531687464577242,speakx-g0060,2,original,original,
2092553101321689,speakx-g0060,2,replica,exact_replica,1.000
