ad_id,script_group_id,group_size,variant_role,replication_type,text_similarity
900964249487648,zinglish-g0000,2,original,original,
908822938160022,zinglish-g0000,2,replica,visual_variant,0.581
1212657180911138,zinglish-g0001,1,original,unique,
1214331300401198,zinglish-g0002,1,original,unique,
1228162876124945,zinglish-g0003,1,original,unique,
1241603491508608,zinglish-g0004,1,original,unique,
1263111225719321,zinglish-g0005,1,original,unique,
1286723966731755,zinglish-g0006,1,original,unique,
1299322238926571,zinglish-g0007,1,original,unique,
1345444240674582,zinglish-g0008,1,original,unique,
1403710238171409,zinglish-g0009,1,original,unique,
1414823376812512,zinglish-g0010,1,original,unique,
1417738519758197,zinglish-g0011,1,original,unique,
1421135246404699,zinglish-g0012,1,original,unique,
1424324155822363,zinglish-g0013,1,original,unique,
1428345402211481,zinglish-g0014,1,original,unique,
1443156474268077,zinglish-g0015,1,original,unique,
1445137293761554,zinglish-g0016,1,original,unique,
1446451490465131,zinglish-g0017,1,original,unique,
1457798545962459,zinglish-g0018,1,original,unique,
1505919334867604,zinglish-g0019,1,original,unique,
1981093915820751,zinglish-g0020,1,original,unique,
2004457904289111,zinglish-g0021,1,original,unique,
2145402302955929,zinglish-g0022,1,original,unique,
25674228382269402,zinglish-g0023,1,original,unique,
826441597149033,zinglish-g0024,1,original,unique,
834079296351372,zinglish-g0025,1,original,unique,
894945046633710,zinglish-g0026,1,original,unique,
895901269731389,zinglish-g0027,1,original,unique,
906064629056046,zinglish-g0028,1,original,unique,
937128972045324,zinglish-g0029,1,original,unique,
