ad_id,version_index,creative_index,visual_hash,phash_frames,visual_group_id,visual_group_size
2739911929699031,0,0,d28badf4914aba61,d28ba5f4914bba61;d28badf4914aba61;d28ba5f4914bba61,english-seekho-v0463,2
1699700921215417,0,0,d83b219ec366639c,d83b219ec366639c;d83b219ec366639c;d83b219ec366639c,english-seekho-v0001,30
1271047411639492,0,0,c36cc13f1b1a6ed0,ca45b8053e1b6eda;c36cc13f1b1a6ed0;c5638d333f06f0c6,english-seekho-v0124,3
1304663088473953,0,0,e8ec171b5d3c4899,e9ec175b583c0c99;e8ec171b5d3c4899;e8ec155b593c48b9,english-seekho-v0052,5
2011104622816471,0,0,e67fb894987870c2,e67fb894987870c2;e67fb894987870c2;e67b3894917938c3,english-seekho-v0002,24
26428220643500017,0,0,87607439ea97e34a,836834396b97774a;87607439ea97e34a;876064396a97f34e,english-seekho-v0599,1
1520726159399023,0,0,9c32734f0d3b31e4,9cb2724b0d3b35e4;9c32734f0d3b31e4;98b2734f0d1b37a4,english-seekho-v0003,19
1185488816920457,0,0,85e589ed73996099,c680e6705b3df4ac;85e589ed73996099;85a5e1336bb9a4ac,english-seekho-v0077,4
3745166842290933,0,0,f95621e1d65e26a2,e1594bcf96a42d0e;f95621e1d65e26a2;dbb076e1c10f2cc3,english-seekho-v0464,2
882040494892409,0,0,b3bab41c1dc1ced0,e1ebf8185894cf94;b3bab41c1dc1ced0;e5a4883d5c7987d2,english-seekho-v0465,2
1686722056094306,0,0,f4b86a7d5407038f,e8dbb53704027be8;f4b86a7d5407038f;f69a995c1d66222d,english-seekho-v0125,3
1307637824670207,0,0,8eb0c37f84984f27,aa96e13fb48f5920;8eb0c37f84984f27;aeb0c73f84984f23,english-seekho-v0053,5
1712482393523503,0,0,c22f3896cf093e36,d60f7896c3193e34;c22f3896cf093e36;8b6b7496eb085473,english-seekho-v0600,1
3411393879019186,0,0,e3b86166ce962347,e3b961668e96ad44;e3b86166ce962347;e3b871668e96a346,english-seekho-v0601,1
1961301468092363,0,0,9c6a5be2601ccbe9,9d6c3986665baca1;9c6a5be2601ccbe9;996e538c2df31e0c,english-seekho-v0054,5
1309510511121100,0,0,81e16c5e27313b7a,81e15f1eecf89845;81e16c5e27313b7a;99e16e5e26a13a1e,english-seekho-v0466,2
919579094374067,0,0,c1e5ca3cf819191f,c1e5ca3cf819191f;c1e5ca3cf819191f;c1e5ca34f8191b1f,english-seekho-v0602,1
