ad_id,version_index,creative_index,visual_hash,phash_frames,visual_group_id,visual_group_size
4210298219220133,0,0,b93ab00f2e386b4b,accada979194c50f;b93ab00f2e386b4b;bd3d3490d2733135,mysivi-v0118,4
1236764688618209,0,0,b5d3d53d80d41267,95d3743d82d41a67;b5d3d53d80d41267;b5d3d53d80d41267,mysivi-v0119,4
809446541711698,0,0,f8f862a709b7c099,f9f862a7093e8691;f8f862a709b7c099;f9f8a29749352619,mysivi-v0001,37
2495643760892894,0,0,c1cb3ab13e947178,ee84155b888d5b73;c1cb3ab13e947178;c1cb3ab13e947178,mysivi-v0054,6
1294872372199763,0,0,e079cc471eb0b693,e079cc471cb4b693;e079cc471eb0b693;d16f4fd16a6c5091,mysivi-v0000,265
1919377688693567,0,0,f8f862a709b7c099,f9f862a7093e8691;f8f862a709b7c099;f9f8a29749352619,mysivi-v0001,37
1023669149983656,0,0,a1451b3f6e6a6a07,a1451b3f6e6a6a83;a1451b3f6e6a6a07;f69c9cf525252705,mysivi-v0000,265
1274548481445067,0,0,c4a56f86929a3b39,8bc9a56787b0648f;c4a56f86929a3b39;85c90a15babaab97,mysivi-v0015,10
919585814171318,0,0,c0c1ca647f87fd60,c0c9c2633f87dd70;c0c1ca647f87fd60;c0c9c2637f85dd70,mysivi-v0010,11
1647227479627567,0,0,c4a56f86929a3b39,8bc9a56787b0648f;c4a56f86929a3b39;85c90a15babaab97,mysivi-v0015,10
1810831836593995,0,0,91501babd6a07c5f,93501dafd6807e17;91501babd6a07c5f;9978128b5ca476d7,mysivi-v0000,265
914613221634852,0,0,ea924851bdd3b32c,ea925851fdd2b22c;ea924851bdd3b32c;959735ad8aa436e4,mysivi-v0006,14
1518609409895801,0,0,fcd8838d68f67406,dcf0838d68f77406;fcd8838d68f67406;fcda838568f47606,mysivi-v0039,7
1578225453239300,0,0,b7c00e1ff0197d49,b7c00f1ff01d6d41;b7c00e1ff0197d49;b7c10e1ff00d7d41,mysivi-v0120,4
1484981409690710,0,0,c0c9c2627f05fdf0,c0c9c2633f0dddf0;c0c9c2627f05fdf0;c0c9c2627f15fd61,mysivi-v0010,11
913058388118205,0,0,803b7f866ac66a6c,a9cece333972870c;803b7f866ac66a6c;fb2f8468c445bb34,mysivi-v0178,3
2292254317849120,0,0,b9c6770996f5c019,b9e4f70916e5c01b;b9c6770996f5c019;a90f36f453530bb1,mysivi-v0003,21
1905332703463761,0,0,c51cc83d89760fba,c51cc83d887e0fba;c51cc83d89760fba;c51cc83d887e0bbb,mysivi-v0179,3
953700823835519,0,0,ee913ae41f328749,ee913ae499328579;ee913ae41f328749;ee916aa58ee99249,mysivi-v0076,5
2187985138676728,0,0,8e94317ad3479c5a,8e943178d347ac7a;8e94317ad3479c5a;ec9487ce5961343b,mysivi-v0026,8
1683000729728094,0,0,a08e96ed5be30ea1,ab8672cfb0e0e163;a08e96ed5be30ea1;f4afcbf46832830c,mysivi-v0121,4
1458753742284301,0,0,803b7f866ac66a6c,a9cece333972870c;803b7f866ac66a6c;fb2f8468c445bb34,mysivi-v0178,3
1343882707556162,0,0,c12f85e3d0b16ef0,c12fa1e3d8b36670;c12f85e3d0b16ef0;d0d07a3b1f878587,mysivi-v0021,9
1604765177255190,0,0,91501dafd6967847,93501dafd6947a46;91501dafd6967847;91581fabd6947a46,mysivi-v0000,265
1829800937707633,0,0,e5f8d2710d0db872,e5f8d271090dd972;e5f8d2710d0db872;fafed07d8090e431,mysivi-v0000,265
1462832258740074,0,0,e51a06fe809f17e1,e1180effa09d17e8;e51a06fe809f17e1;e11a0efe809f17e1,mysivi-v0180,3
1467014958458046,0,0,c4a56f86929a3b39,8bc9a56787b0648f;c4a56f86929a3b39;85c90a15babaab97,mysivi-v0015,10
2057001265231638,0,0,dee022ebb9983836,dee002c9f9982afc;dee022ebb9983836;dee006cdb9982abc,mysivi-v0000,265
810472615431061,0,0,eab59b784ca21559,f4b41f4b411f6c34;eab59b784ca21559;f5ae1b280e595671,mysivi-v0235,2
1298245581656069,0,0,91152f472a397a79,9d5c235a38b167d1;91152f472a397a79;9979235a2ab566d1,mysivi-v0332,1
830630363447590,0,0,c0c1ca647f87fd60,c0c9c2633f87dd70;c0c1ca647f87fd60;c0c9c2637f85dd70,mysivi-v0010,11
1532870848513933,0,0,b9c6770996f5c019,b9e4f70916e5c01b;b9c6770996f5c019;a90f36f453530bb1,mysivi-v0003,21
929154296271675,0,0,9c594b87da1e2a63,9c184f06f39b2b63;9c594b87da1e2a63;99697266c6a32c6d,mysivi-v0333,1
969734745982277,0,0,bbe6f40b14ec421b,bbc6f40b14f6421b;bbe6f40b14ec421b;a80e0abd367669b3,mysivi-v0003,21
1499961814988586,0,0,f8f862a709b7c099,f9f862a7093e8691;f8f862a709b7c099;f9f8a29749352619,mysivi-v0001,37
1419600269364944,0,0,cb9a74b59f8614a1,9c905eb6943535f2;cb9a74b59f8614a1;c41adcb4977134e6,mysivi-v0181,3
1278317400866683,0,0,8af119d3933e6691,abd108fbb3307623;8af119d3933e6691;9ac192f95978271b,mysivi-v0236,2
1292326936145402,0,0,a5926dea11e916e9,b6895eec31e091cd;a5926dea11e916e9;e89b16e916a942e7,mysivi-v0077,5
1617673956086851,0,0,b93ab00f2e386b4b,accada979194c50f;b93ab00f2e386b4b;bd3d3490d2733135,mysivi-v0118,4
1338305161448886,0,0,c05adafd8186156f,c05adaed82861d6f;c05adafd8186156f;fa4590ff8093c555,mysivi-v0237,2
1463906051777866,0,0,eece4dc78c383035,fece4fc7a8283034;eece4dc78c383035;fececfc7a8183024,mysivi-v0000,265
2487315125067028,0,0,b1d0593f1b96a46c,b1e1591f9b968668;b1d0593f1b96a46c;b160599f3b9692f0,mysivi-v0122,4
1487023816479013,0,0,d0d0652915b73f56,9515706a66c78737;d0d0652915b73f56;d0d47d2e53692237,mysivi-v0016,10
1455378906628645,0,0,91501babd6a07c5f,93501dafd6807e17;91501babd6a07c5f;9978128b5ca476d7,mysivi-v0000,265
1863526424308213,0,0,e29258b5b5b32c53,ea9858b1f6b32853;e29258b5b5b32c53;92967e0c47e07bc9,mysivi-v0002,29
2003944776864759,0,0,e087d7921f7a492c,9087de8b1ef9816c;e087d7921f7a492c;ba2abca2188dc577,mysivi-v0334,1
2459306031182517,0,0,94d5993ddc922566,94d599acdc922d66;94d5993ddc922566;91d59d3cd8932752,mysivi-v0335,1
2187708092043586,0,0,ef879470ba5878c1,ef879470b85a4b91;ef879470ba5878c1;8f879470b87a5b91,mysivi-v0336,1
1824308365205197,0,0,8e94317ad3479c5a,8e943178d347ac7a;8e94317ad3479c5a;ec9487ce5961343b,mysivi-v0026,8
2197503414415259,0,0,a5926dea11e916e9,b6895eec31e091cd;a5926dea11e916e9;e89b16e916a942e7,mysivi-v0077,5
1594922091609640,0,0,c1cb3ab13e947178,ee84155b888d5b73;c1cb3ab13e947178;c1cb3ab13e947178,mysivi-v0054,6
1035109305515805,0,0,b14019abf6a6687d,b14018bbf6b0657d;b14019abf6a6687d;b148199ff6a5683c,mysivi-v0000,265
929288733053067,0,0,f8d862e3693927c8,fcf862e3292d87c0;f8d862e3693927c8;fcd862e3493d83c8,mysivi-v0001,37
1325799632693917,0,0,fcd8838d68f67406,dcf0838d68f77406;fcd8838d68f67406;fcda838568f47606,mysivi-v0039,7
1746108369700883,0,0,ee913ae41f328749,ee913ae499328579;ee913ae41f328749;ee916aa58ee99249,mysivi-v0076,5
874393612311582,0,0,df9e3821213f97c0,df9e302121379772;df9e3821213f97c0;cf8f343c30339b70,mysivi-v0004,16
2193157824835756,0,0,c0c1ca647f87fd60,c0c9c2633f87dd70;c0c1ca647f87fd60;c0c9c2637f85dd70,mysivi-v0010,11
990996126922306,0,0,e6664959b382ecb4,99eceb1196c9a271;e6664959b382ecb4;f6664848b38bf4b4,mysivi-v0011,11
2712415449113415,0,0,90eebdc2817e6c91,90eeebb3ac961548;90eebdc2817e6c91;98eeb2b74952264b,mysivi-v0182,3
1699912787830703,0,0,d5ae2ad16ab842b3,fcf863270d978298;d5ae2ad16ab842b3;fcf863270d978298,mysivi-v0001,37
928632976569232,0,0,b0d73f302364db31,b0d73f702360db31;b0d73f302364db31;b0d33f70b320db31,mysivi-v0183,3
1465320305236974,0,0,d0d0652915b73f56,9515706a66c78737;d0d0652915b73f56;d0d47d2e53692237,mysivi-v0016,10
782153618005907,0,0,e8025b29f7bb918a,e9105b28d7fab10b;e8025b29f7bb918a;d9c92637d9c82627,mysivi-v0000,265
1903321843662651,0,0,e079cc471eb0b693,e079cc471cb4b693;e079cc471eb0b693;d16f4fd16a6c5091,mysivi-v0000,265
26877970818456137,0,0,e6664840b7afca95,abd6bc4b90e44f0a;e6664840b7afca95;e4664949b396ee94,mysivi-v0011,11
1320392123333597,0,0,d59a32917a9b3a1c,e298d241bef79708;d59a32917a9b3a1c;e298d2119ef7b30a,mysivi-v0002,29
2160250698081128,0,0,ffad00c272ef88e0,dfad20d272ef8860;ffad00c272ef88e0;ffad00c072ef88e1,mysivi-v0238,2
828046342935469,0,0,8e94317ad3479c5a,8e943178d347ac7a;8e94317ad3479c5a;ec9487ce5961343b,mysivi-v0026,8
1004651578734246,0,0,e29258b5b5b32c53,ea9858b1f6b32853;e29258b5b5b32c53;92967e0c47e07bc9,mysivi-v0002,29
1301191668579559,0,0,a5d8786208a7f5d9,81cc79dc08339df6;a5d8786208a7f5d9;ca9a34ad025d5bf2,mysivi-v0055,6
2003381777282440,0,0,a0df96e55bc60c31,acc68ef1e664c11b;a0df96e55bc60c31;b0cf18e78cf1073c,mysivi-v0121,4
956393793873937,0,0,b9c6770996f5c019,b9e4f70916e5c01b;b9c6770996f5c019;a90f36f453530bb1,mysivi-v0003,21
1003719535314984,0,0,c1cb3ab13e947178,ee84155b888d5b73;c1cb3ab13e947178;c1cb3ab13e947178,mysivi-v0054,6
971282695488880,0,0,fb16c43cd0d393c1,fb13c43cd0d393c1;fb16c43cd0d393c1;dded2612d9d82427,mysivi-v0000,265
