pipeline,competitor,page_id,page_name,ad_id,scrape_date,row_rank,page_rank,ad_start_date,media_type,low_impression
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1305320435143159,2026-05-28,1,1,2026-05-19,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1331000942346730,2026-05-28,2,2,2026-05-19,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1561946748353523,2026-05-28,3,3,2026-02-11,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,919639600763237,2026-05-28,4,4,2026-03-12,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1223854759864038,2026-05-28,5,5,2026-02-19,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,941670845124918,2026-05-28,6,6,2026-04-11,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,3350647341767877,2026-05-28,7,7,2026-04-13,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2696378104080682,2026-05-28,8,8,2026-04-13,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1688507795702436,2026-05-28,9,9,2026-05-19,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,4091989534424274,2026-05-28,10,10,2026-05-19,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,4339287476329546,2026-05-28,11,11,2026-02-11,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1867248917309068,2026-05-28,12,12,2026-03-28,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2233023087508211,2026-05-28,13,13,2026-04-30,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1272799508356017,2026-05-28,14,14,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1818618209105079,2026-05-28,15,15,2026-05-10,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2956993031298495,2026-05-28,16,16,2026-05-20,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1732276511091533,2026-05-28,17,17,2026-05-15,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1282726410490010,2026-05-28,18,18,2026-03-28,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,816518274603313,2026-05-28,19,19,2026-05-21,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,920285514395314,2026-05-28,20,20,2026-05-20,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2824660604557876,2026-05-28,21,21,2026-04-19,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1231133571849012,2026-05-28,22,22,2026-02-11,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1470990821024117,2026-05-28,23,23,2026-02-19,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1344215707542169,2026-05-28,24,24,2026-03-18,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2304935636581504,2026-05-28,25,25,2026-05-13,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1612039283458902,2026-05-28,26,26,2026-04-09,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,942533155345913,2026-05-28,27,27,2026-05-02,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1410548130867123,2026-05-28,28,28,2026-02-11,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2018586982340086,2026-05-28,29,29,2026-05-06,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2399819793864244,2026-05-28,30,30,2026-05-13,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,26475924438767754,2026-05-28,31,31,2026-04-12,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1289099280053178,2026-05-28,32,32,2026-05-13,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,881817237987628,2026-05-28,33,33,2026-02-19,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1555601166570968,2026-05-28,34,34,2026-05-14,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1645668849988230,2026-05-28,35,35,2026-05-21,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2468922803581230,2026-05-28,36,36,2026-05-07,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1557395759143424,2026-05-28,37,37,2026-05-14,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1660283655107406,2026-05-28,38,38,2026-04-10,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1737025754334784,2026-05-28,39,39,2026-05-08,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1794301804862965,2026-05-28,40,40,2026-03-29,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1911186572877665,2026-05-28,41,41,2026-05-27,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2132871510820927,2026-05-28,42,42,2026-02-11,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,972325635505423,2026-05-28,43,43,2026-05-07,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,4379728835589035,2026-05-28,44,44,2026-03-24,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1293563612743010,2026-05-28,45,45,2026-04-20,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2156906855072326,2026-05-28,46,46,2026-05-06,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1479963970269316,2026-05-28,47,47,2026-05-13,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1522322439295178,2026-05-28,48,48,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,27035503606138580,2026-05-28,49,49,2026-05-14,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1897215130977975,2026-05-28,50,50,2026-05-26,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,919279241050207,2026-05-28,51,51,2026-02-11,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1640622540290249,2026-05-28,52,52,2026-04-11,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1104775251773949,2026-05-28,53,53,2026-02-19,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,3303859329783856,2026-05-28,54,54,2026-05-24,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2060053594866255,2026-05-28,55,55,2026-05-14,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,952116941152129,2026-05-28,56,56,2026-05-13,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1699031641273438,2026-05-28,57,57,2026-05-23,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,935319826158529,2026-05-28,58,58,2026-04-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1273882494644292,2026-05-28,59,59,2026-02-11,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1432655954799589,2026-05-28,60,60,2026-04-08,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,947598457724065,2026-05-28,61,61,2026-03-18,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,27349853437973816,2026-05-28,62,62,2026-05-24,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1894117404606399,2026-05-28,63,63,2026-04-27,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2373390343141976,2026-05-28,64,64,2026-04-09,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1334074268638995,2026-05-28,65,65,2026-05-07,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1506447984521382,2026-05-28,66,66,2026-05-15,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2486162491822745,2026-05-28,67,67,2026-05-08,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1644515546602115,2026-05-28,68,68,2026-05-27,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1245860717381059,2026-05-28,69,69,2026-05-05,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,863745163146178,2026-05-28,70,70,2026-02-11,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2036883420577860,2026-05-28,71,71,2026-04-13,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1700044607813309,2026-05-28,72,72,2026-05-24,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1442768157567736,2026-05-28,73,73,2026-02-11,Video,false
