pipeline,competitor,page_id,page_name,ad_id,scrape_date,row_rank,page_rank,ad_start_date,media_type,low_impression
facebook,praktika-ai,104781132385804,Praktika,1284146880301102,2026-05-28,1,1,2026-03-11,Video,false
facebook,praktika-ai,104781132385804,Praktika,1479917686815968,2026-05-28,2,2,2026-04-04,Video,false
facebook,praktika-ai,104781132385804,Praktika,942282644920761,2026-05-28,3,3,2026-03-19,Video,false
facebook,praktika-ai,104781132385804,Praktika,1000580788969512,2026-05-28,4,4,2026-04-24,Video,false
facebook,praktika-ai,104781132385804,Praktika,1720222669432418,2026-05-28,5,5,2026-04-04,Video,false
facebook,praktika-ai,104781132385804,Praktika,2114713116051354,2026-05-28,6,6,2026-03-08,Video,false
facebook,praktika-ai,104781132385804,Praktika,1481040770146627,2026-05-28,7,7,2026-03-28,Video,false
facebook,praktika-ai,104781132385804,Praktika,1412613080667553,2026-05-28,8,8,2026-03-01,Video,false
facebook,praktika-ai,104781132385804,Praktika,1354760609752319,2026-05-28,9,9,2026-04-04,Video,false
facebook,praktika-ai,104781132385804,Praktika,975765704980225,2026-05-28,10,10,2026-04-20,Video,false
facebook,praktika-ai,104781132385804,Praktika,874091655660010,2026-05-28,11,11,2026-04-06,Video,false
facebook,praktika-ai,104781132385804,Praktika,993945856457880,2026-05-28,12,12,2026-05-08,Video,false
facebook,praktika-ai,104781132385804,Praktika,1282822937331618,2026-05-28,13,13,2026-05-12,Video,false
facebook,praktika-ai,104781132385804,Praktika,3197124493824638,2026-05-28,14,14,2026-04-28,Video,false
facebook,praktika-ai,104781132385804,Praktika,2204393376963501,2026-05-28,16,15,2026-05-12,Video,false
facebook,praktika-ai,104781132385804,Praktika,1266895682308848,2026-05-28,17,16,2026-04-24,Video,false
facebook,praktika-ai,104781132385804,Praktika,1607879553589187,2026-05-28,18,17,2026-03-28,Video,false
facebook,praktika-ai,104781132385804,Praktika,1311129607090927,2026-05-28,19,18,2026-05-17,Video,false
facebook,praktika-ai,104781132385804,Praktika,1695856521594672,2026-05-28,20,19,2026-05-09,Video,false
facebook,praktika-ai,104781132385804,Praktika,2972791772910738,2026-05-28,21,20,2026-05-08,Video,false
facebook,praktika-ai,104781132385804,Praktika,1876586636380023,2026-05-28,22,21,2026-03-28,Video,false
facebook,praktika-ai,104781132385804,Praktika,1449273303357626,2026-05-28,23,22,2026-04-24,Video,false
facebook,praktika-ai,104781132385804,Praktika,3167082200161356,2026-05-28,24,23,2026-04-22,Video,false
facebook,praktika-ai,104781132385804,Praktika,955442657134026,2026-05-28,25,24,2026-04-22,Video,false
