pipeline,competitor,page_id,page_name,ad_id,scrape_date,row_rank,page_rank,ad_start_date,media_type,low_impression
facebook,wispr-flow,,Wispr Flow,3662315693910482,2026-05-28,1,1,2026-04-03,Video,false
facebook,wispr-flow,,Wispr Flow,1662376828284378,2026-05-28,2,2,2026-04-29,Image,false
facebook,wispr-flow,,Wispr Flow,1606915600884130,2026-05-28,3,3,2026-05-16,Image,false
facebook,wispr-flow,,Wispr Flow,1308275597318776,2026-05-28,4,4,2026-05-16,Image,false
facebook,wispr-flow,,Wispr Flow,2560560281008870,2026-05-28,5,5,2026-04-07,Video,false
facebook,wispr-flow,,Wispr Flow,1274695934858096,2026-05-28,6,6,2026-04-05,Video,false
facebook,wispr-flow,,Wispr Flow,1706333260361238,2026-05-28,7,7,2026-05-16,Image,false
facebook,wispr-flow,,Wispr Flow,27040096928908687,2026-05-28,8,8,2026-04-05,Video,false
facebook,wispr-flow,,Wispr Flow,1793352381634692,2026-05-28,9,9,2026-04-17,Image,false
facebook,wispr-flow,,Wispr Flow,1334618508565781,2026-05-28,10,10,2026-04-29,Image,false
facebook,wispr-flow,,Wispr Flow,1729770374849541,2026-05-28,11,11,2026-05-03,Image,false
facebook,wispr-flow,,Wispr Flow,1576375724042094,2026-05-28,12,12,2026-05-24,Image,false
facebook,wispr-flow,,Wispr Flow,1501865931273199,2026-05-28,13,13,2026-05-15,Video,false
facebook,wispr-flow,,Bryce Querubin,2292746258177295,2026-05-28,14,14,2026-05-21,Video,false
facebook,wispr-flow,,Wispr Flow,1706997533644445,2026-05-28,15,15,2026-05-15,Video,false
facebook,wispr-flow,,Wispr Flow,2922112728180732,2026-05-28,16,16,2026-05-18,Image,false
facebook,wispr-flow,,Wispr Flow,1566718835460461,2026-05-28,17,17,2026-05-15,Image,false
facebook,wispr-flow,,Wispr Flow,1649615709610057,2026-05-28,18,18,2026-05-15,Video,false
facebook,wispr-flow,,Wispr Flow,813092931636453,2026-05-28,19,19,2026-05-21,Video,false
facebook,wispr-flow,,Dion Does Content,833455549824302,2026-05-28,20,20,2026-05-23,Video,false
facebook,wispr-flow,,Wispr Flow,2936171560055456,2026-05-28,21,21,2026-05-27,Image,false
facebook,wispr-flow,,Wispr Flow,1410186047538937,2026-05-28,22,22,2026-05-23,Video,false
facebook,wispr-flow,,Wispr Flow,1640811040476262,2026-05-28,23,23,2026-05-27,Image,false
facebook,wispr-flow,,Wispr Flow,2152493262262632,2026-05-28,24,24,2026-05-18,Image,false
facebook,wispr-flow,,Wispr Flow,811543085145765,2026-05-28,25,25,2026-05-18,Image,false
facebook,wispr-flow,,Wispr Flow,1007115604994768,2026-05-28,26,26,2026-05-15,Image,false
facebook,wispr-flow,,Bryce Querubin,1327072366036770,2026-05-28,27,27,2026-05-21,Video,false
facebook,wispr-flow,,Wispr Flow,2169539090512694,2026-05-28,28,28,2026-05-18,Image,false
facebook,wispr-flow,,Wispr Flow,1316066920475716,2026-05-28,29,29,2026-05-23,Image,false
facebook,wispr-flow,,Wispr Flow,1700430384710408,2026-05-28,30,30,2026-05-18,Image,false
facebook,wispr-flow,,Wispr Flow,1679889603157451,2026-05-28,31,31,2026-05-21,Video,false
facebook,wispr-flow,,Wispr Flow,2151758269557506,2026-05-28,32,32,2026-05-27,Image,false
facebook,wispr-flow,,Wispr Flow,1265112498602213,2026-05-28,33,33,2026-04-17,Image,false
facebook,wispr-flow,,Wispr Flow,1680340000078907,2026-05-28,34,34,2026-04-29,Image,false
facebook,wispr-flow,,Bryce Querubin,1547799510245830,2026-05-28,35,35,2026-05-23,Video,false
facebook,wispr-flow,,Wispr Flow,976814981925609,2026-05-28,36,36,2026-05-10,Image,false
facebook,wispr-flow,,Wispr Flow,1395179515999240,2026-05-28,37,37,2026-05-15,Video,false
facebook,wispr-flow,,Wispr Flow,1344855007551368,2026-05-28,38,38,2026-05-21,Video,false
facebook,wispr-flow,,Wispr Flow,2124600818383377,2026-05-28,39,39,2026-05-21,Video,false
facebook,wispr-flow,,Wispr Flow,969535065655350,2026-05-28,40,40,2026-04-29,Image,false
facebook,wispr-flow,,Wispr Flow,3398790000298365,2026-05-28,41,41,2026-05-22,Video,false
facebook,wispr-flow,,Wispr Flow,1290680159494956,2026-05-28,42,42,2026-05-21,Video,false
facebook,wispr-flow,,Wispr Flow,1304712985124608,2026-05-28,43,43,2026-05-22,Video,false
facebook,wispr-flow,,Wispr Flow,846359314632935,2026-05-28,44,44,2026-05-15,Video,false
facebook,wispr-flow,,Wispr Flow,1307188548234290,2026-05-28,45,45,2026-05-20,Image,false
facebook,wispr-flow,,Wispr Flow,2051239912455354,2026-05-28,46,46,2026-04-17,Image,false
facebook,wispr-flow,,Fola Daini,1864869910859122,2026-05-28,47,47,2026-05-21,Video,false
facebook,wispr-flow,,Wispr Flow,1884892045481248,2026-05-28,48,48,2026-05-24,Video,false
facebook,wispr-flow,,Wispr Flow,2186056478900917,2026-05-28,49,49,2026-05-21,Video,false
