row_rank,competitor_name,facebook_page_id,facebook_page_name,facebook_page_followers,target_country,ad_library_id,ad_library_url,ad_start_date,ad_end_date,has_low_impression_warning,ad_has_multiple_versions,ad_version_count,ad_primary_text,ad_description,ad_cta_label,ad_destination_url,ad_media_type,ad_distribution_platforms,creative_count_in_ad,creative_index_in_ad,creative_aspect_ratio,facebook_video_cdn_url_at_scrape,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date
2,EWA,165004157332215,EWA: Learn Languages,,IN,2112022572700228,https://www.facebook.com/ads/library/?id=2112022572700228,2026-05-12,,false,false,1,🏆📚 EWA her şeyi yaparken neden 5 farklı uygulama kullanalım? ✅ Film & dizi kursları ✅ 10.000'den fazla iki dilli kitap ve sesli kitap ✅ 40.000'den fazla flash kart ✅ Oxford onaylı diyaloglar ✅ Dil oyunları ve sıralamalar. Tek uygulama. Gerçek sonuçlar. 35 dilde mevcut! 💥 QUIZ.APPEWA.COM Hemen başla See details,,,https://quiz.appewa.com/sweetboarding/tr/kickstart?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1&fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExakg3Mjl2ZzcyT1Vzckc5MHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHqtNy9Pp3cAqvUmH4fcT6DTKWIyt-Fe7n658C4Jhn1ZmCQ2zNgjPH9YwzQZ0_aem_O3X-OMU4OnPnrwyb5V2d6Q,Image,,1,0,4:5,,https://scontent.fblr1-3.fna.fbcdn.net/v/t39.35426-6/698168819_1916116925775241_2200380643543235761_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=tE0VBo7i_UQQ7kNvwHbI3e-&_nc_oc=AdpLafo83IYk_DFKizKAaFIOWjoIlpQ_brZRB8DEv2A88UE_f9_iXs7Pg5zpohTx1XHV60LGE2SRy6k70jARexPv&_nc_zt=14&_nc_ht=scontent.fblr1-3.fna&_nc_gid=TTOmnIfqtPqjyuo1kRfxzg&_nc_ss=7b2a8&oh=00_Af_BwaAzXpLNHliKwXzNLxnfuITbWQek-dU_EPKnv9x4xA&oe=6A279928,2026-06-09T04:40:08.000Z,2026-06-04
12,EWA,165004157332215,EWA: Learn Languages,,IN,1566699294391528,https://www.facebook.com/ads/library/?id=1566699294391528,2026-04-04,,false,true,7,🏆📚 Kenapa harus pakai 5 aplikasi berbeda kalau EWA bisa melakukan SEMUANYA? ✅ Kursus dengan film dan serial ✅ Lebih dari 10.000 buku dan audiobook dwibahasa ✅ Lebih dari 40.000 flashcard ✅ Dialog bersertifikat Oxford ✅ Permainan bahasa dan papan peringkat. Satu aplikasi. Hasil nyata. Tersedia dalam 35 bahasa! 💥,,,https://quiz.appewa.com/sweetboarding/id/kickstart?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1&fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExakg3Mjl2ZzcyT1Vzckc5MHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHpIQ-cvhOLH4u8Hzz0KFuD9peIA-cIbgWfU6NE4K7ktIHSIwVzqP45lvl-Bi_aem_hZwDb68lOWSogVrl_dUNag,Video,,1,0,9:16,https://scontent.fblr1-8.fna.fbcdn.net/o1/v/t2/f2/m412/AQMFf7EjTmpCmkBlU9FxVkoUeJJC2cOdURU_TPvgEEq2T4NYYCa1Jojfg13xrdCONifOa5gyn5hbctst3lOq7FCS5L2YrIltuNZei43PlQ.mp4?_nc_cat=110&_nc_oc=Ado-4dThiE8V5kYTO6BD-HLRhNFFSQjasd0SxWeTwjAcSlQmenWp2B1sp6Tr9nKFOExGkMoZfcXxetSgvRDQhrzz&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-8.fna.fbcdn.net&_nc_ohc=sCUjzqrSIeEQ7kNvwFSdlkG&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTcwMzA0NzI0NDQ0MDM4OSwiYXNzZXRfYWdlX2RheXMiOjYwLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MzEsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=TTOmnIfqtPqjyuo1kRfxzg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af8KJlMt4cSCvdwuLQuk4kOzYiWEA0G9lYn6FrWK3Faqag&oe=6A277AE4,https://scontent.fblr1-8.fna.fbcdn.net/v/t39.35426-6/660768006_1621091055812047_3996190448925560913_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=w8b20D8ajlcQ7kNvwGVOAbx&_nc_oc=AdoymrK5GyPu013U5gMbWUsEAc-giH2KwzBf1smRJ7nD2gTEQQCmqRoLVvQMBrm4FNjoegcBjKHYyaW7kf0r4Crq&_nc_zt=14&_nc_ht=scontent.fblr1-8.fna&_nc_gid=TTOmnIfqtPqjyuo1kRfxzg&_nc_ss=7b2a8&oh=00_Af-rVrVmNBdHIfGaxpwboXSYKSepXnHJD10TcAcgPeBUcQ&oe=6A278991,2026-06-09T02:31:00.000Z,2026-06-04
13,EWA,165004157332215,EWA: Learn Languages,,IN,2185572212211330,https://www.facebook.com/ads/library/?id=2185572212211330,2026-05-27,,false,true,5,لم يفت الأوان لتعلم الإنجليزية من أجل مستقبل أفضل 💯,,,https://quiz.appewa.com/sweetboarding/en-ar/classic/beigeonboarding-che4842/beige/002-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1&fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExakg3Mjl2ZzcyT1Vzckc5MHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHmKWOTsDE9lm2td4BEGpCD2irT4vikb3hEynL_w62XRQps6GLWxu_4XRMcoy_aem_Biuk8OxfZIKQuaYK0vKkqA,Video,,1,0,9:16,https://scontent.fblr1-3.fna.fbcdn.net/o1/v/t2/f2/m412/AQM8-KFulU416G2A-DSm1VwVm0Gtc0Hj3HUGJ6TabXXO7tFjY4RKXKkpqUkbiFOq7hLU5qXMR6J4F4lbTTcKO3t75eGRmOq9eCsgDwpzJA.mp4?_nc_cat=107&_nc_oc=AdpwSUvs_wqkPDdvKWWF5CYeL0YmoFQteCaZ0whzq5v3w0vnvrMvueQ5kvq9mvWt0npk49shSLWiea3KKgHCog0q&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-3.fna.fbcdn.net&_nc_ohc=eRflqicotL8Q7kNvwF_bHHs&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MzA1NjUzOTI1NDU0MDA5NiwiYXNzZXRfYWdlX2RheXMiOjIxLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MjksInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=TTOmnIfqtPqjyuo1kRfxzg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af_Q28MaABLabDKvblqXJJsS2UEHAXh7Rv0qzFkyNkaCMQ&oe=6A2778F7,https://scontent.fblr1-6.fna.fbcdn.net/v/t39.35426-6/708050049_957800420413179_7538712175826845287_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=N3cXz-qQyUwQ7kNvwEy3aV8&_nc_oc=AdogZopCZDP-LQ4gE403K4sHiPxncsfkx2LErJs-B9bV36hLedhGMHRVAnEso7FNlqCY97r1wmdM5rncbQS36aC7&_nc_zt=14&_nc_ht=scontent.fblr1-6.fna&_nc_gid=TTOmnIfqtPqjyuo1kRfxzg&_nc_ss=7b2a8&oh=00_Af9tYoW0BFP8sJ5QPe3G1SRKVSUAPc_vPvlv7LzRVLg3QA&oe=6A27A576,2026-06-09T02:22:47.000Z,2026-06-04
24,EWA,165004157332215,EWA: Learn Languages,,IN,1652016086089793,https://www.facebook.com/ads/library/?id=1652016086089793,2026-05-25,,false,true,8,,,,https://quiz.appewa.com/sweetboarding/en-es/termsos7090/offseason90/classic/012-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1&fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExakg3Mjl2ZzcyT1Vzckc5MHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHiE2K0Lz9mHTH3GCT6zkkP-TUEsyqT5LBwyp6BtTB34om5Ek6I1Yzm7RghhD_aem_-kN5TR_dR3TI4M6rorypmA,Video,,1,0,4:5,https://scontent.fblr1-6.fna.fbcdn.net/o1/v/t2/f2/m412/AQNrWN2W0AKoyVxhWLelf95i1aV9fE_H4gKI0VsLEUdeKwXq6DkP61e_TlE4-0lojG_sN2nKSShJ7eGZfzNvLs3tR41HI9c6q4qzhrfp8w.mp4?_nc_cat=109&_nc_oc=AdqK19WieSAr3C-5ZCV12fOwIoDC72_PxS7ziyF2eujgh85I5GA67fKzaa40vUyHSc7avtOnBCCaNjqCt5Ku5Zff&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-6.fna.fbcdn.net&_nc_ohc=P3bW6Tc1V4AQ7kNvwHAdX8s&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTc2MDg0MjkzODcwMjg2MywiYXNzZXRfYWdlX2RheXMiOjI0LCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6MzUsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=TTOmnIfqtPqjyuo1kRfxzg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af9zgGPbkGa3liHqFr0Nwxlt3wvT2nxLCXTK_RvET4-bRQ&oe=6A279BA1,https://scontent.fblr1-8.fna.fbcdn.net/v/t39.35426-6/706698070_2715165272195094_2077591812567968335_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=HSw7NAbD3p0Q7kNvwFqAWUO&_nc_oc=AdpujadpXIR7GWgTPr3Tak3GEjiUptBURRdMKIcB6pP_O88Fsn51_cU--u9-KErY8-r_Frei-hbziCGse4C_Jb0W&_nc_zt=14&_nc_ht=scontent.fblr1-8.fna&_nc_gid=TTOmnIfqtPqjyuo1kRfxzg&_nc_ss=7b2a8&oh=00_Af-_sGZE0i_NRals2InKU_Xs7nTEP_Ae6JIU5A-CZSLidw&oe=6A27A646,2026-06-09T04:50:41.000Z,2026-06-04
31,EWA,165004157332215,EWA: Learn Languages,,IN,962525473452656,https://www.facebook.com/ads/library/?id=962525473452656,2026-05-29,,false,true,2,🏆📚 EWA her şeyi yaparken neden 5 farklı uygulama kullanalım? ✅ Film & dizi kursları ✅ 10.000'den fazla iki dilli kitap ve sesli kitap ✅ 40.000'den fazla flash kart ✅ Oxford onaylı diyaloglar ✅ Dil oyunları ve sıralamalar. Tek uygulama. Gerçek sonuçlar. 35 dilde mevcut! 💥,,,https://quiz.appewa.com/sweetboarding/tr/kickstart?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1&fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExakg3Mjl2ZzcyT1Vzckc5MHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHkTWoGJy_1U-_K1JgcpHZrxnX8H_oDvKMc5DTGOG02PbrSSgeWnr8NpMbN4Z_aem_htKlyilItLWCo7OlE2LsOg,Image,,1,0,4:5,,https://scontent.fblr1-6.fna.fbcdn.net/v/t39.35426-6/711869700_1797933641581877_2180777192933623345_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=eFOqMJweAegQ7kNvwEYA0MN&_nc_oc=AdpZokQKL3WlorgBp4cdXL1MS2X20XZWDskrgluK9kqJY-W3wHqOWU_2jK1iiyNNZLYGExBK85k-PHR0Gfn97sr9&_nc_zt=14&_nc_ht=scontent.fblr1-6.fna&_nc_gid=blKRsS3L7QwexEoUsm1fUw&_nc_ss=7b2a8&oh=00_Af9CVRkn9lyWYnuYg3nvPa5ZmsiuUtJVZrJdbJU93yzEnA&oe=6A278B8A,2026-06-09T03:42:02.000Z,2026-06-04
39,EWA,165004157332215,EWA: Learn Languages,,IN,994760606773075,https://www.facebook.com/ads/library/?id=994760606773075,2026-05-27,,false,true,4,💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,,,https://quiz.appewa.com/sweetboarding/en-en/termsos7090/offseason90/classic/012-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1&fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExakg3Mjl2ZzcyT1Vzckc5MHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHpIQ-cvhOLH4u8Hzz0KFuD9peIA-cIbgWfU6NE4K7ktIHSIwVzqP45lvl-Bi_aem_hZwDb68lOWSogVrl_dUNag,Image,,1,0,400x600,,https://scontent.fblr1-6.fna.fbcdn.net/v/t39.35426-6/708574341_984613327311425_3029084722316632362_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=1wEsudSeAf0Q7kNvwFcPNce&_nc_oc=AdrNoC3gGDpDP_sCYgALpgG97K9f8LqrGJcko5AUwTKsDeDfVFmmWuC21EVEvKhic9elIG9C-4lrSnSaVdfKrYe-&_nc_zt=14&_nc_ht=scontent.fblr1-6.fna&_nc_gid=blKRsS3L7QwexEoUsm1fUw&_nc_ss=7b2a8&oh=00_Af-39Q7LgUgL22ugyiya8gN5FS99sWAry6x8tnsP1E9Xjg&oe=6A278643,2026-06-09T03:19:31.000Z,2026-06-04
41,EWA,165004157332215,EWA: Learn Languages,,IN,1474153004182259,https://www.facebook.com/ads/library/?id=1474153004182259,2026-05-12,,false,false,1,"⏰🔥 OFERTA OGRANICZONA CZASOWO: Zdobądź 90% ZNIŻKI na EWA Premium — aplikację do nauki języków, której ufa 60 MILIONÓW użytkowników na całym świecie! 🌍 Ucz się angielskiego przez prawdziwe sceny z filmów i seriali, ponad 10 000 książek z audio i zabawne gry. Ta oferta nie potrwa długo — skorzystaj, zanim będzie za późno! 🚀✅ QUIZ.APPEWA.COM Zdobądź 90% zniżki teraz 👉🏻👉🏻👉🏻",,Learn more,https://quiz.appewa.com/sweetboarding/en-pl/termssp90/sp90f3mv2/spring/011-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1&fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExakg3Mjl2ZzcyT1Vzckc5MHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHrOoDvWOoxAXXQOcEBHScid7m7I9cLyI_9kP4o8qMoJ-PWUJrvA-c4bnT5yQ_aem_EjUw8xrIZZRzZg35YoAHVA,Image,,1,0,4:5,,https://scontent.fblr1-5.fna.fbcdn.net/v/t39.35426-6/698416941_26840341975619061_7154396146587976169_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=2z_R_SN8V9IQ7kNvwE65ARB&_nc_oc=AdoDcHVNvI_FdBXDV5bu6LnYubj4Rbx700-06Bx_arhN1BzuaqNLNA-PmpIzhjfOvxyGSt1-wTXRF5mhX9XtD7ad&_nc_zt=14&_nc_ht=scontent.fblr1-5.fna&_nc_gid=blKRsS3L7QwexEoUsm1fUw&_nc_ss=7b2a8&oh=00_Af8YotQWnfLmc51usPgHALSj1GonDDB_d4Ucd-a6gwjV_w&oe=6A27813F,2026-06-09T02:58:07.000Z,2026-06-04
44,EWA,165004157332215,EWA: Learn Languages,,IN,1310987677594535,https://www.facebook.com/ads/library/?id=1310987677594535,2026-04-04,,false,true,11,🏆📚 Tại sao phải dùng 5 ứng dụng khác nhau khi EWA làm được TẤT CẢ? ✅ Khóa học với phim và series ✅ Hơn 10.000 sách và sách nói song ngữ ✅ Hơn 40.000 thẻ học ✅ Hội thoại được chứng nhận bởi Oxford ✅ Trò chơi ngôn ngữ và bảng xếp hạng. Một ứng dụng. Kết quả thực sự. Có sẵn trong 35 ngôn ngữ! 💥,,,https://quiz.appewa.com/sweetboarding/vi/kickstart?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1&fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExakg3Mjl2ZzcyT1Vzckc5MHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHmKWOTsDE9lm2td4BEGpCD2irT4vikb3hEynL_w62XRQps6GLWxu_4XRMcoy_aem_Biuk8OxfZIKQuaYK0vKkqA,Image,,1,0,4:5,,https://scontent.fblr1-6.fna.fbcdn.net/v/t39.35426-6/663266100_1307797931251137_440403654818229435_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=7JA55FygUwoQ7kNvwGux21c&_nc_oc=AdrTWg1wfiBXbM8w5tJPjhD3ETZ6cU7NGFTwT8OCXXC_bToGoiEmACz0RyzfqYqgETUCCzf6Ttq0_ovXEwOXWDVo&_nc_zt=14&_nc_ht=scontent.fblr1-6.fna&_nc_gid=blKRsS3L7QwexEoUsm1fUw&_nc_ss=7b2a8&oh=00_Af9FgZfTUKX6jWLwrGPi4yKqUGUQNpsKFkB6AkwcqLvYaw&oe=6A278B47,2026-06-09T03:40:55.000Z,2026-06-04
49,EWA,165004157332215,EWA: Learn Languages,,IN,1505340341193626,https://www.facebook.com/ads/library/?id=1505340341193626,2026-05-14,,false,true,2,لم يفت الأوان لتعلم الإنجليزية من أجل مستقبل أفضل 💯,,,https://quiz.appewa.com/sweetboarding/ar/termsos7090hy/offseason90/classic/012-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1&fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExakg3Mjl2ZzcyT1Vzckc5MHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHsunjlmpBF0b_tAjKKdC44xQnzB0xWjKIMSWEuCZXhFKi79LmeY8fmW0FzpY_aem_osRi57QsALMfrY61BmnwCA,Image,,1,0,4:5,,https://scontent.fblr1-6.fna.fbcdn.net/v/t39.35426-6/681149523_1363086372303645_5073081246592488605_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=z0tFqc6jm3cQ7kNvwFDpVKw&_nc_oc=AdqlP0BJMrmlq-cRQhfsINgwllFSkQ_y_LXFCWPtdhlt5t6aeRjy0fK9Z3XDx_36jsDUimgHNRHMfcTAQdmFGEhs&_nc_zt=14&_nc_ht=scontent.fblr1-6.fna&_nc_gid=blKRsS3L7QwexEoUsm1fUw&_nc_ss=7b2a8&oh=00_Af_u3sSCW82G1rZxx3ygERFwePf38gnzgO6g93LsgxaLwA&oe=6A27AF21,2026-06-09T06:13:53.000Z,2026-06-04
53,EWA,165004157332215,EWA: Learn Languages,,IN,1303357461427255,https://www.facebook.com/ads/library/?id=1303357461427255,2026-05-29,,false,false,1,🏆📚 EWA her şeyi yaparken neden 5 farklı uygulama kullanalım? ✅ Film & dizi kursları ✅ 10.000'den fazla iki dilli kitap ve sesli kitap ✅ 40.000'den fazla flash kart ✅ Oxford onaylı diyaloglar ✅ Dil oyunları ve sıralamalar. Tek uygulama. Gerçek sonuçlar. 35 dilde mevcut! 💥 QUIZ.APPEWA.COM EWA'yı bugün dene 🚀👉🏻,,Learn more,https://quiz.appewa.com/sweetboarding/tr/kickstart?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1&fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExakg3Mjl2ZzcyT1Vzckc5MHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHpIQ-cvhOLH4u8Hzz0KFuD9peIA-cIbgWfU6NE4K7ktIHSIwVzqP45lvl-Bi_aem_hZwDb68lOWSogVrl_dUNag,Image,,1,0,4:5,,https://scontent.fblr1-9.fna.fbcdn.net/v/t39.35426-6/708595332_1534750874845181_91889006247952587_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=AV7iMMD2T2sQ7kNvwF1d5Le&_nc_oc=AdqPWRBLzb4Ky7U4VvGqeoKrxoeAhZxEDs7MFI7_j56ODFCulLZbsNY_C7Qvbr8rrCL-gYV7a1qo6gTJh5sc_LOi&_nc_zt=14&_nc_ht=scontent.fblr1-9.fna&_nc_gid=blKRsS3L7QwexEoUsm1fUw&_nc_ss=7b2a8&oh=00_Af_tjqblgkJYHlPAg8BIhx0maCUZXAbbnc3fDtS-kxmZog&oe=6A279076,2026-06-09T04:03:02.000Z,2026-06-04
