row_rank,competitor_name,facebook_page_id,facebook_page_name,facebook_page_followers,target_country,ad_library_id,ad_library_url,ad_start_date,ad_end_date,has_low_impression_warning,ad_has_multiple_versions,ad_version_count,ad_primary_text,ad_description,ad_cta_label,ad_destination_url,ad_media_type,ad_distribution_platforms,creative_count_in_ad,creative_index_in_ad,creative_aspect_ratio,facebook_video_cdn_url_at_scrape,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date
1,Fluently,61572409659045,Fluently - AI English Tutor,,ALL,2020774215463610,https://www.facebook.com/ads/library/?id=2020774215463610,2026-05-07,,FALSE,FALSE,2,Speak English with confidence!,,,https://app.getfluently.app/onboarding/intro?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBEySjhLQjB0SXRVMnhyYTdoWHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHhdXLNMMs4YoTg7T4GEPr6eLibLIcs7xA2PIOQYQ4k4esbUnNpMKXB2sIbhg_aem_KmjNjrMgZlG34PgUkIpLLw,Image,,1,0,0.805,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/690652547_1510607973981618_6353254890177022311_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=8G3cM_u7JmwQ7kNvwGvY6FR&_nc_oc=AdoTbgrPznZ0u5saFiwDZYE07N8dLBp32ZWb-l69oiPzkCmVPP6JJDNz7k8VQUYxyN0&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=2cMDbyV0Qvothh9BdsL1PQ&_nc_ss=7b2a8&oh=00_Af46OOfVa2mqgNkP5R_7_is-gXhgr4w0sO5lMOt-JaWoFw&oe=6A1E10D7,2026-06-01T23:08:07.000Z,2026-05-28
8,Fluently,61572409659045,Fluently - AI English Tutor,,ALL,1489436636187003,https://www.facebook.com/ads/library/?id=1489436636187003,2026-05-11,,FALSE,FALSE,1,"Speak English with confidence!
GETFLUENTLY.APP
Take the quiz
Improve pronunciation, vocabulary, and confidence with real-time AI feedback.
See details",,,https://app.getfluently.app/onboarding/intro?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBEySjhLQjB0SXRVMnhyYTdoWHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHhdXLNMMs4YoTg7T4GEPr6eLibLIcs7xA2PIOQYQ4k4esbUnNpMKXB2sIbhg_aem_KmjNjrMgZlG34PgUkIpLLw,Image,,1,0,1.000,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/695305854_1297925808449814_86747699592740048_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=6v1V7CuNzQwQ7kNvwHaAi-6&_nc_oc=AdrgMKpMmElPzyYfLjxY10gOaBeOhjiZY2CGXiwxma7SrlVuspA693l8GfJaRXFK9dw&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=YEfuwNwTRubLU_P99TFDmw&_nc_ss=7b2a8&oh=00_Af6FnJGJrkix0oXxpaVieUa-xnpyuySSeYHdbYFPT8NwAQ&oe=6A1E073F,2026-06-01T22:27:11.000Z,2026-05-28
17,Fluently,61572409659045,Fluently - AI English Tutor,,ALL,977432371543196,https://www.facebook.com/ads/library/?id=977432371543196,2026-05-07,,FALSE,FALSE,1,"⚡ Speak English confidently—get instant AI feedback
GETFLUENTLY.APP
Take the quiz
Improve pronunciation, vocabulary, and confidence with real-time AI feedback.
See details",,,https://app.getfluently.app/onboarding/intro?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBEySjhLQjB0SXRVMnhyYTdoWHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHhgrJQMDaRkkRNadYWNQ9NzoSBC2Hp2aX3CeUJStMTWPU3dlwvol8ZskuWFw_aem_xjdRbOUKC9kfzNm9T4YmuQ,Image,,1,0,0.805,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/690996037_1874975286504862_7224318271079955555_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=dBiq2Q7MgRMQ7kNvwEOayGZ&_nc_oc=AdouXHfKLBA-eDe59Rfl1Ag1IWYvdhDstRAcHEo-FIgekvVNPRN0t8DP8MaO1_AFfog&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=6XMfS9ejWRSIxg5SdDEZgw&_nc_ss=7b2a8&oh=00_Af48XEZgbURmZZX9rPjQmTBHDejrPpb0PxmifFXOaZC_kg&oe=6A1E188F,2026-06-01T23:41:03.000Z,2026-05-28
37,Fluently,61572409659045,Fluently - AI English Tutor,,ALL,960482803404131,https://www.facebook.com/ads/library/?id=960482803404131,2026-04-29,,FALSE,FALSE,1,"We help you break the language barrier!
PLAY.GOOGLE.COM
Find out your English speaking level now!",,Install now,http://play.google.com/store/apps/details?id=app.getfluently.app&fbclid=IwZXh0bgNhZW0CMTAAYnJpZBEySjhLQjB0SXRVMnhyYTdoWHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHtV9gXbdJIXf3Ptc4YpUUEDjAl9VgFbL-HpnlgWY7bCVkOT7PAnfhzY4WOJk_aem_zi-IYXVKX5Ol8Ngtxy4-jA,Image,,1,0,1.000,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/684593347_1534763848261685_5086961698335500469_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=yqqq-R3zAXcQ7kNvwFmTHWk&_nc_oc=Ado1eym5Kd04McUFjFtk-64Z9KuWHdgbt5OlhDUM_XQLrusOH8A6BpVmzjb8tJEKFkI&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=ZTXj1Pvv4g8Xr3rGcfsGEg&_nc_ss=7b2a8&oh=00_Af4wOtzguYQZPJg6b8IwJC_7RtH72kCtGDW_zXYRAcRXbg&oe=6A1DEBF6,2026-06-01T20:30:46.000Z,2026-05-28
43,Fluently,61572409659045,Fluently - AI English Tutor,,ALL,1455681216239827,https://www.facebook.com/ads/library/?id=1455681216239827,2026-05-26,,FALSE,FALSE,2,Speak English with confidence!,,,https://app.getfluently.app/onboarding/intro?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBEySjhLQjB0SXRVMnhyYTdoWHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHgS0JdUqFVlkoRhWytXLB8co_mNLcA5mluMPRYE6D8iI_weSmxwXSNqEcZ5b_aem_bYTf-a5vCQnhjhtkNHw-_w,Image,,1,0,0.805,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/707154544_1487629586435118_4386055157050857826_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=3BsFvxMvJO8Q7kNvwGNh7Qf&_nc_oc=AdoFtlkiQiK0vmk9WKRYvwjbAsOYytjTRyTe7OXI5XWBxGfkD-bu5VwLDIVhyzlCco8&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=DhJAwjkWD1X0YW_E1WS4EQ&_nc_ss=7b2a8&oh=00_Af4X-L3GRz4Td7Ba8RNppLvaIpeiltzRlgav-LVP6u7pBA&oe=6A1E01F6,2026-06-01T22:04:38.000Z,2026-05-28
70,Fluently,61572409659045,Fluently - AI English Tutor,,ALL,2470652146730619,https://www.facebook.com/ads/library/?id=2470652146730619,2026-05-27,,FALSE,FALSE,2,Speak English with confidence!,,,https://app.getfluently.app/onboarding/intro?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBEySjhLQjB0SXRVMnhyYTdoWHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHhdXLNMMs4YoTg7T4GEPr6eLibLIcs7xA2PIOQYQ4k4esbUnNpMKXB2sIbhg_aem_KmjNjrMgZlG34PgUkIpLLw,Image,,1,0,1.000,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/707522242_2216246665866429_6224157218258798807_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=L6Ln5g8SM0gQ7kNvwHNI2VH&_nc_oc=Ado79PiHFw7Eup0DQBCWPNq9b1p6tIzFEWFrnRDGW3abm0dBe6afV8xQbzpfe2-9h4I&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=sWMzSYZ86Y2q0yHo7vBxRw&_nc_ss=7b2a8&oh=00_Af5UQn0upec_DdCoQ1501vkQ1EwM-3H1fv5vm5lUmtSXqg&oe=6A1E16C5,2026-06-01T23:33:25.000Z,2026-05-28
90,Fluently,61572409659045,Fluently - AI English Tutor,,ALL,1753541802748287,https://www.facebook.com/ads/library/?id=1753541802748287,2026-05-26,,FALSE,FALSE,1,"⚡ Speak English confidently—get instant AI feedback
GETFLUENTLY.APP
Take the quiz
Improve pronunciation, vocabulary, and confidence with real-time AI feedback.
See details",,,https://app.getfluently.app/onboarding/intro?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBEySjhLQjB0SXRVMnhyYTdoWHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHhgrJQMDaRkkRNadYWNQ9NzoSBC2Hp2aX3CeUJStMTWPU3dlwvol8ZskuWFw_aem_xjdRbOUKC9kfzNm9T4YmuQ,Image,,1,0,0.805,,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/706123182_1003252078721957_8188910810889417750_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=3geE2qYtGSsQ7kNvwH7oqKu&_nc_oc=Adpf__OSAo_DhQ9Ze2WyTJQWm326c8mNLSFytlJwuM8ry_xTw7Vaq8D85sgMf0AOs7Q&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=xRPzhI9CGaZsr5fRfKBkEA&_nc_ss=7b2a8&oh=00_Af4HciGpEGbTFYimWE0hhfGuRXj_eqPJtbdBFy9jRTozZA&oe=6A1E1684,2026-06-01T23:32:20.000Z,2026-05-28
92,Fluently,61572409659045,Fluently - AI English Tutor,,ALL,2502301553514259,https://www.facebook.com/ads/library/?id=2502301553514259,2026-04-29,,FALSE,FALSE,3,We help you break the language barrier!,,,http://play.google.com/store/apps/details?id=app.getfluently.app&fbclid=IwZXh0bgNhZW0CMTAAYnJpZBEySjhLQjB0SXRVMnhyYTdoWHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHtV9gXbdJIXf3Ptc4YpUUEDjAl9VgFbL-HpnlgWY7bCVkOT7PAnfhzY4WOJk_aem_zi-IYXVKX5Ol8Ngtxy4-jA,Image,,1,0,1.000,,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/684208182_1501687104646529_3036349917381071705_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=Gik0Sv7ZHAMQ7kNvwG1N5Oa&_nc_oc=AdrAqUIyseEJXRU_JOm5KDOl4KLM7XmHn8Nt9ItpJ66_THizgfKQ2Ld3z7N2fWtibug&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=xRPzhI9CGaZsr5fRfKBkEA&_nc_ss=7b2a8&oh=00_Af5AaK32BW6CxuwLxqpafsry6HNa8lDoQApuTYedaOXwGQ&oe=6A1DF5B4,2026-06-01T21:12:20.000Z,2026-05-28
95,Fluently,61572409659045,Fluently - AI English Tutor,,ALL,1316807057257230,https://www.facebook.com/ads/library/?id=1316807057257230,2026-05-26,,FALSE,FALSE,1,"Your English is good enough to read this ad. Probably good enough to handle most of your job. But not good enough to feel confident in the room.
You don't need to start over. You need to activate what you already have and fill the specific gaps that matter for your work.
That's exactly what this course does. 10 modules built for B1-B2 professionals who use English at work — meetings, presentations, feedback, negotiations.
👉 Find out more
GETFLUENTLY.APP
✅ You know English. You just don't speak it at work
Improve pronunciation, vocabulary, and confidence with real-time AI feedback.
See details",,,https://app.getfluently.app/workplace-english-course/course-intro/?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBEySjhLQjB0SXRVMnhyYTdoWHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHhgrJQMDaRkkRNadYWNQ9NzoSBC2Hp2aX3CeUJStMTWPU3dlwvol8ZskuWFw_aem_xjdRbOUKC9kfzNm9T4YmuQ,Image,,1,0,0.805,,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/706770115_1545960050566882_4417865827538706044_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=0-AVEzanP_oQ7kNvwF0BKGF&_nc_oc=Ado-0v_Siwrfi9kCbkWjJPurwEuclwQtjJFEmttLMrLjDs9OrqAxg0keNBHZ2y7I3tw&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=Qm-PYGQ_PXSMQ-mMYMs9_A&_nc_ss=7b2a8&oh=00_Af4pvzz4H5nDnsRGrrLWKqu3B8nm-BY1Oi661fDs_bLGPQ&oe=6A1E154C,2026-06-01T23:27:08.000Z,2026-05-28
100,Fluently,61572409659045,Fluently - AI English Tutor,,ALL,1660583218318782,https://www.facebook.com/ads/library/?id=1660583218318782,2026-05-26,,FALSE,FALSE,1,"Your English is good enough to read this ad. Probably good enough to handle most of your job. But not good enough to feel confident in the room.
You don't need to start over. You need to activate what you already have and fill the specific gaps that matter for your work.
That's exactly what this course does. 10 modules built for B1-B2 professionals who use English at work — meetings, presentations, feedback, negotiations.
👉 Find out more
GETFLUENTLY.APP
✅ You know English. You just don't speak it at work
Improve pronunciation, vocabulary, and confidence with real-time AI feedback.
See details",,,https://app.getfluently.app/workplace-english-course/course-intro/?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBEySjhLQjB0SXRVMnhyYTdoWHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHpw-TOnjPbc3-Ro9z6AWLIF50l9_I-V-OWA1lTRBW_IYBr9OG21NwuFZsxTt_aem_u4wBEUzS6_K-gWqMQS8XeA,Image,,1,0,0.805,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/706496158_1307421108185172_4543511824086908686_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=dcL6dVDxzcEQ7kNvwEeo8il&_nc_oc=AdolqlknGmX1gd6glPFwXru44HLSwDTTXPFlspXJXtfEbC4OB3vnOdvvHRw3dEgJmrg&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=Qm-PYGQ_PXSMQ-mMYMs9_A&_nc_ss=7b2a8&oh=00_Af7rviqAVCPuMTbAjb5TdXARuCeqG-wsuBF3vnYnlW4B7w&oe=6A1E0C26,2026-06-01T22:48:06.000Z,2026-05-28
