row_rank,competitor_name,facebook_page_id,facebook_page_name,facebook_page_followers,target_country,ad_library_id,ad_library_url,ad_start_date,ad_end_date,has_low_impression_warning,ad_has_multiple_versions,ad_version_count,ad_primary_text,ad_description,ad_cta_label,ad_destination_url,ad_media_type,ad_distribution_platforms,creative_count_in_ad,creative_index_in_ad,creative_aspect_ratio,facebook_video_cdn_url_at_scrape,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date
18,Fluently,627280337124461,Fluently - AI English Tutor,,ALL,1686652102647476,https://www.facebook.com/ads/library/?id=1686652102647476,2026-06-04,,,false,1,,,,https://www.facebook.com/61572409659045/,Image,,1,0,4:5,,https://scontent.fblr1-4.fna.fbcdn.net/v/t39.35426-6/711687021_2212145349581172_4775207493937361474_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=LsQ5Nw4vo4QQ7kNvwEFZp7d&_nc_oc=AdpGNKtJaczsiDtwbrksndGuOPe7YuxG9ybeP3ksnVGl04i1BZkrcaSaYdBkgBKwBHTMm792isaRg22XTK5MrI8N&_nc_zt=14&_nc_ht=scontent.fblr1-4.fna&_nc_gid=M4f1T-4vGHJghDMNqUyj_Q&_nc_ss=7b2a8&oh=00_Af8dxJQ-FNaltIt-ficevYi73aZLHvlqVCUEN7jjwTvpIQ&oe=6A27801B,2026-06-04T15:41:56.149Z,2026-06-04
26,Fluently,627280337124461,Fluently - AI English Tutor,,ALL,973178348965797,https://www.facebook.com/ads/library/?id=973178348965797,2026-05-31,,,false,1,,,,https://www.facebook.com/61572409659045/,Image,,1,0,4:5,,https://scontent.fblr1-8.fna.fbcdn.net/v/t39.35426-6/710745943_1024388500246097_6429084617084913467_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=sL0VYUVzzwAQ7kNvwHerVpN&_nc_oc=AdoGY5xJqtXUdEg6URToc8Yo7kVIcHL6jPAgeOR3OkXwa_h49ig-A4kQblXOPswhQKddTfsZADxBrX3TUYwLgEUD&_nc_zt=14&_nc_ht=scontent.fblr1-8.fna&_nc_gid=m9VdxbymuHpxoZSGIJDESw&_nc_ss=7b2a8&oh=00_Af-CE5LrdxwE7v5mKKfNn2L5vA-LQPieeyemmcwtRT24ow&oe=6A27619C,2026-06-04T15:41:56.149Z,2026-06-04
30,Fluently,627280337124461,Fluently - AI English Tutor,,ALL,1201357198700139,https://www.facebook.com/ads/library/?id=1201357198700139,2026-05-31,,,false,1,,,,https://www.facebook.com/61572409659045/,Image,,1,0,1:1,,https://scontent.fblr1-4.fna.fbcdn.net/v/t39.35426-6/712430236_939617802371425_8927932430639307743_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=NKG8YXCd4ZUQ7kNvwFubQ9j&_nc_oc=Adqbdy4VBvBJN7hWxtlQaxotLxRndh0eC6e5Bu4ET5Pz0qTi5PpDRtJ-BcMybQDB0mJezEQYixcjlQbg4BMdf-jO&_nc_zt=14&_nc_ht=scontent.fblr1-4.fna&_nc_gid=m9VdxbymuHpxoZSGIJDESw&_nc_ss=7b2a8&oh=00_Af_PXlAZIM6i5ckpXH_kn_G26fe1sVX2VQcj4Swd4ipg2w&oe=6A27567E,2026-06-04T15:41:56.149Z,2026-06-04
33,Fluently,627280337124461,Fluently - AI English Tutor,,ALL,1535621011638603,https://www.facebook.com/ads/library/?id=1535621011638603,2026-05-31,,,false,1,,,,https://www.facebook.com/61572409659045/,Image,,1,0,4:5,,https://scontent.fblr1-3.fna.fbcdn.net/v/t39.35426-6/711774811_1755468715423584_3380160687026142847_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=uVMdRd-5AOQQ7kNvwEhEHY5&_nc_oc=AdoJCygF0joczsPDizPfhdk1UHf363MKBQOjgXul6hDoCI6M2NjHrFWbtQeB_pPcmVOW_NnJSVjasQBWjow87Y4Z&_nc_zt=14&_nc_ht=scontent.fblr1-3.fna&_nc_gid=m9VdxbymuHpxoZSGIJDESw&_nc_ss=7b2a8&oh=00_Af91coLr-N13KBbmycG6_Yi9YyTSAxb7F6ldVLDcY1N-lw&oe=6A2764FA,2026-06-04T15:41:56.149Z,2026-06-04
35,Fluently,627280337124461,Fluently - AI English Tutor,,ALL,4344384189223627,https://www.facebook.com/ads/library/?id=4344384189223627,2026-05-28,,,false,1,,,,https://www.facebook.com/61572409659045/,Image,,1,0,1:1,,https://scontent.fblr1-8.fna.fbcdn.net/v/t39.35426-6/708517773_4082595685359878_808739328381828177_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=TAt_PfTiYFIQ7kNvwGzOv7n&_nc_oc=AdrHDy34UCbqqC0T8dL96XOVvTHRj1Mfe07TkSFl67eLHbjytva_QqWnuBVttUQ4jkIzB0nLFpUMZX3UaCzq_BlC&_nc_zt=14&_nc_ht=scontent.fblr1-8.fna&_nc_gid=m9VdxbymuHpxoZSGIJDESw&_nc_ss=7b2a8&oh=00_Af9v8s9pxL7xskLoq2qy4NfLZXd1fHLo8rxBqfO7LJT3Ug&oe=6A278A5F,2026-06-04T15:41:56.149Z,2026-06-04
43,Fluently,627280337124461,Fluently - AI English Tutor,,ALL,1692623152063556,https://www.facebook.com/ads/library/?id=1692623152063556,2026-06-04,,,false,1,,,,https://www.facebook.com/61572409659045/,Image,,1,0,4:5,,https://scontent.fblr1-8.fna.fbcdn.net/v/t39.35426-6/716190286_1014972141022302_6704172113710359793_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=oVLb8ztEMdIQ7kNvwFZUTBz&_nc_oc=Adp2tq0-pwsFrIkhQVT7xqLk4B27B9IZI5AvXFsBKMzy9GR0UJzgViAEah6F3HE4UF2CrYPdu1TpOWpREHW_tVgW&_nc_zt=14&_nc_ht=scontent.fblr1-8.fna&_nc_gid=m9VdxbymuHpxoZSGIJDESw&_nc_ss=7b2a8&oh=00_Af8Pcd-eKGGDqII4JjF5H3wmdjgif-1j7baQJWst5-slZQ&oe=6A278092,2026-06-04T15:41:56.149Z,2026-06-04
52,Fluently,627280337124461,Fluently - AI English Tutor,,ALL,3244372495769338,https://www.facebook.com/ads/library/?id=3244372495769338,2026-06-01,,,false,1,,,,https://www.facebook.com/61572409659045/,Image,,1,0,1:1,,https://scontent.fblr1-6.fna.fbcdn.net/v/t39.35426-6/712864601_1027819209732649_5369733485117575170_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=-0hxl5w-vM4Q7kNvwGNU1hW&_nc_oc=Adp_hcSlT9isrb3kxTplvHE40lE1r-hcPREpGmc9fPyRUw7IGw0VjZbVqOVCbJtKxcMjmR0wqsXUhCtTTSpH8pPb&_nc_zt=14&_nc_ht=scontent.fblr1-6.fna&_nc_gid=m9VdxbymuHpxoZSGIJDESw&_nc_ss=7b2a8&oh=00_Af9vLv6N41ZBE_U_jvAmRUwKA3VDRy-OvEvI5DZon-wKGg&oe=6A276826,2026-06-04T15:41:56.150Z,2026-06-04
84,Fluently,627280337124461,Fluently - AI English Tutor,,ALL,1970705996897998,https://www.facebook.com/ads/library/?id=1970705996897998,2026-06-01,,,false,1,,,,https://www.facebook.com/61572409659045/,Image,,1,0,4:5,,https://scontent.fblr1-8.fna.fbcdn.net/v/t39.35426-6/710298990_1358494436143005_1693401774418123360_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=lh2gaxwhL4MQ7kNvwFK0G5P&_nc_oc=Adpi4Dkn4m97R3AX9-RJPv6apROBvWrzDjLhh7r_RWjGn9MRbtxdtzFhlUe-qWqxv-Dop6hzZgag_WW679s-YNkA&_nc_zt=14&_nc_ht=scontent.fblr1-8.fna&_nc_gid=1HwneAbRGRt4Jybyl57rnA&_nc_ss=7b2a8&oh=00_Af8PPUxFwPQxdd3G5gSdAFD74gojwPp7gDwVb7uN2YUK9g&oe=6A277FD4,2026-06-04T15:41:56.150Z,2026-06-04
101,Fluently,627280337124461,Fluently - AI English Tutor,,ALL,1366876448704069,https://www.facebook.com/ads/library/?id=1366876448704069,2026-06-04,,,false,1,,,,https://www.facebook.com/61572409659045/,Image,,1,0,4:5,,https://scontent.fblr1-5.fna.fbcdn.net/v/t39.35426-6/713823886_27003752442642025_8954373397744979437_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=R08LR1iqiPwQ7kNvwFvpacu&_nc_oc=AdosLEa2deJrFfuXYOpmed_olT1rWdrtnfc-GTT4TH3r70kdGbnf0Kl7Nac9YPa1J9phKfeJCoh1Ea9TK9V16Kcd&_nc_zt=14&_nc_ht=scontent.fblr1-5.fna&_nc_gid=yjOVSQ8opxgaD4veqfVs0Q&_nc_ss=7b2a8&oh=00_Af-lEBm0CTya3j0ESKEzpNbIIt8ggwUeG6te-5JbFAIvJA&oe=6A276D32,2026-06-04T15:41:56.151Z,2026-06-04
110,Fluently,627280337124461,Fluently - AI English Tutor,,ALL,866576172544581,https://www.facebook.com/ads/library/?id=866576172544581,2026-06-02,,,false,1,,,,https://www.facebook.com/61572409659045/,Image,,1,0,4:5,,https://scontent.fblr1-6.fna.fbcdn.net/v/t39.35426-6/709121903_1349339213720663_5907729892844889980_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=BFFfzBAjxOYQ7kNvwHTk1vr&_nc_oc=AdqVzhj8j4MymdgUwWqDB8A3zd7mWrFkSdB3OYbRIhYzW7tXfRc6IKM3SerMH5tFXoRZHUv6neFCA8AaVRqBlNtZ&_nc_zt=14&_nc_ht=scontent.fblr1-6.fna&_nc_gid=yjOVSQ8opxgaD4veqfVs0Q&_nc_ss=7b2a8&oh=00_Af8mhTanV4bKMD7_4Bm2gJmygqQQE6Y8qP2rRzd_pGbKgw&oe=6A276CA1,2026-06-04T15:41:56.151Z,2026-06-04
