row_rank,competitor_name,facebook_page_id,facebook_page_name,facebook_page_followers,target_country,ad_library_id,ad_library_url,ad_start_date,ad_end_date,has_low_impression_warning,ad_has_multiple_versions,ad_version_count,ad_primary_text,ad_description,ad_cta_label,ad_destination_url,ad_media_type,ad_distribution_platforms,creative_count_in_ad,creative_index_in_ad,creative_aspect_ratio,facebook_video_cdn_url_at_scrape,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date,r2_public_url
1,BoldVoice,,BoldVoice,4100,ALL,26925651373762919,https://www.facebook.com/ads/library/?id=26925651373762919,2026-05-14,,false,false,1,"Better pronunciation, better communication.
Try BoldVoice free.",Try BoldVoice Free,Use app,http://itunes.apple.com/app/id1567841142,Video,5 platforms,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQMTBMvpBSBElBgf40aCicjI3aETYTVWiLvEfImhOsujMClreol-A80ltSG_Ut07PUvuqH-kxhlYbLM8pEu-wF6_u3kLiRpyAcGpP87NXA.mp4?_nc_cat=101&_nc_oc=Adqm3Bbt25U1cygj20ECIRTLMW1nLDurRXEc9nzRmCgDy2MswUt4AaWP6oogWuRO6TU&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=8GCFKRkwwrAQ7kNvwFCD1s_&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTM4MzAwMjQ4ODA5NzM1LCJhc3NldF9hZ2VfZGF5cyI6NTcsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjoyOCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=FhrS75pw0VKZ2a0w_R-8mQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af4BWgTTc28-GMHyU_RXLDRKmCdL4RY6ueTCNUQemIfnYg&oe=6A1E16A9,,2026-06-01T23:32:57.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/26925651373762919.mp4
2,BoldVoice,,BoldVoice,4100,ALL,1477549913252506,https://www.facebook.com/ads/library/?id=1477549913252506,2026-05-14,,false,true,1,"Ready to take the next step in your career? 
Research on immigrant workers in the U.S. shows:
👉 Strong accents are correlated with lower earnings, even controlling for education.
Try BoldVoice free.",Use App,Take The Quiz,http://itunes.apple.com/app/id1567841142,Video,5 platforms,1,0,1:1,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQNID_C4Qxd_ugdfxX3MBjFjydKm5U58EK4QahZGVa-IyRy_NrqOdEI9eNy9Xqa8oQJa87EVqXck505bointVugY.mp4?_nc_cat=108&_nc_oc=AdqZ_Ziv-V4w6a_ul48sJIF0FVtq_TVVLnJLEF2u9W0mU6chcN6a9MhjSw3RF14Ms5w&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=nSrnCyLXEUsQ7kNvwHVAAmY&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTE3MDU5MDE0MDk4OTI0NSwiYXNzZXRfYWdlX2RheXMiOjc2NywidmlfdXNlY2FzZV9pZCI6MTAxMzksImR1cmF0aW9uX3MiOjI3LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=FhrS75pw0VKZ2a0w_R-8mQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af6nxIFUE4SWjDM4-Z8HXtVYc-5S229Q5yZAhBni0RvpLw&oe=6A1E0125,,2026-06-01T22:01:09.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1477549913252506.mp4
3,BoldVoice,,BoldVoice,4100,ALL,1292724245723832,https://www.facebook.com/ads/library/?id=1292724245723832,2026-05-14,,false,false,1,"Made for immigrants, by immigrants. Try BoldVoice free and never get asked to repeat yourself again.",,,http://itunes.apple.com/app/id1567841142,Video,5 platforms,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQM3KbBtRlowFwQQN7XT_fENARYOg4b7LxlleaQkYF9vzOQrToTOfaNpAossivvsfxl1NFtm5Wvs9EJqSFTZ2dvbK1WuPJwwabaAHYR-WA.mp4?_nc_cat=102&_nc_oc=Adpq0S12JC7t-EdgkPgIrnCJjui8FwMm78Dh6-jNqKY0deQyhdyk4J8T0jwKgz4h3jU&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=V6z0xTP_TIkQ7kNvwGbt6pq&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTQwNTIyNDI1MTkzNjcxLCJhc3NldF9hZ2VfZGF5cyI6NzEsInZpX3VzZWNhc2VfaWQiOjEwNzk5LCJkdXJhdGlvbl9zIjozNywidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=FhrS75pw0VKZ2a0w_R-8mQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af4xtW4Eu7lvVPjWmmYxIkJP38A6GK6GF8cHHbEU1GvClQ&oe=6A1E1A8C,,2026-06-01T23:49:32.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1292724245723832.mp4
4,BoldVoice,,BoldVoice,4100,ALL,1501335731525040,https://www.facebook.com/ads/library/?id=1501335731525040,2026-05-14,,false,true,1,"You shouldn’t have to repeat yourself
to be understood by your own family.
Try BoldVoice free.",Use App,Take The Quiz,http://itunes.apple.com/app/id1567841142,Video,5 platforms,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQPd9EaocOL0sfam1EmKJUk2fMLiXOQXuDpq-Ao4XYsAipaQHjsTTsV7Xv3SsTlHqj-4-MJzMFUF1UVzFxMg_sd0tOGuROhSOd_rSW7KQg.mp4?_nc_cat=110&_nc_oc=Adpze2yakswV4yLSgYt-0UzUzX-HpxPVxwYz1p3MpcJHsGGRRhaU68bBYPz78fiGB5w&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=lmtwhAXS40QQ7kNvwETpgnN&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTAyOTUyMzc4Nzg0NjA5LCJhc3NldF9hZ2VfZGF5cyI6MTE5LCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6NDgsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=FhrS75pw0VKZ2a0w_R-8mQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af5_OF51l6vmAilET6BsdawuxRmqGaOuNb0UYA6NJO2WLA&oe=6A1E07F4,,2026-06-01T22:30:12.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1501335731525040.mp4
5,BoldVoice,,BoldVoice,4100,ALL,855544760303086,https://www.facebook.com/ads/library/?id=855544760303086,2026-05-19,,false,false,1,"Better pronunciation, better communication.
Try BoldVoice free.",,,http://itunes.apple.com/app/id1567841142,Video,5 platforms,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQMY1IVadhPjDz11r25qoauIY0gMM_zuhga_qnAQMOpC-dNvYIF067VwQULbnBatH7DAwyploBVQw3W6gtYjZksv-3suvW2-spq6xY-g9g.mp4?_nc_cat=108&_nc_oc=Adoe3E-z9VtNVtDruAe9UTkb1pfMjVr24EqWeSghYWRHaN54jMDKkKoZe2dD2lsir4w&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=Jhwafxvl0E4Q7kNvwFyLQxj&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTE5ODQ1Mjg5MjI5NjI2MywiYXNzZXRfYWdlX2RheXMiOjE0LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MjYsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=FhrS75pw0VKZ2a0w_R-8mQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af5XQnKMaifdKqxRs4CE7r9-wkixef_yJ6ft82M54B93HQ&oe=6A1E2D92,,2026-06-02T01:10:42.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/855544760303086.mp4
6,BoldVoice,,BoldVoice,4100,ALL,956123550567832,https://www.facebook.com/ads/library/?id=956123550567832,2026-05-14,,false,true,1,"We help you break the language barrier!
Try BoldVoice Free.",Use App,Take The Quiz,http://itunes.apple.com/app/id1567841142,Video,5 platforms,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQNXaqjChF7yVnMJhWk_tzVZrUMGEfJePKHSEFQQHQfEq1r5ygHP4Kbm5-f0E7uM1j8UuOSneq7_5ojDHo1ghvnjfGTwmT1jixQZ9xfHLw.mp4?_nc_cat=105&_nc_oc=Adq8TmSEzztRlLTckkNuWF2Euycj0AM2YR_Vb8CZyFLasnuGoLCUKuixIkNbozeR5Fc&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=zV69o3Ts6kwQ7kNvwGTY6gA&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6NDI3NDc1MjI3OTQ1ODc1MywiYXNzZXRfYWdlX2RheXMiOjk2LCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6NDksInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=FhrS75pw0VKZ2a0w_R-8mQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af4aEbINCOTm1jU1QTcDAaWpOGS-PzSPu9eBQvj9qIMOWg&oe=6A1E2F3D,,2026-06-02T01:17:49.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/956123550567832.mp4
7,BoldVoice,,BoldVoice,4100,ALL,1502545061491568,https://www.facebook.com/ads/library/?id=1502545061491568,2026-05-17,,false,false,1,"You shouldn’t have to repeat yourself
to be understood by your own family.
Try BoldVoice free.",Take The Quiz,Use app,http://itunes.apple.com/app/id1567841142,Video,5 platforms,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQPd9EaocOL0sfam1EmKJUk2fMLiXOQXuDpq-Ao4XYsAipaQHjsTTsV7Xv3SsTlHqj-4-MJzMFUF1UVzFxMg_sd0tOGuROhSOd_rSW7KQg.mp4?_nc_cat=110&_nc_oc=Adpze2yakswV4yLSgYt-0UzUzX-HpxPVxwYz1p3MpcJHsGGRRhaU68bBYPz78fiGB5w&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=lmtwhAXS40QQ7kNvwETpgnN&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTAyOTUyMzc4Nzg0NjA5LCJhc3NldF9hZ2VfZGF5cyI6MTE5LCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6NDgsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=FhrS75pw0VKZ2a0w_R-8mQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af5_OF51l6vmAilET6BsdawuxRmqGaOuNb0UYA6NJO2WLA&oe=6A1E07F4,,2026-06-01T22:30:12.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1502545061491568.mp4
8,BoldVoice,,BoldVoice,4100,ALL,1309059627222656,https://www.facebook.com/ads/library/?id=1309059627222656,2026-05-19,,false,true,1,"We help you break the language barrier!
Try BoldVoice Free.",Use App,Take The Quiz,http://itunes.apple.com/app/id1567841142,Video,5 platforms,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQPTfijk2JgH01CiBkXAze8Esn_SBJniXTlzBb89nqm4J93a3CgRFTHZLDXt72AV8J8FnyYsHv7yLCJ2GhpRP88cij_JZDU61MfHU4_LGg.mp4?_nc_cat=105&_nc_oc=AdqHY6j-_JtAp4smaZ8G25Vei7UFw83QT45JH0nAwB2ms0j07XNMeYapJML2ATqIenk&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=Zmc4Q6aVjSoQ7kNvwEE4YeR&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTMzMjUxNDAwNTM5MjUyMCwiYXNzZXRfYWdlX2RheXMiOjI4LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MzUsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=FhrS75pw0VKZ2a0w_R-8mQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af7jeDl5Yj1LMdn6n-H1yx9PY6aNp1zoz46sJNcWyHE23w&oe=6A1E2A49,,2026-06-02T00:56:41.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1309059627222656.mp4
9,BoldVoice,,BoldVoice,4100,ALL,1319964226900186,https://www.facebook.com/ads/library/?id=1319964226900186,2026-05-16,,false,false,1,"👂 Want to improve your english accent?
✅ Only takes 10 minutes before bed
🧠 Try BoldVoice Free",,,http://itunes.apple.com/app/id1567841142,Video,5 platforms,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQNXaqjChF7yVnMJhWk_tzVZrUMGEfJePKHSEFQQHQfEq1r5ygHP4Kbm5-f0E7uM1j8UuOSneq7_5ojDHo1ghvnjfGTwmT1jixQZ9xfHLw.mp4?_nc_cat=105&_nc_oc=Adq8TmSEzztRlLTckkNuWF2Euycj0AM2YR_Vb8CZyFLasnuGoLCUKuixIkNbozeR5Fc&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=zV69o3Ts6kwQ7kNvwGTY6gA&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6NDI3NDc1MjI3OTQ1ODc1MywiYXNzZXRfYWdlX2RheXMiOjk2LCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6NDksInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=FhrS75pw0VKZ2a0w_R-8mQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af4aEbINCOTm1jU1QTcDAaWpOGS-PzSPu9eBQvj9qIMOWg&oe=6A1E2F3D,,2026-06-02T01:17:49.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1319964226900186.mp4
10,BoldVoice,,BoldVoice,4100,ALL,977301534886774,https://www.facebook.com/ads/library/?id=977301534886774,2026-05-26,,false,false,1,Speak English just as well as your family. Try BoldVoice free.,Try BoldVoice Free,Use app,http://itunes.apple.com/app/id1567841142,Video,5 platforms,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQPTfijk2JgH01CiBkXAze8Esn_SBJniXTlzBb89nqm4J93a3CgRFTHZLDXt72AV8J8FnyYsHv7yLCJ2GhpRP88cij_JZDU61MfHU4_LGg.mp4?_nc_cat=105&_nc_oc=AdqHY6j-_JtAp4smaZ8G25Vei7UFw83QT45JH0nAwB2ms0j07XNMeYapJML2ATqIenk&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=Zmc4Q6aVjSoQ7kNvwEE4YeR&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTMzMjUxNDAwNTM5MjUyMCwiYXNzZXRfYWdlX2RheXMiOjI4LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MzUsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=FhrS75pw0VKZ2a0w_R-8mQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af7jeDl5Yj1LMdn6n-H1yx9PY6aNp1zoz46sJNcWyHE23w&oe=6A1E2A49,,2026-06-02T00:56:41.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/977301534886774.mp4
