row_rank,page_rank,competitor_name,facebook_page_id,facebook_page_name,facebook_page_followers,target_country,ad_library_id,ad_library_url,ad_start_date,ad_end_date,has_low_impression_warning,ad_has_multiple_versions,ad_version_count,version_index,version_id,version_start_date,version_end_date,version_primary_text,version_description,version_cta_label,version_destination_url,version_platforms_distribution,ad_primary_text,ad_description,ad_cta_label,ad_destination_url,ad_media_type,ad_distribution_platforms,creative_count_in_ad,creative_index_in_ad,creative_aspect_ratio,facebook_video_cdn_url_at_scrape,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date
1,1,EWA,165004157332215,EWA: Learn Languages,,IN,994760606773075,https://www.facebook.com/ads/library/?id=994760606773075,2026-05-27,,false,true,11,0,994760606773075,2026-05-27,,💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termsos7090/offseason90/classic/012-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,"Facebook,Instagram,Audience Network,Messenger,Threads",💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termsos7090/offseason90/classic/012-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1024x1536,,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/708987431_1270758051914371_2052249782402512438_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=0-WU4mxerRMQ7kNvwGtezyX&_nc_oc=Adrh_6cRsRsaweSvzyKNcSjQnWBIPem2G6RegGe-vxlpsP2MMF1DKJ9eC2_8Utyeujc&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=Putt0R-UsldDz74DP0vvCQ&_nc_ss=7f289&oh=00_Af__Fw7VpwWzt92xMhp5TkbA4M0Ubx_2rh05TC8UHfHPZA&oe=6A3ECD42,2026-06-26T19:04:34.000Z,2026-06-22
2,1,EWA,165004157332215,EWA: Learn Languages,,IN,994760606773075,https://www.facebook.com/ads/library/?id=994760606773075,2026-05-27,,false,true,11,1,4275663419339672,2026-05-27,,💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termsos7090/offseason90/classic/012-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,"Facebook,Instagram,Audience Network,Messenger,Threads",💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termsos7090/offseason90/classic/012-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1024x1536,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/709326228_974982535376195_7451416798344222879_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=hJ91aua1QVQQ7kNvwEzvzoX&_nc_oc=AdoM7yuwLHWFhjMhEutpeSSspImTXdfUrdvVQzkLf5TWHIHmxfldj12Xris9FvOmsYg&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=MFgxAQDwDOhKfOXevo3quA&_nc_ss=7f289&oh=00_Af86EJPidAG5ewEUl1UNcAELAZHApIQEzUldoEb8HWeuwA&oe=6A3EB6AD,2026-06-26T17:28:13.000Z,2026-06-22
3,1,EWA,165004157332215,EWA: Learn Languages,,IN,994760606773075,https://www.facebook.com/ads/library/?id=994760606773075,2026-05-27,,false,true,11,2,1698483094904454,2026-05-27,,💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termssp90/sp90f3mv2/spring/011-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,"Facebook,Instagram,Audience Network,Messenger,Threads",💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termsos7090/offseason90/classic/012-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1024x1536,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/708606390_927012333689548_2637931036780447768_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=KuASZp-bELAQ7kNvwFsGmJ6&_nc_oc=AdrZSzWX8kactGdUgB8NuOQsk2Rq8H1agHcisdVHwyV0CqLbSJmEVQpygw67Dw2hc0Y&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=nBct-9AeDO_Sspl1_8glIQ&_nc_ss=7f289&oh=00_Af_yd3YNjuqAfoQH18zLTBEtkesdFQAjodMvtATsiPBA1w&oe=6A3EAE89,2026-06-26T16:53:29.000Z,2026-06-22
4,1,EWA,165004157332215,EWA: Learn Languages,,IN,994760606773075,https://www.facebook.com/ads/library/?id=994760606773075,2026-05-27,,false,true,11,3,1032117302806187,2026-05-27,,💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termssp90/sp90f3mv2/spring/011-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,"Facebook,Instagram,Audience Network,Messenger,Threads",💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termsos7090/offseason90/classic/012-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1024x1536,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/708606390_927012333689548_2637931036780447768_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=KuASZp-bELAQ7kNvwFsGmJ6&_nc_oc=AdrZSzWX8kactGdUgB8NuOQsk2Rq8H1agHcisdVHwyV0CqLbSJmEVQpygw67Dw2hc0Y&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=9TQdb99lBUtXFyacOTaf5w&_nc_ss=7f289&oh=00_Af-9HE_by8Nm603mdgsJ114_TbL37fv3k-yh1agoQO6_LQ&oe=6A3EAE89,2026-06-26T16:53:29.000Z,2026-06-22
5,1,EWA,165004157332215,EWA: Learn Languages,,IN,994760606773075,https://www.facebook.com/ads/library/?id=994760606773075,2026-05-27,,false,true,11,4,1031235479558845,2026-06-14,,💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termssp90/sp90f3mv2/spring/011-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,"Facebook,Instagram,Audience Network,Messenger,Threads",💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termsos7090/offseason90/classic/012-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1024x1536,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/708606390_927012333689548_2637931036780447768_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=KuASZp-bELAQ7kNvwFsGmJ6&_nc_oc=AdrZSzWX8kactGdUgB8NuOQsk2Rq8H1agHcisdVHwyV0CqLbSJmEVQpygw67Dw2hc0Y&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=hda2jVRMCoM3HzIc2LaczA&_nc_ss=7f289&oh=00_Af9gXctP3fEWuVeUxux_pYH8XUUL5e0nbfkJO5xjUa3OHg&oe=6A3EAE89,2026-06-26T16:53:29.000Z,2026-06-22
6,1,EWA,165004157332215,EWA: Learn Languages,,IN,994760606773075,https://www.facebook.com/ads/library/?id=994760606773075,2026-05-27,,false,true,11,5,4469012000040469,2026-06-15,,💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termssp90/sp90f3mv2/spring/011-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,"Facebook,Instagram,Audience Network,Messenger,Threads",💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termsos7090/offseason90/classic/012-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1024x1536,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/708606390_927012333689548_2637931036780447768_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=KuASZp-bELAQ7kNvwFsGmJ6&_nc_oc=AdrZSzWX8kactGdUgB8NuOQsk2Rq8H1agHcisdVHwyV0CqLbSJmEVQpygw67Dw2hc0Y&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=dzkr6jccomdZSit-erK2MQ&_nc_ss=7f289&oh=00_Af8bNJDEu78H6VtClB5BNAj7R0HjmohVdmGCoWsguUYAsw&oe=6A3EAE89,2026-06-26T16:53:29.000Z,2026-06-22
7,1,EWA,165004157332215,EWA: Learn Languages,,IN,994760606773075,https://www.facebook.com/ads/library/?id=994760606773075,2026-05-27,,false,true,11,6,1951881358797448,2026-06-15,2026-06-20,💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termssp90/sp90f3mv2/spring/011-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,"Facebook,Instagram,Audience Network,Messenger,Threads",💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termsos7090/offseason90/classic/012-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1024x1536,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/708606390_927012333689548_2637931036780447768_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=KuASZp-bELAQ7kNvwFsGmJ6&_nc_oc=AdrZSzWX8kactGdUgB8NuOQsk2Rq8H1agHcisdVHwyV0CqLbSJmEVQpygw67Dw2hc0Y&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=0JbdbnT8m9VT26f7Xqd-LA&_nc_ss=7f289&oh=00_Af_6R-kS0zhS9G4ImjVumXOGgT1jefXWsZUX5pwT5qGGvw&oe=6A3EAE89,2026-06-26T16:53:29.000Z,2026-06-22
8,1,EWA,165004157332215,EWA: Learn Languages,,IN,994760606773075,https://www.facebook.com/ads/library/?id=994760606773075,2026-05-27,,false,true,11,7,1700119214653192,2026-06-12,2026-06-20,💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termssp90/sp90f3mv2/spring/011-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,"Facebook,Instagram,Audience Network,Messenger,Threads",💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termsos7090/offseason90/classic/012-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1024x1536,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/708606390_927012333689548_2637931036780447768_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=KuASZp-bELAQ7kNvwFsGmJ6&_nc_oc=AdrZSzWX8kactGdUgB8NuOQsk2Rq8H1agHcisdVHwyV0CqLbSJmEVQpygw67Dw2hc0Y&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=jA7TvncwgdUWAGt1H8-fQw&_nc_ss=7f289&oh=00_Af-L8z4R4RxS2NcEPxEu8DqzI1IBiQkMGTXt05UJ3gIrTg&oe=6A3EAE89,2026-06-26T16:53:29.000Z,2026-06-22
9,1,EWA,165004157332215,EWA: Learn Languages,,IN,994760606773075,https://www.facebook.com/ads/library/?id=994760606773075,2026-05-27,,false,true,11,8,1364484968975747,2026-06-15,2026-06-19,💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termssp90/sp90f3mv2/spring/011-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,"Facebook,Instagram,Audience Network,Messenger,Threads",💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termsos7090/offseason90/classic/012-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1024x1536,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/708606390_927012333689548_2637931036780447768_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=KuASZp-bELAQ7kNvwFsGmJ6&_nc_oc=AdrZSzWX8kactGdUgB8NuOQsk2Rq8H1agHcisdVHwyV0CqLbSJmEVQpygw67Dw2hc0Y&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=VlEDMqGVEsYTQENO9lY1cw&_nc_ss=7f289&oh=00_Af914V8rH1AElbJtKi9L5M5KbS7sVaXNGH51VKW2XCXQ0Q&oe=6A3EAE89,2026-06-26T16:53:29.000Z,2026-06-22
10,1,EWA,165004157332215,EWA: Learn Languages,,IN,994760606773075,https://www.facebook.com/ads/library/?id=994760606773075,2026-05-27,,false,true,11,9,1950847332284425,2026-06-15,2026-06-18,💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termssp90/sp90f3mv2/spring/011-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,"Facebook,Instagram,Audience Network,Messenger,Threads",💥💥Improve your English in just 4 weeks‼️Don't miss the opportunity to learn up to 90% more efficiently🔝🎁,Start Now 👉🏼👉🏼👉🏼,Learn more,https://quiz.appewa.com/sweetboarding/en-en/termsos7090/offseason90/classic/012-start?c={{campaign.name}}&af_adset={{adset.name}}&af_ad={{ad.name}}&af_c_id={{campaign.id}}&af_adset_id={{adset.id}}&af_ad_id={{ad.id}}&fb_pixel_direct=1,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1024x1536,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/708606390_927012333689548_2637931036780447768_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=KuASZp-bELAQ7kNvwFsGmJ6&_nc_oc=AdrZSzWX8kactGdUgB8NuOQsk2Rq8H1agHcisdVHwyV0CqLbSJmEVQpygw67Dw2hc0Y&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=gM4P8MiC1GFbfQYbeVw8-A&_nc_ss=7f289&oh=00_Af8olOpkeTj-tLGDqY1sAlMGRUM6W3fkA-eGUs4Fb_EDYA&oe=6A3EAE89,2026-06-26T16:53:29.000Z,2026-06-22
