row_rank,competitor_name,facebook_page_id,facebook_page_name,facebook_page_followers,target_country,ad_library_id,ad_library_url,ad_start_date,ad_end_date,has_low_impression_warning,ad_has_multiple_versions,ad_version_count,ad_primary_text,ad_description,ad_cta_label,ad_destination_url,ad_media_type,ad_distribution_platforms,creative_count_in_ad,creative_index_in_ad,creative_aspect_ratio,facebook_video_cdn_url_at_scrape,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date
1,Loora,105478174979714,Loora,,IN,1286341193458429,https://www.facebook.com/ads/library/?id=1286341193458429,,,FALSE,FALSE,1,Speak English fluently with your virtual AI English tutor 😎,,,,Video,,1,0,9:16,https://scontent.fblr1-8.fna.fbcdn.net/o1/v/t2/f2/m412/AQNxVtL129ccor8woZKBCQ-sDf62udkHqXlgEDgD77iKgJYOmmcgqxVgBwuZ4X7BoJCYzqYH0NJRFE3y69e8O82-CAJbzLzP4VoGE9YlBg.mp4?_nc_cat=110&_nc_oc=Adr7HZMw0u7DhGSx9h0Ru-T96ZV2BGRziMdN3Fyh_WDxbgCkRN3Yx2FOhN15bs0weg3gmsbCf9-A9Rp2R67iXV8f&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-8.fna.fbcdn.net&_nc_ohc=52eROivGJUkQ7kNvwFADLcQ&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTI0NjY1NTE2NzgwMjA4LCJhc3NldF9hZ2VfZGF5cyI6OTIsInZpX3VzZWNhc2VfaWQiOjEwNzk5LCJkdXJhdGlvbl9zIjozNCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-mrcoRSCVY5bf5Lr9_qBJJuc3xMJaW6KDMTLFV-AZE1w&oe=6A276CF8,https://scontent.fblr1-9.fna.fbcdn.net/v/t39.35426-6/666462074_1463621638883297_8834218527479720581_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=TqzX8VCwiA0Q7kNvwHYuV2P&_nc_oc=AdrSm6sPHuz81mKqtbll-EvFjrG4pu2Xei2OwH7AR_jK5j6PjKrH6AQ4QpSf22wGBE7V-sUb01TC-2vG8_BNbTg_&_nc_zt=14&_nc_ht=scontent.fblr1-9.fna&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&oh=00_Af-mIxb9egCpBxIUJpe65WUxLi3LWqapGyULqAAoKjvobA&oe=6A2760C0,2026-06-09T01:31:36.000Z,2026-06-04
2,Loora,105478174979714,Loora,,IN,2824622157869852,https://www.facebook.com/ads/library/?id=2824622157869852,,,FALSE,FALSE,1,Don't be shy to speak English! Become a fluent speaker with your AI Tutor 😎,,,,Video,,1,0,9:16,https://scontent.fblr1-5.fna.fbcdn.net/o1/v/t2/f2/m412/AQOMW78nvXGtWJ9gjeCZbsgAxHS1JWxiWB1_dhnTFDS-WPp4jmtqwC2ApWbX5qK-eiqx_I0GbpkYLGywdYgY5RN4LyC1vsgCqnuG1n_04A.mp4?_nc_cat=111&_nc_oc=AdoDmB5LGLrhSavYCovTq3ZhTULuqKTGbwxfeP_cJgOoBYQuZ7ciusFylcV1PO4dzh0Jbzw3rSLy8hw6_mtKN4Op&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-5.fna.fbcdn.net&_nc_ohc=lh8D9L2Vr1cQ7kNvwHYCmE6&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTU0NDY1MjI0MTY2NjIwLCJhc3NldF9hZ2VfZGF5cyI6MTgsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjo2OCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af_-MZ24qXYld_ossWi9gRhcHyroVch7lmz5jmeY1dCrHw&oe=6A2759A3,https://scontent.fblr1-6.fna.fbcdn.net/v/t39.35426-6/702077527_1259164456297825_6529799942447874407_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=qS-ISODh93gQ7kNvwEeQpsM&_nc_oc=AdqKD940gsk2jx-dSw0DzkaCdQE5zJ6O0olsos-u9hx6cA25-Zlp8TGX0F6YvZ_I-eTORVAZc0xlVB1POSYyHnXt&_nc_zt=14&_nc_ht=scontent.fblr1-6.fna&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&oh=00_Af8rzZtvFCLmJrJWqsn-y-23nCM1uN8wxMlVqIh_qdHOBQ&oe=6A27628B,2026-06-09T00:09:07.000Z,2026-06-04
3,Loora,105478174979714,Loora,,IN,1923073918386349,https://www.facebook.com/ads/library/?id=1923073918386349,,,FALSE,FALSE,1,Started running on 19 Feb 2026,,,,Video,,1,0,9:16,https://scontent.fblr1-6.fna.fbcdn.net/o1/v/t2/f2/m412/AQOJjDNHoUi5yOO5Le6wgBz0dd1gR5to24923rzdmDr0QTUmMuXvI86ioPb5Z94HW-PQcXc_oucsZ8nSA0GrfUBHeyOkEqXgqxQabBmqWA.mp4?_nc_cat=109&_nc_oc=Adq8LgD-f8jjeC0Uw-prDeq8N_0KBwqTgEyIyVmr-E-n2nDqRcW0Bn8klUgndNjpWMQVzfsoLlzBT_lsOyou73uh&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-6.fna.fbcdn.net&_nc_ohc=yBBhaLAE3aEQ7kNvwEcs_js&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTgxODYzMTcyNTUxMDYwNywiYXNzZXRfYWdlX2RheXMiOjEzMCwidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjM3LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-EAvjij49pHc3k4SEAMjaV0v4sKY4gG8QPyASVlrCwkw&oe=6A277415,https://scontent.fblr1-4.fna.fbcdn.net/v/t39.35426-6/638396650_1601165131185582_4427599875633472058_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=HwBjjzlWDRkQ7kNvwGh6RyV&_nc_oc=AdpcgP6DxfHdjqGeFaIS6zut5xqxCRgPaWmGBCxvYglXZPRcNo0yJ1TQTvufB2n2mKPRifDBb29tbqyqCZdUBn29&_nc_zt=14&_nc_ht=scontent.fblr1-4.fna&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&oh=00_Af_xIR6iq18LczBFS53eDJcwpoNUbalHIRU04LrW5-ZRhA&oe=6A275BB7,2026-06-09T02:01:57.000Z,2026-06-04
4,Loora,105478174979714,Loora,,IN,1758731028824393,https://www.facebook.com/ads/library/?id=1758731028824393,,,FALSE,FALSE,1,Don't be shy to speak English! Become a fluent speaker with your AI Tutor 😎,,,,Video,,1,0,9:16,https://scontent.fblr1-6.fna.fbcdn.net/o1/v/t2/f2/m412/AQNMfzr_9fF68WZcl98KXUGIgNyz8qmv7-r-EmEDVf3IayL9Lz-eiZwXVOhMxwO9NYMPq8WupQrd3FpOuj439nr9WDI0_XpharuO2j3PMg.mp4?_nc_cat=100&_nc_oc=AdocdHj-Fh901Mi6tWrGeddYU9iSE0ZhanfMWQ79katHL2jCVaUNKnmma_jLJc2K5xMRGihlT6T4FHuxs_aiDhlD&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-6.fna.fbcdn.net&_nc_ohc=34ELIzn-Bn0Q7kNvwHf1gAr&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTMxMDIyMjkxNDU2ODYwNSwiYXNzZXRfYWdlX2RheXMiOjgsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjo3MywidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af89wskMxCkOxdVu-aaBrm06eoE9qR1aQa19A9UD18QN0Q&oe=6A277166,https://scontent.fblr1-4.fna.fbcdn.net/v/t39.35426-6/707489839_2129127701347443_3569007789376978361_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=4RYcY4PhEXIQ7kNvwE0vXDk&_nc_oc=AdqEUQqI14tOJ-T5LG5OUi52zNh1fXdfVp5dXcmrASWZh2qXYnKHUTTvhy-YynROBRWFR2RR3jldIRkonVj57c-P&_nc_zt=14&_nc_ht=scontent.fblr1-4.fna&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&oh=00_Af8Yt0tzUyj5qPsJZXNtyWbOZuenR_DvlJZfLZgSeYC0tA&oe=6A27582B,2026-06-09T01:50:30.000Z,2026-06-04
5,Loora,105478174979714,Loora,,IN,3920858908216732,https://www.facebook.com/ads/library/?id=3920858908216732,,,FALSE,FALSE,1,Speak English fluently with your virtual AI English tutor 😎,,,,Video,,1,0,9:16,https://scontent.fblr1-3.fna.fbcdn.net/o1/v/t2/f2/m412/AQPoIFZtA3DnZfyptotpOjtHtwkYyLucXS44FzJoC7rhjmBjn-0PlUvt_JGpT-c7RSBxYzXU1Xhd04fVNDxyCuBUNoWgYuC-PVcOeDTm-g.mp4?_nc_cat=107&_nc_oc=AdoMYFd1gX3WfrREErmdOmLAY0g4qYasLsRIx6NNstm1jpTFZvWdpOK_m4eWIr6rAtJSmwglhzceAu8y-subhMyX&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-3.fna.fbcdn.net&_nc_ohc=vCuyx3IS0rkQ7kNvwHPV58a&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTk1MjM2NTE4ODcxNTEwMCwiYXNzZXRfYWdlX2RheXMiOjU4LCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6NDAsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af9D0nyuVxn2sY9HU41uihzWVzfRDUq6DjM_IhMGqzTJJA&oe=6A277F1F,https://scontent.fblr1-5.fna.fbcdn.net/v/t39.35426-6/703914451_2857845411240026_9148014893053726851_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=j-dzpWlSKUAQ7kNvwFMC4Z6&_nc_oc=AdpaEAPBURNLqQzCZVlBw_SK8c_633U-MFhAG1OHc3vvh2-IPW-43aNYWEhTG4xBRxdPGZmB5Tjn-2UGlpbyvMVC&_nc_zt=14&_nc_ht=scontent.fblr1-5.fna&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&oh=00_Af_qNU9LtDjhgOo21ZJbYIFsigiaFePfwJ01pm2peoAxNQ&oe=6A27543A,2026-06-09T02:49:03.000Z,2026-06-04
6,Loora,105478174979714,Loora,,IN,1582553446724594,https://www.facebook.com/ads/library/?id=1582553446724594,,,FALSE,FALSE,1,Started running on 10 May 2026,,Download,,Video,,1,0,9:16,https://scontent.fblr1-6.fna.fbcdn.net/o1/v/t2/f2/m412/AQNSVhZuYe3oxSuElGFPkZnsVFIM5cWw2OShae3ZDYzwn7Bt8hXo3SddqdoXYNZWdZGNAESl3fOl_8xrZaWuWgN5-9srHm__UmDWOdtaOw.mp4?_nc_cat=102&_nc_oc=Adp63zOgIr7VdNH_L4f8kTAY02gQ-6PE6IPUcRy6IUj-G4wHilYCpihIdms-glVuoM3CLJuvcCAHei5YKsC8hWzx&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-6.fna.fbcdn.net&_nc_ohc=zi5OTkfTAG8Q7kNvwFJpQMd&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6NzY4MzAyODA5NjU2MzE1LCJhc3NldF9hZ2VfZGF5cyI6MTIxLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6NjksInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af_ogdlF0pf0vHo1pN5KEG0_1-5Ff6DWFDEW-4nIn93xkw&oe=6A2772D0,https://scontent.fblr1-4.fna.fbcdn.net/v/t39.35426-6/695072023_1225868522848753_8179924141825297498_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=6XoLT0M4RL8Q7kNvwF2-Fg9&_nc_oc=AdqsUZJQJvR65UOf_mhu5bzD2JdZYCiKMAFfgyXxAV-BW9aoivXH9qGkHIWOFZNBntYZ4Cbg8ZM9ukcWf8qIqPfA&_nc_zt=14&_nc_ht=scontent.fblr1-4.fna&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&oh=00_Af_ac5WR-05GASO5bsCDNg_WZBJxbGQiOhKd_6ZwCA07hg&oe=6A27529A,2026-06-09T01:56:32.000Z,2026-06-04
7,Loora,105478174979714,Loora,,IN,1581060787352516,https://www.facebook.com/ads/library/?id=1581060787352516,,,FALSE,FALSE,1,Speak English fluently with your virtual AI English tutor 😎,,,,Video,,1,0,9:16,https://scontent.fblr1-9.fna.fbcdn.net/o1/v/t2/f2/m412/AQPvOl4Q93-ZCym4VIh9IGdZvdtuB1W_-roz4b6sio7TjPD8P4uq-gInUZg1DItSdcKAjwW4amds9pqfybnECyeXDN1qUp_HA0bHPGYPOg.mp4?_nc_cat=105&_nc_oc=AdrwFn7mK8xe6rUuSZHjvs9yjXL6j3O47RllqLicb-suZz1NjDxUjfpbsyCNF6wQaqwEC9CMCil752prBbefPn0E&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-9.fna.fbcdn.net&_nc_ohc=HsiRrDC12ucQ7kNvwFnkRAU&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjAyODY2NjY2NDcyMzE5NCwiYXNzZXRfYWdlX2RheXMiOjU4LCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6NDAsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af_uismVCgz5eUP1Wf384Ga_jDoJOol_0skur6s5-Z8CzA&oe=6A274F09,https://scontent.fblr1-8.fna.fbcdn.net/v/t39.35426-6/703111654_2412863459217644_4288997983267188542_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ByjUs15cf9YQ7kNvwF55FiI&_nc_oc=Adqulh9K2cBSh9TXOncNC_UH-8gsoTAbEJU2PlQ6VBokf4sAjFjGSjYFu7JfT08GIysM-q-oGu18R8CZSwUnFQMn&_nc_zt=14&_nc_ht=scontent.fblr1-8.fna&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&oh=00_Af8o2x14bmGH7JRP0IGtu3PyUCo3teFgqV_r5PjSaovmIg&oe=6A276E2A,2026-06-08T23:23:53.000Z,2026-06-04
8,Loora,105478174979714,Loora,,IN,887166504395248,https://www.facebook.com/ads/library/?id=887166504395248,,,FALSE,FALSE,1,Don't be shy to speak English! Become a fluent speaker with your AI Tutor 😎,,,,Video,,1,0,9:16,https://scontent.fblr1-6.fna.fbcdn.net/o1/v/t2/f2/m412/AQMoVRKD2ziuDOyAXyFUBol011pkEiCnpQRNlKINJiiyE2n9Pm58hOFCArTsS3qmkHy7iPpGyFliAapfOnVDN5yoaOU5q6hwqDPSTVG2Kw.mp4?_nc_cat=102&_nc_oc=Adore7tU53RChidN9ej_wFLCUBBNHThIAuPWnJImOJH7Gl5t3eEqlHbo2ATLCvHaNSucjACZPU6svR-5d4EoeIxM&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-6.fna.fbcdn.net&_nc_ohc=sZ6ux0SIey0Q7kNvwFg9KUl&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTMwMTgxODczODQzMjgwMywiYXNzZXRfYWdlX2RheXMiOjc2LCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6NDYsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af9meWcGdhxWezjg0BxWlV4a8JDJ008GEJ3yf8PrmFNl2g&oe=6A276DD0,https://scontent.fblr1-9.fna.fbcdn.net/v/t39.35426-6/705964735_1388204093113192_2142434905209027164_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=JCMg_viYDNMQ7kNvwG52OtG&_nc_oc=AdrcDLgGBoXkcXgvqMzlKNKJGXBnXm8xPhC87P9kqeEA9JAs5198HgSjV3FtDNcwEyPQwtTg-5EPTkVrgzaL9dqW&_nc_zt=14&_nc_ht=scontent.fblr1-9.fna&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&oh=00_Af9Zv6QQDD75SUwdTT-Qz-BGOwd4rjX-GOBL7Rf5fz2sOA&oe=6A27545F,2026-06-09T01:35:12.000Z,2026-06-04
9,Loora,105478174979714,Loora,,IN,1261073506142042,https://www.facebook.com/ads/library/?id=1261073506142042,,,FALSE,FALSE,1,Habla inglés con fluidez con tu tutor virtual de inglés con IA 😎,,,,Video,,1,0,9:16,https://scontent.fblr1-4.fna.fbcdn.net/o1/v/t2/f2/m412/AQO5HeCxPH2ynLzrdnfTJWzMtXaTa47-cCwUD0_zu4EpU0PruLSLFOP0iroeBsdMZK_swKJGp8ulDI7IgtJUXzXkrx8wIj15a7oBRlObLQ.mp4?_nc_cat=104&_nc_oc=AdqRsd6HRYY2i-5HvLZfxx80nF5ZSbxq2eNTrk1Ly_hBEgTRbbjd2I4Nzpq6_X6R4gXXBtj-10Vx1nNvNsLwlxNV&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-4.fna.fbcdn.net&_nc_ohc=Hjw4GOTeq6kQ7kNvwEkIY03&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTI2Mjk1MzI5NTY1NDY2MiwiYXNzZXRfYWdlX2RheXMiOjE1OCwidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjM4LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af_7rUG_lCEhP11LwNh5NS2bOnDNkYNYmFcvKQmesMwtgQ&oe=6A275FD6,https://scontent.fblr1-8.fna.fbcdn.net/v/t39.35426-6/673668111_1436189667814547_1943857355871364510_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=Rx9M2M5d0nIQ7kNvwGDEcLn&_nc_oc=AdrFwAhR7JX-srDhiTncvfBmjZbYJdO2eylB2wJTyhSxlmkvLLpO00dQ0woLa7O5NoE6J-8H0gJUmY9gbzXgPfQT&_nc_zt=14&_nc_ht=scontent.fblr1-8.fna&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&oh=00_Af_OM-waghapA4Cej822YKgKpn5yjFZbroZkzxOWxl2FDw&oe=6A27823B,2026-06-09T00:35:34.000Z,2026-06-04
10,Loora,105478174979714,Loora,,IN,1399715815299179,https://www.facebook.com/ads/library/?id=1399715815299179,,,FALSE,FALSE,1,Don't be shy to speak English! Become a fluent speaker with your AI Tutor 😎,,,,Video,,1,0,9:16,https://scontent.fblr1-3.fna.fbcdn.net/o1/v/t2/f2/m412/AQOoqKm4Z9MPGVZqLHtVmH24j4T3dGzwSzlSYwOcp5gv6W99TH-p-swFY8C-maBiha5jjvGHgtmV-9hGiymvX2QW1zASLMpu_Sj4UVa3ww.mp4?_nc_cat=106&_nc_oc=AdoF-68Ft9qX6qu3x6MkSo44PIJUT4-XkCO4Gvm7IelLELZn1UOy0MtrSJ_aneoJHPJd9iUqHzDWBQH4uinT7MyV&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-3.fna.fbcdn.net&_nc_ohc=mBEY59vIHgcQ7kNvwHYJgou&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTQ3NzM1MDUyNzE3NjM5NiwiYXNzZXRfYWdlX2RheXMiOjQzLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MzQsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-XISn9bHSqYzSlVkbbgLeDVAeAv0rk7BXfGnpChXbx1A&oe=6A277BB0,https://scontent.fblr1-9.fna.fbcdn.net/v/t39.35426-6/708102201_1873635659979321_192690850558405520_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=LzmoGauwPU8Q7kNvwHVi9tB&_nc_oc=AdqbM7uP2NlaetvU2vnuyVUQM5rN2hfrxnPIJ1PCPbjsQSm9zZOkLH1sCsLa9H6kdgcVjbxGRtFYqsxxXyntGDZ3&_nc_zt=14&_nc_ht=scontent.fblr1-9.fna&_nc_gid=ke_uKzl79Kn5w0bzHnXUtA&_nc_ss=7b2a8&oh=00_Af_j7FWVY1lW3vUj-59VOKpgYHys0L9_nTLbP_XR4OR8lw&oe=6A275F92,2026-06-09T02:34:24.000Z,2026-06-04
