row_rank,competitor_name,facebook_page_id,facebook_page_name,facebook_page_followers,target_country,ad_library_id,ad_library_url,ad_start_date,ad_end_date,has_low_impression_warning,ad_has_multiple_versions,ad_version_count,ad_primary_text,ad_description,ad_cta_label,ad_destination_url,ad_media_type,ad_distribution_platforms,creative_count_in_ad,creative_index_in_ad,creative_aspect_ratio,facebook_video_cdn_url_at_scrape,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date,r2_public_url
1,Praktika AI,104781132385804,Praktika,,ALL,1284146880301102,https://www.facebook.com/ads/library/?id=1284146880301102,2026-03-11,,false,false,1,"💬 Learn English, German, Japanese, Spanish, Italian, French and Portuguese with AI Tutors.
🎯 Practice conversations, get instant corrections, and build real fluency.
📱 On your schedule, at your pace — anywhere, anytime.

✅ Perfect for beginners & intermediate learners
✅ Gamified lessons + native-style conversations
✅ No boring grammar drills!
0:00 / 0:45
ITUNES.APPLE.COM
⭐️⭐️⭐️⭐️⭐️ Try Now
Install now",Install now,,http://itunes.apple.com/app/id1624701477,Video,,1,1,0.563,https://video.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQNoTdsJQ81HK0TFYECixZRjqEdoe3ihRLZ44qrLX34enx4JLhQdLe1dtbAaUobE0xVRei3yQgeL6ZjUYtyW1A6mMKBzHyxwXtAih85zCg.mp4?_nc_cat=110&_nc_oc=AdofKotlBUykb9qmh6Y5ZlhIdl_1XPYJ_ZTUSsEpWm1cEk9revxSqljtomZhR9NjP-U&_nc_sid=8bf8fe&_nc_ht=video.fblr22-2.fna.fbcdn.net&_nc_ohc=QHZ4d5X7J2IQ7kNvwET-ZD_&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjgzNzY1MTYyNjU4NjM5MiwiYXNzZXRfYWdlX2RheXMiOjc3LCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6NDUsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&_nc_zt=28&oh=00_Af6IOGuaKIyTQuCZxvAHxGaLPp8S-1fDeDUp7rIB3PxDHA&oe=6A1DD1BC&bitrate=256107&tag=sve_sd,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/649247927_922700630646594_4658070955378581727_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=KKpXr3SPhLkQ7kNvwHvg8Nj&_nc_oc=Adr3_h8vP7hDGM_Dt-gOM9TkcF46PBeBu01CP0t7fQcHjyij3Ad0fz61WKhhITx9ODQ&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&oh=00_Af5JouIazpb-MjopW2aDzFsDOHHB4SAtEGM1rKQFjq5IUw&oe=6A1DB767,2026-06-01T18:38:52.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1284146880301102_v2.mp4
2,Praktika AI,104781132385804,Praktika,,ALL,1479917686815968,https://www.facebook.com/ads/library/?id=1479917686815968,2026-04-04,,false,false,1,"💬 Learn English, German, Japanese, Spanish, Italian, French and Portuguese with AI Tutors.
🎯 Practice conversations, get instant corrections, and build real fluency.
📱 On your schedule, at your pace — anywhere, anytime.

✅ Perfect for beginners & intermediate learners
✅ Gamified lessons + native-style conversations
✅ No boring grammar drills!
0:00 / 0:43
PLAY.GOOGLE.COM
⭐️⭐️⭐️⭐️⭐️ Try Now
Install now",Install now,,http://play.google.com/store/apps/details?id=ai.praktika.android,Video,,1,1,0.563,https://video.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQOXDqEzlC7eGWUe6iYwiTfDKo-2CFv3qC0_z0nr1nrWVbkSebtOWcJlSF-OUpNVajjHGHHhmbDWTRXzNzR4A3mpYA9-3K-rteR9vD69dw.mp4?_nc_cat=110&_nc_oc=AdpJawaC1SGwjgZZBFrSUomQDRNdQYw_ggoJ1RjNYn9X_ha0gA5_M5xQZ-OJkNMo1as&_nc_sid=8bf8fe&_nc_ht=video.fblr22-2.fna.fbcdn.net&_nc_ohc=9KCdq9-K5KIQ7kNvwEtbqOj&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTg0OTU4MjEwNTM1OTc1LCJhc3NldF9hZ2VfZGF5cyI6NTIsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjo0MywidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&_nc_zt=28&oh=00_Af5R_zMPDNFKsfWoPww78-Lx43868IQH7PCrb3BoZz47jw&oe=6A1DCBD4&bitrate=266125&tag=sve_sd,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/660773143_2742001259493484_1121628115625244766_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=gUhYj6MD1NkQ7kNvwFqI-oP&_nc_oc=AdrX__LDtOmFc6KEZ0QPhN0MfnoOjhjDSelQKgIYj54sQbv5Hg5jsSNlNNxA_gEOyrI&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&oh=00_Af5Pjo4PGag0APl2i_28ECGM8Glgkxqj_RYj7gKEgiv39g&oe=6A1DC906,2026-06-01T18:13:40.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1479917686815968_v2.mp4
3,Praktika AI,104781132385804,Praktika,,ALL,942282644920761,https://www.facebook.com/ads/library/?id=942282644920761,2026-03-19,,false,false,1,"💬 Learn English, German, Japanese, Spanish, Italian, French and Portuguese with AI Tutors.
🎯 Practice conversations, get instant corrections, and build real fluency.
📱 On your schedule, at your pace — anywhere, anytime.

✅ Perfect for beginners & intermediate learners
✅ Gamified lessons + native-style conversations
✅ No boring grammar drills!
0:00 / 0:44
ITUNES.APPLE.COM
⭐️⭐️⭐️⭐️⭐️ Try Now
Install now",Install now,,http://itunes.apple.com/app/id1624701477,Video,,1,1,0.563,https://video.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQNwiFIS0ucPlNlFmwLhwwvl_kuS5FfbUHAASVvyZm0KyRhg4E1d3Hwpjve4a7FsbHGCuqQEG1F8j9G-q-Zdh4oaoPkLaIxUByD-W0VvLg.mp4?_nc_cat=108&_nc_oc=AdqFeLVavuqp192yW6w80GzI370ZBuGiF5mhpEBLUdTXCHPvJASHK2Xf1l8RV2q76m0&_nc_sid=8bf8fe&_nc_ht=video.fblr22-1.fna.fbcdn.net&_nc_ohc=GLFaJRcKh78Q7kNvwE3DU2o&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTAyMDA3NTcyODI2ODY0LCJhc3NldF9hZ2VfZGF5cyI6NjgsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjo0MywidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&_nc_zt=28&oh=00_Af65iN1nEvx6PGkettcSaq4NW1HjCg5V2W5nC9FJuQbglA&oe=6A1DB4A6&bitrate=234723&tag=sve_sd,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/653701895_922991220441940_2603325000775264850_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=i7aMIEE8b1MQ7kNvwFf-yfi&_nc_oc=Adq2wLyAy_2aCaEHjDcBVi-9y-PDdVY7zaqBHV2YA_0Wp_Pg4TCFMeDiSzQFllpC3b0&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&oh=00_Af7fdVMWyfAvTDJ6rse_1fMgROWEfK2mqOGCQZuXSOZE6Q&oe=6A1DD996,2026-06-01T16:34:46.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/942282644920761_v2.mp4
4,Praktika AI,104781132385804,Praktika,,ALL,1000580788969512,https://www.facebook.com/ads/library/?id=1000580788969512,2026-04-24,,false,false,1,"💬 Learn English, German, Japanese, Spanish, Italian, French and Portuguese with AI Tutors.
🎯 Practice conversations, get instant corrections, and build real fluency.
📱 On your schedule, at your pace — anywhere, anytime.

✅ Perfect for beginners & intermediate learners
✅ Gamified lessons + native-style conversations
✅ No boring grammar drills!
0:00 / 0:38
ITUNES.APPLE.COM
⭐️⭐️⭐️⭐️⭐️ Try Now
⭐️⭐️⭐️⭐️⭐️ Try Now
Install now",Install now,,http://itunes.apple.com/app/id1624701477,Video,,1,1,0.563,https://video.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQOkPO6Oh8auI8dePh77oPDj-Y_d4jnodd0zvcKXpdWLrZEcuaeFTlXRmuZ4UK3UX5QFcxu46wJ0BoO5yeE-_nMYu5GveK_99Y5MkY1scw.mp4?_nc_cat=105&_nc_oc=AdorbVoAZnnaXAK-54nkts0Ydb83DL-SBdrmoyT8_f-TRqtnNDDBEhKI820z8TQzutg&_nc_sid=8bf8fe&_nc_ht=video.fblr22-2.fna.fbcdn.net&_nc_ohc=WKfvrsx4TY4Q7kNvwHiY-kU&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6Mjg3MjI0OTQ2MzExNjUyNSwiYXNzZXRfYWdlX2RheXMiOjMyLCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6MzgsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&_nc_zt=28&oh=00_Af6bnl-kl2VUuIC8j62U-_E6qvZIqfkG6iDG8g5Ng4OBuA&oe=6A1DBFC5&bitrate=351101&tag=sve_sd,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/678757894_1294910521969000_4868354409645580065_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=Bk3ac0AW0s0Q7kNvwGLUd9j&_nc_oc=AdonEUJbI4HihVVwqlBbbsjvpeA81DkDESUPot8nLAP1GKSIbSQ10uVJJ-9TwK6KG3E&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&oh=00_Af6LhxeVT5od9HSxBGS8XMjsNTGmKeu27vccsSfbnFBdvA&oe=6A1DBC45,2026-06-01T17:22:13.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1000580788969512_v2.mp4
5,Praktika AI,104781132385804,Praktika,,ALL,1720222669432418,https://www.facebook.com/ads/library/?id=1720222669432418,2026-04-04,,false,false,1,"💬 Learn English, German, Japanese, Spanish, Italian, French and Portuguese with AI Tutors.
🎯 Practice conversations, get instant corrections, and build real fluency.
📱 On your schedule, at your pace — anywhere, anytime.

✅ Perfect for beginners & intermediate learners
✅ Gamified lessons + native-style conversations
✅ No boring grammar drills!
0:00 / 0:24
PLAY.GOOGLE.COM
⭐️⭐️⭐️⭐️⭐️ Try Now
Install now",Install now,,http://play.google.com/store/apps/details?id=ai.praktika.android,Video,,1,1,0.563,https://video.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQMF5f94HSsFtFgXC8B1VmA9F4XxtHazGvGQu4RVUTemWP48OK-pO7JPAuTwb00S86mncNCbuNJQgdT9TB-opjR0H9Y2wHSr7Sn6--ppsg.mp4?_nc_cat=108&_nc_oc=Adrvsxng__SkofhWIcNFGGHRV9GwOkXfEv5dbTRv8VjNmrEals5yfif3G3nLYtKz4g0&_nc_sid=8bf8fe&_nc_ht=video.fblr22-1.fna.fbcdn.net&_nc_ohc=dwjXaugOPL4Q7kNvwFx5fTj&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTcyNjc3MTI4NTM1NTU5NCwiYXNzZXRfYWdlX2RheXMiOjUyLCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6MjQsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&_nc_zt=28&oh=00_Af7WzbrBcO5mqf5U_aDxvLLvT4qw6Xmx30jzKAW6GrRDoA&oe=6A1DC78E&bitrate=269604&tag=sve_sd,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/666508036_830718176717807_6326933544464242904_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=WOZ99N8Ey2YQ7kNvwGj_SDN&_nc_oc=AdpfofP6Ok4I9-G8EkFqsFimE7QagD5NzaSUSiA7_TW47zFptQCwHEkpjcmC8HI8uTE&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&oh=00_Af6U5WvyN7TKGctAgLAWUJ0BYpk4onj0XYKCRh6IoUPHpg&oe=6A1DABCF,2026-06-01T17:55:26.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1720222669432418_v2.mp4
6,Praktika AI,104781132385804,Praktika,,ALL,2114713116051354,https://www.facebook.com/ads/library/?id=2114713116051354,2026-03-08,,false,false,1,"💬 Learn English, German, Japanese, Spanish, Italian, French and Portuguese with AI Tutors.
🎯 Practice conversations, get instant corrections, and build real fluency.
📱 On your schedule, at your pace — anywhere, anytime.

✅ Perfect for beginners & intermediate learners
✅ Gamified lessons + native-style conversations
✅ No boring grammar drills!
0:00 / 0:23
ITUNES.APPLE.COM
⭐️⭐️⭐️⭐️⭐️ Try Now
Install now",Install now,,http://itunes.apple.com/app/id1624701477,Video,,1,1,0.563,https://video.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQOeQpb8cBAXe4YD2jVVPI81UNdEofnX2dL7CLEsmKfVDExIpg6SVslAL_u6P0j4e9DR9r3q2ggZdKQlivz0iJ7fIsDpFl8UnW3SgEQqWw.mp4?_nc_cat=107&_nc_oc=Adq3QBvSKS0fAkg2x-J6KfiS1bZIZ2WYHE2UILpy1wLXUE_pBj0tAfyhraMK2NrSdJw&_nc_sid=8bf8fe&_nc_ht=video.fblr22-2.fna.fbcdn.net&_nc_ohc=dLVLe7LBqZoQ7kNvwF9kaB9&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTYxNTYyMjk1NjQ0NTQyOCwiYXNzZXRfYWdlX2RheXMiOjc5LCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6MjMsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&_nc_zt=28&oh=00_Af4KHXXzlFw2-gd9QtG04uQB5n8WCbu_GcX0pPKz1oKaDg&oe=6A1DC34B&bitrate=264810&tag=sve_sd,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/648836423_2708313166212252_780968886765098644_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=_ptni0GK3vwQ7kNvwFnHIZy&_nc_oc=AdrniBJlykSJUMkNFK6_aZY7kHjXxWkYqYY5GxFhFQ0zxPDo4goUEADPTtjYMaoXC_8&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&oh=00_Af7dSYx6t1eYrhajaul1nnKfxpx9BIP0i3xgSeIymDpbsw&oe=6A1DB4B9,2026-06-01T17:37:15.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/2114713116051354_v2.mp4
7,Praktika AI,104781132385804,Praktika,,ALL,1481040770146627,https://www.facebook.com/ads/library/?id=1481040770146627,2026-03-28,,false,false,1,"💬 Learn English, German, Japanese, Spanish, Italian, French and Portuguese with AI Tutors.
🎯 Practice conversations, get instant corrections, and build real fluency.
📱 On your schedule, at your pace — anywhere, anytime.

✅ Perfect for beginners & intermediate learners
✅ Gamified lessons + native-style conversations
✅ No boring grammar drills!
0:00 / 0:45
ITUNES.APPLE.COM
⭐️⭐️⭐️⭐️⭐️ Try Now
Install now",Install now,,http://itunes.apple.com/app/id1624701477,Video,,1,1,0.563,https://video.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQOYSGo_eEmYUQ8ttdbxHDyHqqAftC36M0GdFISTCOUZm8Rb9NKjt-65XPZw2oYg76Tq890wzHTo2G36xpH-eFaNHNs8sSRKccY7ZVvLaA.mp4?_nc_cat=109&_nc_oc=AdpRjY_iUnZIivy57TCsvJUwHO3_2sNnlCP_5Qaz0nAUquuB7o4hEXjCiFafcjv2c9Y&_nc_sid=8bf8fe&_nc_ht=video.fblr22-1.fna.fbcdn.net&_nc_ohc=G6Uees2AgTYQ7kNvwHFgFkY&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTExNTIxNDA4MzI2NTMyLCJhc3NldF9hZ2VfZGF5cyI6NTksInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjo0NSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&_nc_zt=28&oh=00_Af5w-kPI0IqJ-JzqHWu2QAtP4OCR6denA86SbBWPdgysug&oe=6A1DC719&bitrate=262189&tag=sve_sd,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/658148472_3324337321074157_1021505931571746890_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ZwUhmxmamIcQ7kNvwEXNCgG&_nc_oc=AdqTLszu9yma8LeIidnwPP7KB5BAxHUu3UPD5ZS5IQf7OT5l0WGK3ssAsVjgJBSrWwE&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&oh=00_Af66iLiOtpEU_j8PLK5_MZJURIqJJIqZE9bpTGe-PmFQqQ&oe=6A1DB461,2026-06-01T17:53:29.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1481040770146627_v2.mp4
8,Praktika AI,104781132385804,Praktika,,ALL,1412613080667553,https://www.facebook.com/ads/library/?id=1412613080667553,2026-03-01,,false,false,1,"💬 Learn English, German, Portuguese, Korean, Japanese, Spanish, Italian, and French with AI Tutors.
🎯 Practice conversations, get instant corrections, and build real fluency.
📱 On your schedule, at your pace — anywhere, anytime.

✅ Perfect for beginners & intermediate learners
✅ Gamified lessons + native-style conversations
✅ No boring grammar drills!
0:00 / 0:30
ITUNES.APPLE.COM
⭐️⭐️⭐️⭐️⭐️ Try Now
Install now",Install now,,http://itunes.apple.com/app/id1624701477,Video,,1,1,0.563,https://video.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQOg5rz6B14SPEIWQSCvLNbjEon59cGvGyY53slkrndnYv5BaaiyolmJkgJ65Pe3v_W5in5EhyRLTTErP7_Z-TQD8_ZRm7GRc9Jbvjg3KQ.mp4?_nc_cat=100&_nc_oc=AdpyYp0i98gUpuYijRRub_ugbEucW4hvzWPEn0D0gETP0oFDdf2FrDjuHKqHOwzofng&_nc_sid=8bf8fe&_nc_ht=video.fblr22-2.fna.fbcdn.net&_nc_ohc=1HqsSBr9AB8Q7kNvwEJwyjF&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTIwNDgyNjg4MTQxNTg4NCwiYXNzZXRfYWdlX2RheXMiOjg2LCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6MzAsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&_nc_zt=28&oh=00_Af5urMFKwxzqThY-Qc5-VImdfO8E44xgXV0g5ufC46oRPA&oe=6A1DDFE2&bitrate=322824&tag=sve_sd,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/645935929_2570311563353258_5948925064416708656_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=j2YTX5VEP3EQ7kNvwEZiimq&_nc_oc=Adrq-_jdtDESKCyk7GFcgooGJ1Dx1VSeoxvFK1QDN3YUu24ofZ3fjbuIKQ_az2eZS7k&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&oh=00_Af7PekQDfaGxW1iBuxWUif6fExwh8KiK2xsv_veubkkfVQ&oe=6A1DDEB5,2026-06-01T19:39:14.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1412613080667553_v2.mp4
9,Praktika AI,104781132385804,Praktika,,ALL,1354760609752319,https://www.facebook.com/ads/library/?id=1354760609752319,2026-04-04,,false,false,1,"💬 Learn a new language in 2026 with AI tutors
📱 Start Speaking English, Korean, Japanese, Spanish, Italian and French within a week
0:00 / 0:22
PLAY.GOOGLE.COM
⭐️⭐️⭐️⭐️⭐️ Try Now
Install now",Install now,,http://play.google.com/store/apps/details?id=ai.praktika.android,Video,,1,1,0.563,https://video.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQPlkA7A7aQ9Ujm-HQr0LrN3QYl9-JSfNFGntsY9IcftLeW0W765hg3BVaQH3xFB13KfcVWrIbhAjnqlI66VXyA8baRMyKJivsy2lyn6lQ.mp4?_nc_cat=108&_nc_oc=AdqvfXghaJuadPRMjiHofyWa3X2TbcCTUpXlSrceuvO5IinC5PQrgdHjkBkf4rFXZFM&_nc_sid=8bf8fe&_nc_ht=video.fblr22-1.fna.fbcdn.net&_nc_ohc=d6T-ZPnM4sgQ7kNvwGGCDZb&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTY2MTExMjgyNjEwMjA1LCJhc3NldF9hZ2VfZGF5cyI6NTIsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjoyMiwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&_nc_zt=28&oh=00_Af5qst3j8TIkUu7fbmL6Qj0UuOQBfXdbTCEOVM-GxHf2Eg&oe=6A1DC0A2&bitrate=227745&tag=sve_sd,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/666466108_2016219509302723_3625494549225560998_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=9sfk6xiZqkwQ7kNvwFLCkNd&_nc_oc=AdprmG5hZJltAg8Ax76QgY9aYnVGtSB_482Obhe95faOKD7lQ8DZp3Wk9M1S_pwd4MA&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&oh=00_Af6HTEndtt4DbTrCmqq1lhMvnEs-CF6f_vYbObkuSSgI7g&oe=6A1DDAC8,2026-06-01T17:25:54.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1354760609752319_v2.mp4
10,Praktika AI,104781132385804,Praktika,,ALL,975765704980225,https://www.facebook.com/ads/library/?id=975765704980225,2026-04-20,,false,false,1,"Speak English Now 🗣️🚀
Real conversations with AI tutors. Instant corrections. Real progress.
With Praktika, you speak — and actually learn it.
0:00 / 0:36
PRAKTIKA-REDIRECT.VERCEL.APP
⭐️⭐️⭐️⭐️⭐️ Try Now
Install now",Install now,,https://praktika-redirect.vercel.app/?ppid=90635471-633a-4959-a893-bb2efbb817d4,Video,,1,1,0.563,https://video.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQNk5pHVAxuUnzwTSEB0BBe6jCtvzBcake8C_BjxVdDnjKDIGVniF6vZHgk2DDiYTxnl8DH7HOUspoD2ToINLyOLlKc8XA8T_K49qyx7GQ.mp4?_nc_cat=109&_nc_oc=AdrOIZLpLjqeU3PiRAB98FVkculYin0J5njaCVVKvlBiuGphymUhQvr68io2PtdOK6U&_nc_sid=8bf8fe&_nc_ht=video.fblr22-1.fna.fbcdn.net&_nc_ohc=anY85BPYIckQ7kNvwGMZbEg&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTQ5ODE2NjQ1MTY3Mzk3OCwiYXNzZXRfYWdlX2RheXMiOjM2LCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6MzYsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&_nc_zt=28&oh=00_Af6_1yJQGNw46sghhHhLfHVZ-HBGts-QhBaFaM-4K0q7WA&oe=6A1DB14D&bitrate=307752&tag=sve_sd,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/676580373_1647116819950425_452054109043951641_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ECaA5QQFkc8Q7kNvwHZV_Ia&_nc_oc=Adpw_EAaAWuA9yf9frdHyyrSJi9RmlAV4UBJv_4T49soPs-OxUaggk9HOZtpOob7OsA&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=3idlQagYZvR_dg-a8TnGGw&_nc_ss=7b289&oh=00_Af77QAcuWKOp9Cm_J97E8cL2MZRD4QLVT-8S0UfXL0IWfA&oe=6A1DADEB,2026-06-01T16:20:29.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/975765704980225_v2.mp4
