row_rank,competitor_name,facebook_page_id,facebook_page_name,facebook_page_followers,target_country,ad_library_id,ad_library_url,ad_start_date,ad_end_date,has_low_impression_warning,ad_has_multiple_versions,ad_version_count,ad_primary_text,ad_description,ad_cta_label,ad_destination_url,ad_media_type,ad_distribution_platforms,creative_count_in_ad,creative_index_in_ad,creative_aspect_ratio,facebook_video_cdn_url_at_scrape,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date
1,Praktika AI,104781132385804,Praktika,,ALL,1284146880301102,https://www.facebook.com/ads/library/?id=1284146880301102,,,FALSE,FALSE,1,Started running on 12 Mar 2026,,,,Video,,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQNoTdsJQ81HK0TFYECixZRjqEdoe3ihRLZ44qrLX34enx4JLhQdLe1dtbAaUobE0xVRei3yQgeL6ZjUYtyW1A6mMKBzHyxwXtAih85zCg.mp4?_nc_cat=110&_nc_oc=AdoE3motYcE2vB7n06wyuGaOg03Gev6teo1AMFukQdReySajgXRWCpS5lkjmxgqJlvE&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=jo8_EnVeb9sQ7kNvwE1O9mp&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjgzNzY1MTYyNjU4NjM5MiwiYXNzZXRfYWdlX2RheXMiOjg0LCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6NDUsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af8McCQMh7omI9BNf9x1tkRrCj7Hk4tOR6Sm-VHCnY6raQ&oe=6A27447C&bitrate=256107&tag=sve_sd,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/649247927_922700630646594_4658070955378581727_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=euAOGo9O9X0Q7kNvwHDofHm&_nc_oc=AdosgRJBW2QR-PXDSj4b0MXToFp9wyOpWsBinKhBEFYKTcVBDFL0DVdj4mxAm6_wBnA&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&oh=00_Af-o_lpolD_syOTcwXpA1Ufq8uDOqU4ldsQs68c9WWfmlg&oe=6A272A27,2026-06-08T22:38:52.000Z,2026-06-04
2,Praktika AI,104781132385804,Praktika,,ALL,1479917686815968,https://www.facebook.com/ads/library/?id=1479917686815968,,,FALSE,FALSE,1,Started running on 5 Apr 2026,,,,Video,,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQOXDqEzlC7eGWUe6iYwiTfDKo-2CFv3qC0_z0nr1nrWVbkSebtOWcJlSF-OUpNVajjHGHHhmbDWTRXzNzR4A3mpYA9-3K-rteR9vD69dw.mp4?_nc_cat=110&_nc_oc=Adpz7yHvkXProMX76OmO4cDJPLE8tZpuMMjT-mYWApA8P6QPRVhU-1SyP9rg1BmF8go&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=te4V6piIeMAQ7kNvwEvuwsQ&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTg0OTU4MjEwNTM1OTc1LCJhc3NldF9hZ2VfZGF5cyI6NjAsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjo0MywidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-5pXvrdwRc4KcY-ER0fGK1p_3tqtokg611b7mITX_HQw&oe=6A273E94&bitrate=266125&tag=sve_sd,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/660773143_2742001259493484_1121628115625244766_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=p3qMfTPbKNAQ7kNvwHl_3c3&_nc_oc=AdqLZcJ5AVQSWwp0c9ucbtq_GlH3Yh3fgq9x0v-pkCxGCSP0aZaOhpfqj7ph0hFUTLg&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&oh=00_Af-TBH3BweGiU5Qwr7AXvqPYoMR3z-q2nDi9SY-NdeHnaA&oe=6A273BC6,2026-06-08T22:13:40.000Z,2026-06-04
3,Praktika AI,104781132385804,Praktika,,ALL,942282644920761,https://www.facebook.com/ads/library/?id=942282644920761,,,FALSE,FALSE,1,Started running on 20 Mar 2026,,,,Video,,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQNwiFIS0ucPlNlFmwLhwwvl_kuS5FfbUHAASVvyZm0KyRhg4E1d3Hwpjve4a7FsbHGCuqQEG1F8j9G-q-Zdh4oaoPkLaIxUByD-W0VvLg.mp4?_nc_cat=108&_nc_oc=AdrPWuh0xY19Nt3kW92m-py9O7YuhiOdXKDS2N18tRz_RpAgkEIA1GAS4n-KfRbcxNs&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=vwHeQMQSr-kQ7kNvwEDg0JA&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTAyMDA3NTcyODI2ODY0LCJhc3NldF9hZ2VfZGF5cyI6NzYsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjo0MywidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-UOysu9oEtoLUHMxmhG21clK0GsfIaWmmOm6Bdf27xjw&oe=6A275FA6&bitrate=234723&tag=sve_sd,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/653701895_922991220441940_2603325000775264850_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=9bE9zKK5XqkQ7kNvwEDpKDz&_nc_oc=AdpMf88Fpd9UbwxNMuNO7RglhUeRjyFXr9hhivXdamjOblY4sK5jaMf8hM1NS-onVBE&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&oh=00_Af9C7HfJD_Rwtym1u6wOedQUodOqZ9xJYUbpMvdxAll-4g&oe=6A274C56,2026-06-09T00:34:46.000Z,2026-06-04
4,Praktika AI,104781132385804,Praktika,,ALL,1000580788969512,https://www.facebook.com/ads/library/?id=1000580788969512,,,FALSE,FALSE,1,Started running on 25 Apr 2026,,,,Video,,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQOkPO6Oh8auI8dePh77oPDj-Y_d4jnodd0zvcKXpdWLrZEcuaeFTlXRmuZ4UK3UX5QFcxu46wJ0BoO5yeE-_nMYu5GveK_99Y5MkY1scw.mp4?_nc_cat=105&_nc_oc=Adov4RP_LRRxFm7J_rkLga8uiGD4sbKE4A1l8nEDSuo9FMsRImVprOy32CoUyafGGhw&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=dPjVVEztaawQ7kNvwHbHqNl&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6Mjg3MjI0OTQ2MzExNjUyNSwiYXNzZXRfYWdlX2RheXMiOjQwLCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6MzgsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af_hZFjIdi_mYG2YFhNh-8diJOXdAwE62vzrugs9ksokRg&oe=6A273285&bitrate=351101&tag=sve_sd,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/678757894_1294910521969000_4868354409645580065_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=srIhQtU7OkkQ7kNvwHkHJLx&_nc_oc=AdoF6q88m_nv550I95V6dPjUPkC0JMDwFy_CG9oF2sjFIu5lsXRBZ_b-KG2Frfb0Tac&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&oh=00_Af9piQTsSyN-5ywifVvWBJw51EoMNrEf94Oiq3Dm5ckpwA&oe=6A272F05,2026-06-08T21:22:13.000Z,2026-06-04
5,Praktika AI,104781132385804,Praktika,,ALL,1720222669432418,https://www.facebook.com/ads/library/?id=1720222669432418,,,FALSE,FALSE,1,Started running on 5 Apr 2026,,,,Video,,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQMF5f94HSsFtFgXC8B1VmA9F4XxtHazGvGQu4RVUTemWP48OK-pO7JPAuTwb00S86mncNCbuNJQgdT9TB-opjR0H9Y2wHSr7Sn6--ppsg.mp4?_nc_cat=108&_nc_oc=AdpfMa895T2EmzP_pqOc0pyRhLWyY7SAi8eJsIZD37vCyBTKuVivzzA1AxBE_Ew_wd4&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=bSKeERGfdSQQ7kNvwEDEXSo&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTcyNjc3MTI4NTM1NTU5NCwiYXNzZXRfYWdlX2RheXMiOjYwLCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6MjQsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-qXOL4iP2QRJMTSbvLNJEwZEtSRK807zTpr0Y0gCWHZQ&oe=6A273A4E&bitrate=269604&tag=sve_sd,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/666508036_830718176717807_6326933544464242904_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=acUrbXBFkggQ7kNvwG2GCx8&_nc_oc=AdqruH4ztZ5IciWlrzhlfef63SIMuss4tarTti4RwaFjVhx8ivjY0yfmtxFvXc3TpVA&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&oh=00_Af8HgTz6Gkg8dnD88ZYSDVLCvudvDraouegW-w2fEd-Weg&oe=6A2756CF,2026-06-08T21:55:26.000Z,2026-06-04
6,Praktika AI,104781132385804,Praktika,,ALL,2114713116051354,https://www.facebook.com/ads/library/?id=2114713116051354,,,FALSE,FALSE,1,Started running on 9 Mar 2026,,,,Video,,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQOeQpb8cBAXe4YD2jVVPI81UNdEofnX2dL7CLEsmKfVDExIpg6SVslAL_u6P0j4e9DR9r3q2ggZdKQlivz0iJ7fIsDpFl8UnW3SgEQqWw.mp4?_nc_cat=107&_nc_oc=Adp-STedLCevVnBgPIj1eckq4toy6i8jloBfrL9ApTfw4r177Zgn2bWZ_IKLg380GZE&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=mwyn8MaSl8kQ7kNvwEzXfOA&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTYxNTYyMjk1NjQ0NTQyOCwiYXNzZXRfYWdlX2RheXMiOjg2LCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6MjMsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af8MYgXkgMugKwZ0ipt926aWToZC3J0YclIFkspuuyoJdA&oe=6A27360B&bitrate=264810&tag=sve_sd,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/648836423_2708313166212252_780968886765098644_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ew_Edrd944sQ7kNvwFKFKnr&_nc_oc=AdqyP6qNiFFKZoNqjaMYKf8B7P0NBGmjVHuRYcGbHcHH3PkX_2oRN4fUlWHlzvTnqkU&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&oh=00_Af8W9ddLhWTB9ul8zxetJ75iUX2hFTrMYieS4HKCkFLC4g&oe=6A272779,2026-06-08T21:37:15.000Z,2026-06-04
7,Praktika AI,104781132385804,Praktika,,ALL,1481040770146627,https://www.facebook.com/ads/library/?id=1481040770146627,,,FALSE,FALSE,1,Started running on 29 Mar 2026,,,,Video,,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQOYSGo_eEmYUQ8ttdbxHDyHqqAftC36M0GdFISTCOUZm8Rb9NKjt-65XPZw2oYg76Tq890wzHTo2G36xpH-eFaNHNs8sSRKccY7ZVvLaA.mp4?_nc_cat=109&_nc_oc=AdqyIXWpK5SsWvFv2YdfucC1Co5xILjMdFBO8OcKlTAH4TdYLNUon2BTh-SAgjHlQZA&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=KoErfOlN9pMQ7kNvwHMNGwd&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTExNTIxNDA4MzI2NTMyLCJhc3NldF9hZ2VfZGF5cyI6NjYsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjo0NSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af9NLMGaiMHipg-FW91_izSU54dfuoZNvcaaZs9l394u4A&oe=6A2739D9&bitrate=262189&tag=sve_sd,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/658148472_3324337321074157_1021505931571746890_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=yoe3GIjF7t0Q7kNvwFGEoWc&_nc_oc=AdqvENQ3LtVaX6EJrotimKmYJTUDL7txLQdtae4zlZ2vpRJLREqivTFr0MUwh-m0GMU&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&oh=00_Af8P_jgFknHAfqrtl11Kg9IqwR6hf4V1YoOMuoShlLEeZQ&oe=6A275F61,2026-06-08T21:53:29.000Z,2026-06-04
8,Praktika AI,104781132385804,Praktika,,ALL,1412613080667553,https://www.facebook.com/ads/library/?id=1412613080667553,,,FALSE,FALSE,1,Started running on 2 Mar 2026,,,,Video,,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQOg5rz6B14SPEIWQSCvLNbjEon59cGvGyY53slkrndnYv5BaaiyolmJkgJ65Pe3v_W5in5EhyRLTTErP7_Z-TQD8_ZRm7GRc9Jbvjg3KQ.mp4?_nc_cat=100&_nc_oc=Adq_JcOAtfkGFlV6Z4d3tdYG2WngNna4RGZnO6NalZHrctWcho-X0kx5NYWkAmt8FnA&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=OorO2DDElj4Q7kNvwG7l1FS&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTIwNDgyNjg4MTQxNTg4NCwiYXNzZXRfYWdlX2RheXMiOjkzLCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6MzAsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af_UTrqxe9xaafoAT8uPb6H7QuiLR8oZ5E3oUtJQu1r3ng&oe=6A2752A2&bitrate=322824&tag=sve_sd,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/645935929_2570311563353258_5948925064416708656_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=jWzlfCqPsRoQ7kNvwEGLY-O&_nc_oc=Adoox9QL_hgHwKvMUEW6REJXElt8Kwn-pcClEHSvttB1kkZmVTL2XucQv6dGyj-cs5I&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&oh=00_Af9ilG0GOo0TD2V-xWmDOxwPX6gJugi5Oqgjbu3uG_Y-hg&oe=6A275175,2026-06-08T23:39:14.000Z,2026-06-04
9,Praktika AI,104781132385804,Praktika,,ALL,975765704980225,https://www.facebook.com/ads/library/?id=975765704980225,,,FALSE,FALSE,1,Started running on 21 Apr 2026,,,,Video,,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQNk5pHVAxuUnzwTSEB0BBe6jCtvzBcake8C_BjxVdDnjKDIGVniF6vZHgk2DDiYTxnl8DH7HOUspoD2ToINLyOLlKc8XA8T_K49qyx7GQ.mp4?_nc_cat=109&_nc_oc=AdqsUxgQ3Kj0fQYa69H7hUqE5luxrWoCPFyvWOHBOGG55k16nUmrz8KM96uxmyJsPUg&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=M7AJwGjmAIwQ7kNvwGO4hLz&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTQ5ODE2NjQ1MTY3Mzk3OCwiYXNzZXRfYWdlX2RheXMiOjQzLCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6MzYsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af839BiJz06wsCMjTX_BdGZkD8KCQ5XwK0Qvx0pEu9XxUw&oe=6A275C4D&bitrate=307752&tag=sve_sd,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/676580373_1647116819950425_452054109043951641_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=DWzhJZKLvFgQ7kNvwEbFdoo&_nc_oc=AdqYcNal8DQEAsea07NCpHmRGcCjaOzaFaf9bSBQi1ZrL1Fzrq6N6EXUILRnEv8yxZ8&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&oh=00_Af_01J1FalxA79Z6Q3ZECQLi1P5HrUjcFJLHa-chnbo9YA&oe=6A2758EB,2026-06-09T00:20:29.000Z,2026-06-04
10,Praktika AI,104781132385804,Praktika,,ALL,1282822937331618,https://www.facebook.com/ads/library/?id=1282822937331618,,,FALSE,FALSE,1,Started running on 13 May 2026,,,,Video,,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQM9XVBC8KZbXLyE9tR1NNvYznUwKcZJ18FCG2a7vh4Jls8TWU0BUH3rc9Ug51kanf0ti2PFGEkjuchUFN6ERIR9Y65ebFLzU8iyqggYzg.mp4?_nc_cat=103&_nc_oc=AdqvXIuU_g-zPkibnxSAHlxsE018vSOeQ27W1BvF02kne61ydgwQuy4eZ9eCmZSPZ6Y&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=XAo2prT88kcQ7kNvwF80Vva&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTAwMDYyMzIzNTgwNTc4OSwiYXNzZXRfYWdlX2RheXMiOjIyLCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6MjEsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af9GszDpPXGygjNjMK9UTNhuIQohkOndpjAEksvoubnxvg&oe=6A275A83&bitrate=232271&tag=sve_sd,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/698979358_2209275706535403_7479708100616426016_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=hyNvA3EsQ1sQ7kNvwHtQuXP&_nc_oc=Adr5KYy-x0pVw5Ygd7082Nu4JEgbdvEFu457WNgcaoL-iRs-WJ-mXm3oLhftFeBkJ2s&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=ddg5TeGebz7-mvA9-IdtCw&_nc_ss=7b2a8&oh=00_Af80jHd9Vk7bJe-Kab_ur-X77pdDgGQi44EJ80SMT58uIw&oe=6A274BFE,2026-06-09T00:12:51.000Z,2026-06-04
