row_rank,competitor_name,facebook_page_id,facebook_page_name,facebook_page_followers,target_country,ad_library_id,ad_library_url,ad_start_date,ad_end_date,has_low_impression_warning,ad_has_multiple_versions,ad_version_count,ad_primary_text,ad_description,ad_cta_label,ad_destination_url,ad_media_type,ad_distribution_platforms,creative_count_in_ad,creative_index_in_ad,creative_aspect_ratio,facebook_video_cdn_url_at_scrape,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date,r2_public_url
1,Speak,743138162511061,Speak,,ALL,25882090461493760,https://www.facebook.com/ads/library/?id=25882090461493760,,,FALSE,FALSE,1,Library ID: 25882090461493760,,,,Video,,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQOyjAiO3nYm3dNSLN385ZTTthLgitmpuFuXCLSQsdV4YjffVnU_xsHYOJBd-l3ePqJ7ZmVS4xr9B2_aLqCzy39BuGd6SszQRoR7pv99Ng.mp4?_nc_cat=103&_nc_oc=AdrlGk-f-gs6CF5pm0ZqhFy0zK7NpXxXOcvO1L1qdYwv7EuCZeii5Gpn8kRoskeZcJI&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=627L7XVBAokQ7kNvwE9-sus&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6ODY5ODcyMjE1OTU0MDM5LCJhc3NldF9hZ2VfZGF5cyI6MTI3LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6NDIsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=I8npW1F-yJyYnpNlA-OFcw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af948VLlaN2juYFi-9MPw-EiQnb1FMQyet8xziC1v_BMCw&oe=6A273B3F,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/622920483_924469476904498_4728575568555690074_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=tXWJ3OGeR2wQ7kNvwHxiCN0&_nc_oc=AdojHanBz7FNaS803v2vJgxvXPouUurIFPNTy4x25myWR6C1GCtYv4bt1RtFP1UxyNc&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=I8npW1F-yJyYnpNlA-OFcw&_nc_ss=7b2a8&oh=00_Af_ZFoXkOgklNN6U1kkxoSnIj4gIz6Xp9gqmcCEl0Sd6ew&oe=6A275683,2026-06-08T21:59:27.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/25882090461493760.mp4
2,Speak,743138162511061,Speak,,ALL,2170052253789462,https://www.facebook.com/ads/library/?id=2170052253789462,,,FALSE,FALSE,1,Started running on 19 May 2026,,,,Video,,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQO6cxFaKtAcrXzBxt7kjfkXRlyYZDbq_b49BJ6dXjxVjPNdxZFkTa2K0hs1W0TZOjDOconIh3wPb8QJten524jLBUVLzDPSY9F8M-GSZA.mp4?_nc_cat=110&_nc_oc=AdqBxAGjpQOeRgeFRJqJQRGBrfMDdvMVoML2KU0Kqabhjveni6_Y2dmEhHylYPVQK3c&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=KJyCaZ48N14Q7kNvwGezOvP&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTYwMDgyMzYyNzY1NTM1MSwiYXNzZXRfYWdlX2RheXMiOjM3LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MzcsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=I8npW1F-yJyYnpNlA-OFcw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af8hhrdgb-ajuXVcHIlq7Cd1FHIF14dRVZcwof8lOnwIzw&oe=6A2730B0,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/701557896_1737360324312116_5577673832306242300_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=nTvEGyHUfHMQ7kNvwFSGFcN&_nc_oc=Ado8uEIEPttZrOr9Ig00oB61TZrfqtrV8_DHFWNMMl2tQ9SW7SrzhJOmX_LBBkKOHxE&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=I8npW1F-yJyYnpNlA-OFcw&_nc_ss=7b2a8&oh=00_Af9jTkcTwYan_S0tJH2fu2isptvbFFbA2gcqwaUcJyrQ2g&oe=6A274012,2026-06-08T21:14:24.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/2170052253789462.mp4
3,Speak,743138162511061,Speak,,ALL,1737116637460752,https://www.facebook.com/ads/library/?id=1737116637460752,,,FALSE,FALSE,1,Started running on 19 May 2026,,,,Video,,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQPzhQd8g8Z1KVmX7Nd2Fr5hJ-HiKhgN5nfENxoVa8ywm19yf6rRXu-ZsAU73zCT4FEqI0A8UiG98RZ0oi06UHdR4tm3tcya1WsDM0zGeA.mp4?_nc_cat=108&_nc_oc=AdqJfvHLxf0EhbmzdGXyE-z-w9pfM0o7W8G3M2CE07603Y402HLWp5y7e2SCyzKpokA&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=yloV85wucm4Q7kNvwFQASNC&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTc2MTQ5ODQzMTg5NzQwNCwiYXNzZXRfYWdlX2RheXMiOjI0LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MTMsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=I8npW1F-yJyYnpNlA-OFcw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af_7_ZJMyz5jFAbgatM-ue_7kqCrcBKQ8sRRzpqBVh0RIg&oe=6A27431A,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/704527460_3040853786123989_2741845443853170702_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ruvY5nMJCWIQ7kNvwEmws8E&_nc_oc=AdpP0aISt5sk06CCnmvy-rxGvaxYPj640Us3D4IDBEiYAQmynJF_od4pdYTvRwpPjwo&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=I8npW1F-yJyYnpNlA-OFcw&_nc_ss=7b2a8&oh=00_Af96gleZPd0o83sUUAUNPfSX2f1CYx8P5AFgjSFeSLv5kQ&oe=6A274A51,2026-06-08T22:32:58.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1737116637460752.mp4
4,Speak,743138162511061,Speak,,ALL,971110522363631,https://www.facebook.com/ads/library/?id=971110522363631,,,FALSE,FALSE,1,Started running on 28 May 2026,,,,Video,,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQOjgFWb96CRYTqRMd_2Twpv20RRdzAXDLEBc8-1fLnZ-JVomfN_l_SNml1-jSkbG9laifK6Ha9p4Cn5NRqt_wMq2US5x5_QevWbrRBNQw.mp4?_nc_cat=104&_nc_oc=Adp7a5p_tzCatfUtA9Y7MwCi8MAjg3jRFanS9JBADEW1xTDtL14WAhSgLXBNpfmJKWw&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=AWRZPNXs6loQ7kNvwE7K9O_&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjUxNjk4NTk3NTI2NzM1MjIsImFzc2V0X2FnZV9kYXlzIjoyNDQsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjoyNSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=I8npW1F-yJyYnpNlA-OFcw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af8NsCV7mxoEYJlfujUzlo5MDrvHw5jnOt9-UQs1XdfByg&oe=6A275C92,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/591213033_1246943763939028_1794698192095221567_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=hPrlj5OgTMQQ7kNvwGuzovP&_nc_oc=AdolF9VZj7wNKM6j6IPS4w0TiydLZirMGyXMsgXJ4AYg4DLC6uOXuF_ZAoLS7vu9pvE&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=I8npW1F-yJyYnpNlA-OFcw&_nc_ss=7b2a8&oh=00_Af_nfUVJQcA6_x-Nlj5a49C_XXywIwnvhaI9SI7c7niohg&oe=6A27602B,2026-06-09T00:21:38.000Z,2026-06-04,
5,Speak,743138162511061,Speak,,ALL,27198260846527222,https://www.facebook.com/ads/library/?id=27198260846527222,,,FALSE,FALSE,1,Speak is the language learning app that gets you talking. Start speaking like a native today!,,,,Image,,1,0,9:16,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/683437820_1489898542586683_7842169959120575311_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=e4pU53z2TEIQ7kNvwFRoTOg&_nc_oc=Adr37lgL_6uof3j3tDF1MspOPcm484ddec_QmMMiayHs2woU7-6Ax9Yhi-XFIE0lUK8&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=I8npW1F-yJyYnpNlA-OFcw&_nc_ss=7b2a8&oh=00_Af9d9YunmspbL8WK29JIsXZh-_4BrWTGJczLATOp0IqZSw&oe=6A2753D4,2026-06-08T23:44:20.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/27198260846527222.jpg
6,Speak,743138162511061,Speak,,ALL,1459044325509397,https://www.facebook.com/ads/library/?id=1459044325509397,,,FALSE,FALSE,1,Started running on 19 May 2026,,,,Video,,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQORaXB979X09uQsw3IUh5b8VLqUkHodHByGfFlLXdAQOMpMfSGT-Xuowt9hTFu9k1ZrJl2IrA2p-3oi9OATywNp6tl_oedUBokWMuFfzw.mp4?_nc_cat=111&_nc_oc=AdoqpEQ0m_2KmxrY_GmA8lQ6IRcBug8M4Qbx_EkkKryipauJPkq_meeWoFnWlyttv1g&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=w_-C4ibrW7sQ7kNvwGqE1wf&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjMyNDk4ODY3Nzk5Nzg2MSwiYXNzZXRfYWdlX2RheXMiOjIzLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MjcsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=I8npW1F-yJyYnpNlA-OFcw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-OWAt6QnUFflNHVkXUgdmZLnQy45pvzNnkeZdIofVRsw&oe=6A27490F,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/703085389_939639342234706_6495375796462163319_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=yjgxoNIJPQ8Q7kNvwEaRZbL&_nc_oc=AdoSNgecONsQmk20GJV-m-Tx2X0qKy5M7ugiERpUx1v6MtxfqFWsDdvpu3thXazzQNI&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=I8npW1F-yJyYnpNlA-OFcw&_nc_ss=7b2a8&oh=00_Af9p4yhNE7uBH5DQ27EKh05Kg3VPqxWp4SwrtZ2C1y3GrA&oe=6A273D1C,2026-06-08T22:58:23.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1459044325509397.mp4
7,Speak,743138162511061,Speak,,ALL,731083580063013,https://www.facebook.com/ads/library/?id=731083580063013,,,FALSE,FALSE,1,Speak is the language learning app that gets you talking. Start speaking like a native today!,,,,Image,,1,0,9:16,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/635158416_891212920316023_6558835144953884379_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=I3ZHzsq501wQ7kNvwEg75E5&_nc_oc=Adqxm_HltF5aRjawhmHQXop6rmkkgs_Mb5Y2nY2gSmjn3ETw6UgRq8Vte4IJ6_LE5C8&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=I8npW1F-yJyYnpNlA-OFcw&_nc_ss=7b2a8&oh=00_Af-r5BZdhFXw2w2e9U-TNEuC_-rSmTAQ313IWU6olFopbw&oe=6A275EAD,2026-06-09T00:30:37.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/731083580063013.jpg
8,Speak,743138162511061,Speak,,ALL,1353108060017678,https://www.facebook.com/ads/library/?id=1353108060017678,,,FALSE,FALSE,1,Started running on 19 May 2026,,,,Video,,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQP0BjCW3atZi31sw4qNX6MvamsQBss64aa51J3jIxPX9Ie9-GMK3V0xza4tefcM-mhyUMNs_od5ydq0qy3l18CkrhkZdwSFlRBC8aDDQg.mp4?_nc_cat=108&_nc_oc=Adq_TVg6N_ciq0L3SSRhEckjT1l_U9SbRm0tVsiaU1pBG4viS597niXNrNJ6saLNvT8&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=Gig9bI7Q3zUQ7kNvwGNxCVR&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTkzOTY5MTA0NjY1MTU1MywiYXNzZXRfYWdlX2RheXMiOjM3LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6OSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=I8npW1F-yJyYnpNlA-OFcw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af9LCoszhWemzqdATuPH-TEy5dOweIYbjIvAPJAhmLzi2g&oe=6A2751FA,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/702404161_1669325460979632_3138219940589872698_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=vGhegXTFglQQ7kNvwFbIklI&_nc_oc=AdrQuY5pgkdsO_K234vU4Pp-dp05C2kaDr6h5CwJHW-s7NH3J5vSrhchG3Aqlk8azuY&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=I8npW1F-yJyYnpNlA-OFcw&_nc_ss=7b2a8&oh=00_Af_XZpNZd-OJBQpEdsbu7tNrnP4z4wk8n0msonxAj2QIJw&oe=6A274AF6,2026-06-08T23:36:26.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1353108060017678.mp4
9,Speak,743138162511061,Speak,,ALL,1014965510961636,https://www.facebook.com/ads/library/?id=1014965510961636,,,FALSE,FALSE,1,Speak is the language learning app that gets you talking. Start speaking like a native today!,,,,Image,,1,0,9:16,,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/637593274_4154237191482162_6564185130175068746_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=pTpnZRtAjuAQ7kNvwEzbhJp&_nc_oc=AdrFvGCOutY1C8OwpVFiDt5R7DxYBFx33nmtvb44L5G5mwAmd61uZwEXyoqoCsgfxmU&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=I8npW1F-yJyYnpNlA-OFcw&_nc_ss=7b2a8&oh=00_Af89QjRvBVuIA9bMXOjUzeq8iAOLchf94MMYiwG54H09qg&oe=6A275716,2026-06-08T23:58:14.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1014965510961636.jpg
10,Speak,743138162511061,Speak,,ALL,2473979766370375,https://www.facebook.com/ads/library/?id=2473979766370375,,,FALSE,FALSE,1,Started running on 14 May 2026,,,,Image,,1,0,9:16,,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/697408320_2033010154225964_7765199013563792899_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=-ufTY20XWNYQ7kNvwGWj0xL&_nc_oc=AdoW6HpH2CBlAQVOR8jVLhaZspDkEggUHk7fvGHgAMWyNPVyTDHFCMy4ma_3SWj15Gw&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=I8npW1F-yJyYnpNlA-OFcw&_nc_ss=7b2a8&oh=00_Af8TOQ1JfDLNV4xEHzMEftvqE3WAZB2klOTisW3LZCQ51Q&oe=6A2753F2,2026-06-08T23:44:50.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/2473979766370375.jpg
