row_rank,competitor_name,facebook_page_id,facebook_page_name,facebook_page_followers,target_country,ad_library_id,ad_library_url,ad_start_date,ad_end_date,has_low_impression_warning,ad_has_multiple_versions,ad_version_count,ad_primary_text,ad_description,ad_cta_label,ad_destination_url,ad_media_type,ad_distribution_platforms,creative_count_in_ad,creative_index_in_ad,creative_aspect_ratio,facebook_video_cdn_url_at_scrape,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date,r2_public_url
1,SpeakX,540653459131632,SpeakX - Learn to Speak English,,IN,1913593379351763,https://www.facebook.com/ads/library/?id=1913593379351763,,,FALSE,FALSE,1,SpeakX — आपका अपना AI English Coach.,,Install Now,,Video,,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQPr0HCcSuA8XgdiN3VIyAFPbR7wwh5jLC1p8141pt-Ib3-dbsHmyeHAlrAQL1q7B5tfDnTm0d_vD0kIsQ-5G1A-ELivhG9KwTx5A27NsQ.mp4?_nc_cat=107&_nc_oc=AdoxHO7SlXvB1KKLu1eUHna2Bqd_vLXUV_scaPpfjRGoEa5HVSccMYFcJwOlIhYmRw0&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=bbGop2togv0Q7kNvwGEIINn&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjA0NjExNDk1MjYxMjQ1MywiYXNzZXRfYWdlX2RheXMiOjIyLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6NDAsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af_RJxXVRoM50pd0YNYPez7epj6O70zJoLVweI-72gp_XA&oe=6A2722AB,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/699355136_27241957928734812_1091951606658514189_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=RklBbr9VIAMQ7kNvwHuAs-V&_nc_oc=AdqxXPo3PgcZtZlyEUiPSGKjk24gMcTDzSp9dIf3jFhYOh7ww-oPfT7kiBisAASqA_M&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&oh=00_Af8ypAnwOb6d7VHdgJTpt1fhrHyEdqebEBYHpW6DbrvsdA&oe=6A2726EB,2026-06-08T20:14:35.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1913593379351763.mp4
2,SpeakX,540653459131632,SpeakX - Learn to Speak English,,IN,2162968067812618,https://www.facebook.com/ads/library/?id=2162968067812618,,,FALSE,FALSE,1,SpeakX - ऑनलाइन इंग्लिश बोलना सीखें,,Install Now,,Video,,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQMXE7y8gPuYh7dmf9VEH9eMFqLqG5GE5izQctEpZ_uvipR6KnJSDZ-m6lssyb_6gfhLhK8x3CvNAvf5UgQZnktyv0P2LyIFFW3o2lG3ZA.mp4?_nc_cat=103&_nc_oc=AdqGtos_5FgX0_TEyF7hDGnAuFF1VzsfAbZKd9Qhg980NbQwVlsH_LiSoAnbDPDqvSU&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=fMrs2rlWEQcQ7kNvwGKybNB&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTU0OTcyNjE3NDQzNjgxLCJhc3NldF9hZ2VfZGF5cyI6MTksInZpX3VzZWNhc2VfaWQiOjEwNzk5LCJkdXJhdGlvbl9zIjo0MywidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af9bejNyg0nXc33WTJZgpefW8YUAB0LjTYlnk2pMlPbjfw&oe=6A274483,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/701260593_2520027321791120_5703477071171009673_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ih7YT5XWgJAQ7kNvwF_7cxY&_nc_oc=AdoZEX-0bNl87jRevyX1xzsx2cSk_ri-PwNi3v50hFasCBhcXhq0Z1r4SpJ27YMWTj4&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&oh=00_Af8D77CoTpZTdfDibHLXO90QUx4d1IHvQjBq-KK91AdnLw&oe=6A272E01,2026-06-08T22:38:59.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/2162968067812618.mp4
3,SpeakX,540653459131632,SpeakX - Learn to Speak English,,IN,1333380855312442,https://www.facebook.com/ads/library/?id=1333380855312442,,,FALSE,FALSE,1,SpeakX - ऑनलाइन इंग्लिश बोलना सीखें,,Install Now,,Video,,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQOMpxBZ1txHiJji6vkDWoL6XMaXZknV8TMmHMLaW_O-k2851cNHX2ilZED3lTnz-48zjSw2L4nFcwqe6ik4EWok8cLxh1MjUD4TjQOPhA.mp4?_nc_cat=110&_nc_oc=AdpyvcVjF4VHGpQooJgK4o8mqlvIaNOeN1Ndd8dh7R3QXupAO-H_u0Fygu_RaAt2yz4&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=Oxwd3oJt9fwQ7kNvwF8z3UB&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjE5NTg5NjE1NzYxNjczMywiYXNzZXRfYWdlX2RheXMiOjE5LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MzQsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-qDscvNZQPXse46Ax38XroI8tmJoEakj0fZeIW_OESNg&oe=6A2723B4,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/699595378_811450558480645_6448933120094336866_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=2rdhPglf7noQ7kNvwEGndpE&_nc_oc=AdqI44G2uwbmyoYjSRrjpG1zCmiemqsnUh2xRwz5iq-DV9Ib_44wmzoXMU87A7GycOc&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&oh=00_Af9Fm0p7eMSCzqTevkBbaO-dFExhas1iD56GrvI9kQKajA&oe=6A2724B3,2026-06-08T20:19:00.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1333380855312442.mp4
4,SpeakX,540653459131632,SpeakX - Learn to Speak English,,IN,2504659850014715,https://www.facebook.com/ads/library/?id=2504659850014715,,,FALSE,FALSE,1,SpeakX - ऑनलाइन इंग्लिश बोलना सीखें,,Install Now,,Video,,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQNSSa4RxhP5ibnkKJlQXD5-9V71-LOH9zNNIA-tC-8jt6TXLV3cptHby8QX1VNXuLyFXj0jVO0Yx4rMPMz4z2BYoyJnuGrWBsGX3JGiaQ.mp4?_nc_cat=107&_nc_oc=AdpGxM9WvQQFL4flqqn5yK_LAIVkb_5e0iJlI484UygQh-pCmyGqWqAyNzSIP-PZIyw&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=Lavom_TtafMQ7kNvwHMC0U9&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTQ2NDI0MDg3NTAwODM0OCwiYXNzZXRfYWdlX2RheXMiOjExLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MjksInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af9KByMyYPxdcozBwzsOlaU8fJ6YIEhGy75Nm50QDGj9mA&oe=6A272DDB,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/705502132_966196309563393_502777738999587131_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=DQNj5QQjVtUQ7kNvwGaRHc3&_nc_oc=AdpiO6oe-dSTfUzUc8wsgP0gXCAhztmuiCdWifGmBhXZ3HnKRRhPz4byVC8PN8GS18Y&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&oh=00_Af_K8Tuk0kY2Ks2T5jS1VRUNx8pi6Lhm6Ho4-2Hk9QQg8w&oe=6A273FBE,2026-06-08T21:02:19.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/2504659850014715.mp4
5,SpeakX,540653459131632,SpeakX - Learn to Speak English,,IN,4317358591866176,https://www.facebook.com/ads/library/?id=4317358591866176,,,FALSE,FALSE,1,English speaking made easy with SpeakX App,,Install Now,,Video,,1,0,1:1,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQPsku_BXQeXnOgioCDuUgnelqc9rn7Fua1IWw_G71_JINkxcqPcO6MLTxXtx4Xh_AkVgGUbwfdLPBgGCUGRiNZhMsds6BBJWU9wev9mHQ.mp4?_nc_cat=111&_nc_oc=AdompjxIFQ34RemUdL1_KOoaZ0ZF5nsfztoP6QZ-qS0z4Q517hnWXBXpA6VT8OMzEjE&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=XCrJZQsh2rEQ7kNvwHYgDO7&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjE5MTk5NDcxNDg4MTY1MSwiYXNzZXRfYWdlX2RheXMiOjEzLCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6NzgsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-KJicD5rcB6Y70qtnmZUDXpHerCa4IAEnrRLJhxGl4PA&oe=6A273493,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/702930516_947346281457276_6784613591912950326_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=vZJlYBp1sSAQ7kNvwG9m1Uv&_nc_oc=AdoMG8_n462nAp7dMlAK0VwakfEMbFqAlGx3tzJ7wC78kyknzJ97RPyNwOEujbZN14o&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&oh=00_Af_ngGJI_OJT3-uCOpKkC8aZtDYqqTmg-J4pshUXQk9OCQ&oe=6A272797,2026-06-08T21:30:59.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/4317358591866176.mp4  [DRY-RUN]
6,SpeakX,540653459131632,SpeakX - Learn to Speak English,,IN,1494320365675491,https://www.facebook.com/ads/library/?id=1494320365675491,,,FALSE,FALSE,1,SpeakX — आपका अपना AI English Coach.,,Install Now,,Video,,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQPgY4s3NT6UuAl06wajv6yYHEkmnjy4bexibfvkRl_1krs6sA3zhL9B-K6RQgmQBA7uWUOWCroE5fkx8DmgQ9H85IFZjCRrjm1mXSDGPA.mp4?_nc_cat=101&_nc_oc=AdqJHxi_8exCk85D1OPBfZ8ASsgpT9v4lp9Ju3XKhrgKhoqfgNi9SCuxe3hH-5D_-78&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=mgBbRJZ4hXIQ7kNvwHilGTU&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTQyMzc3NTA4NTkzNDI0LCJhc3NldF9hZ2VfZGF5cyI6MjEsInZpX3VzZWNhc2VfaWQiOjEwNzk5LCJkdXJhdGlvbl9zIjo3MCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-84JShPODTmi5WjOhmEAoZazW6ooo4d3fB9oErnKbsvQ&oe=6A2753D1,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/700453680_1553405086360233_5456106414648777335_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=UbeoJHzRJO8Q7kNvwF6R-8O&_nc_oc=AdrE3PYGrt1JIAYfdK7Ld2qW1MLsAE0oQPJbipzbgne3HoEncQonCpxP6Gy_WOBOBng&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&oh=00_Af_ViDyeXCJm2DYxttD0hZuN4DfKGNFQYEBrFAC5Ph2bzw&oe=6A272740,2026-06-08T23:44:17.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1494320365675491.mp4
7,SpeakX,540653459131632,SpeakX - Learn to Speak English,,IN,1507220527751466,https://www.facebook.com/ads/library/?id=1507220527751466,,,FALSE,FALSE,1,ಮೂಲದಿಂದ spoken English ಕಲಿಯಿ. ದಿನಸಿ ಅಭ್ಯಾಸಕ್ಕೆ AI ಸಹಾಯ. ಕನ್ನಡಿಗರಿಗೆ ಸೂಕ್ತ.,,Install Now,,Video,,1,0,1:1,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQO-uQpvRS7XgzyO6Wr9O0egsDSLQmesIYWpAExcbiyALBi5ELJfdQO2vJ-jqFYU9-9KHLPJ1UdoioG0O13Ae58R6G9hfAYft7Bf7wgMvg.mp4?_nc_cat=109&_nc_oc=Adqne5cwQIHL9SbzgnLc6bvKfepZRSffD4HTUlcxyHsZWLDbfNV27sf39WpqrUfs1Ew&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=FA7AXikSu8EQ7kNvwFL0eTJ&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTY4NzQyNDQ5MDgzMDI5LCJhc3NldF9hZ2VfZGF5cyI6MTMsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjo2MSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-HcBASGJv15YhpkHQNgXIxRhutIUJcHCtV5m33yTi4ag&oe=6A274921,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/704947144_995737802904037_6849609227065221787_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=IaI9FR8kjAMQ7kNvwE66syn&_nc_oc=Adqz_YgPE2T73m0unHXz2SP39-Phgq3kO1-yGkcoIQCPHjtYwSSu66mf4gOJjMf0st0&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&oh=00_Af_3TkiWApSaUC0CDWBSNHBPL1xLxdVcJCpkDGmKsRjoPA&oe=6A275494,2026-06-08T22:58:41.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1507220527751466.mp4  [DRY-RUN]
8,SpeakX,540653459131632,SpeakX - Learn to Speak English,,IN,2443712506142477,https://www.facebook.com/ads/library/?id=2443712506142477,,,FALSE,FALSE,1,Ab bina ruke English bolo. Speakx AI tutor ke saath rozana practice karein.,,Install Now,,Video,,1,0,1:1,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQMDYx1Qdj72-HW9osVXLAamOI3ifnmjCZ8aKI37GUvo8p6LPEdaeoO42xxRyScpEzhrJOx8zrPinjX59AWsspJAsbW2JTJlsYjFnSymmQ.mp4?_nc_cat=108&_nc_oc=Adp3GN2QTNLK6MTJEVLwA_noCehGMoftgm1vuqJo_u-dL8zGP9Om6-YLG1opRDjPozs&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=_DEorMRy95wQ7kNvwEgYQbi&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTU2ODg4NjcwNDIyMjk5LCJhc3NldF9hZ2VfZGF5cyI6MjMsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjo0OSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-BSnlFmi7jAugyUgDzdeLozvtTLgVzpP3DtuDu8JK2fA&oe=6A27265E,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/696935206_761484530287856_6925944488701489564_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=x1syTr2aKCQQ7kNvwGMvLT0&_nc_oc=AdreTACIyXhzAXfFkQ1eO80Gq9jBcXMtAnVFiet7OqweUjuma0O18dLXzLuF4BXPpIw&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&oh=00_Af8EgcJ10pYVaJHK44V-RTHMnuAvfNQEtNXhUzMiEh__TA&oe=6A272D9A,2026-06-08T20:30:22.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/2443712506142477.mp4  [DRY-RUN]
9,SpeakX,540653459131632,SpeakX - Learn to Speak English,,IN,27292861753737186,https://www.facebook.com/ads/library/?id=27292861753737186,,,FALSE,FALSE,1,Ab bina ruke English bolo. Speakx AI tutor ke saath rozana practice karein.,,Install Now,,Video,,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQO03loUOIxUN4wTRQhD_Bvzcy48pK422nzyLh9dwheWzT8kASmXziBIb1lPAYcxaF1c9RTJUVDjehuw3zGqEsHdXp0gSGlxAnDZ5UPjLg.mp4?_nc_cat=107&_nc_oc=AdohQHr1erp-afN_wgcfawEQj_Una4_8tNuP0faj4p6t6D_5yF5VkznJtWx5uHh-4JU&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=tPGkCpJhDy8Q7kNvwE9Oy-V&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTc1NDc4OTg1OTAxNDAwNywiYXNzZXRfYWdlX2RheXMiOjcsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjo1MywidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-GpYG6TktuFTltHh5og11vJRWP79Jlfvy3wpb9BDHUzQ&oe=6A2732E7,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/710299057_1748190433201502_2099578974787765166_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=8MaRaqYFwRcQ7kNvwFHIQ-F&_nc_oc=AdoBoMHscUuoh3-5WSyNQCkUwDkxjLR9ZnrdacQIGO9tu3YS_egdffa2lJyjeu71x8o&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&oh=00_Af8qvmts4pZPzFfsqP7yPsZ7YAZhhK85IBSfmCrE8oTp4Q&oe=6A272D13,2026-06-08T21:23:51.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/27292861753737186.mp4  [DRY-RUN]
10,SpeakX,540653459131632,SpeakX - Learn to Speak English,,IN,1646829209907293,https://www.facebook.com/ads/library/?id=1646829209907293,,,FALSE,FALSE,1,SpeakX - ऑनलाइन इंग्लिश बोलना सीखें,,Install Now,,Video,,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQOHSiXjVMg28xbta0lUnCx7bYJSSCIIbKW7SWO6OtjIgyBR6AFcG4lmPPkGXGa3jSWCI5GKUr6Qsi9-YA5Uwtd33OYDcVz2W88FFkt1Mw.mp4?_nc_cat=109&_nc_oc=Adqy4extmIr_dztmVK5HkdIyrRsZKnWqnho7QiBbKo1zHTyfuMHP-jeLWvYzqQWCGAk&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=2R24-DjxOEsQ7kNvwFU_J1U&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MzQwMzY5OTg5MzE0MDM4NCwiYXNzZXRfYWdlX2RheXMiOjExLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MjksInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af9wRvhKGUydrmnE105-Co0cdlqve0-nAJwh_YwLZxWtoA&oe=6A2724BD,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/706397067_1666716721144194_800540893552332384_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=_P-AynRmIZkQ7kNvwEn6SMB&_nc_oc=AdpYJO73uurXGMWqksuhnD3xjFLBtyuQDWN6iAcAyWbM3QsmJUuWX3E46g-pSJoGFyQ&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=lcP-YnuGGn7W4q3Zyo_v6Q&_nc_ss=7b2a8&oh=00_Af-RV9AUCEG3dY203ODk2ZctButVrPc-PoDt2JK7XXAAoQ&oe=6A272C03,2026-06-08T20:23:25.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1646829209907293.mp4
