row_rank,competitor_name,facebook_page_id,facebook_page_name,facebook_page_followers,target_country,ad_library_id,ad_library_url,ad_start_date,ad_end_date,has_low_impression_warning,ad_has_multiple_versions,ad_version_count,ad_primary_text,ad_description,ad_cta_label,ad_destination_url,ad_media_type,ad_distribution_platforms,creative_count_in_ad,creative_index_in_ad,creative_aspect_ratio,facebook_video_cdn_url_at_scrape,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date
1,Wispr Flow,110864474787474,Wispr Flow,,ALL,1469613061573017,https://www.facebook.com/ads/library/?id=1469613061573017,2026-05-05,,,,1,,,Download,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.instagram.com%2F_u%2Fmarketswithjayant%3Ffbclid%3DIwZXh0bgNhZW0CMTAAYnJpZBExakg3Mjl2ZzcyT1Vzckc5MHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHvsbFtF30P7woAGNmdmhJbJU-RqiTdIEVGyb71RlG29-dWOZAOFitEYzlbXS_aem_sk7huwF5rIseLQkBuilGpA&h=AUCHknJpKR8UlxFrHh_ahyUQoYefiU51q_I5BEPR5jme_XHX9sx8n_tCYsRPXQ19evr8q0x9n5vtZ5XF38LAw0J8Vch7lb_mA9tMSwM-WmL-TkwDFFE1kXv4tOa4jJi1bP-mycbmUmJcMS5BDwIHQHaZZVk,Video,,1,0,9:16,https://scontent.fblr1-9.fna.fbcdn.net/o1/v/t2/f2/m367/AQN2zHR1zKdqh3PWWqQxD4QOqGiiYignCn7jASZhdgJgJWmg17c_kIWwOHpaaMO04ISU8U5MsCAGmLODlntD0n0ygnxXbNiC3MP1IMMWSQ.mp4?_nc_cat=105&_nc_oc=AdrNCfbDYzNXKIlB2cKXJggpSpA3rsU1EWAbexRyTs-nR3cqJ1PCnmr8S2usbtrqeekuMxgV64FqXtSH9hhpZyOS&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-9.fna.fbcdn.net&_nc_ohc=Ehe2Al3LUmgQ7kNvwEHCMSd&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnByb2dyZXNzaXZlX2gyNjQtYmFzaWMtZ2VuMl8zNjBwIiwieHB2X2Fzc2V0X2lkIjoxNzk1MDkwMzQwNzExNjQ4NywiYXNzZXRfYWdlX2RheXMiOjcxLCJ2aV91c2VjYXNlX2lkIjoxMDgyNywiZHVyYXRpb25fcyI6MTExLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=nIWB5pt-oC3fKfafiniazQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af_ZfvVWcNSHV8djiUB3u3hkYBsS2vYKZMnPi108I5nlqQ&oe=6A27791D,https://scontent.fblr1-9.fna.fbcdn.net/v/t39.35426-6/671663760_35418675917746285_89261730634561694_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=z0KaLQNa730Q7kNvwFu3_UO&_nc_oc=Adr5t_cdjbR5fNL2jKsv2H9BRB3Q7CxkxId5VtLANk-qquvjVIauq7FnRYn3tqmXcOFza347FKQ3dMOiPbHBTNjd&_nc_zt=14&_nc_ht=scontent.fblr1-9.fna&_nc_gid=nIWB5pt-oC3fKfafiniazQ&_nc_ss=7b2a8&oh=00_Af9d8rtfLbMSR9Q0ZWj5QuchCELYml8JgFx6EDAyBeKPRw&oe=6A278328,,2026-06-04
2,Wispr Flow,110864474787474,Wispr Flow,,ALL,1594180728511921,https://www.facebook.com/ads/library/?id=1594180728511921,2026-04-05,,,,1,,,,https://www.facebook.com/wisprflow/,Video,,1,0,9:16,https://scontent.fblr1-6.fna.fbcdn.net/o1/v/t2/f2/m412/AQNGmt_8e_0CGYQycf6YxPT3uNlnA0Q5Fe5Ooxkwji0ggSa2-m9_qyNTbjTdBdn-zfiqNUnT6558wzoBbZPPG45ruGzbOOApqL5oKtXwSw.mp4?_nc_cat=104&_nc_oc=AdoyWna93cI-VeGW_YQ7jk_BOaygNC4fePpfkvgjolmxT4Oirc4wzxkh7u-rdld7YOUoDy4FLW67c2NruhQWgcoM&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-6.fna.fbcdn.net&_nc_ohc=LBWwe6-rEMgQ7kNvwGHKiJr&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6Nzk0Mjg0MjYwMTQ5NzY3LCJhc3NldF9hZ2VfZGF5cyI6MjMzLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6NDAsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=nIWB5pt-oC3fKfafiniazQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af_Ff4YtEsX-JpekU9DFsZAR96k-Ehry4UMjLHZVN7jO5g&oe=6A2781EA,https://scontent.fblr1-6.fna.fbcdn.net/v/t39.35426-6/649835796_1254985042826498_704107959143273211_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=XOenUiJeiZ4Q7kNvwG2Ea6d&_nc_oc=AdoPPpXYx_OjLeCndbs4Kej-NHuFN2XuVf7vsydiq_9i-YaYsQM5-Uz61d5VnPybEqizH7UEacFtoZDO73qLL66S&_nc_zt=14&_nc_ht=scontent.fblr1-6.fna&_nc_gid=nIWB5pt-oC3fKfafiniazQ&_nc_ss=7b2a8&oh=00_Af8zqfHTkfLT2FXht7gM0GgmAEoRXrQz4pOJJJrU4aBdEw&oe=6A279963,,2026-06-04
3,Wispr Flow,110864474787474,Wispr Flow,,ALL,3662315693910482,https://www.facebook.com/ads/library/?id=3662315693910482,2026-04-03,,,,1,,,,https://www.facebook.com/wisprflow/,Video,,1,0,9:16,https://scontent.fblr1-3.fna.fbcdn.net/o1/v/t2/f2/m412/AQOfF8CqK6oAXVPEO8ME8MeDKPGFBDtfFujcq4COSIKooIV96R_GfycikU06vfcrA6k3LxKOzHyZYftc34d6YkKRPGNH7RTUfI6MJYQPkw.mp4?_nc_cat=107&_nc_oc=AdqXBRXhvHagboubZVx_ewHZ9Mfb0gmn9VXQIkkLkD7f8shrbG0l0eyfLnrKqyovuBmSRYGZh1lxYDAsVv4T-i5a&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-3.fna.fbcdn.net&_nc_ohc=Mmu9Ul05CIcQ7kNvwEYynHV&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTM3MTAwMjMzMTA1MTU3OSwiYXNzZXRfYWdlX2RheXMiOjIzMywidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjM1LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=nIWB5pt-oC3fKfafiniazQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af_fmoqDAZPbcLTA0JXaViUYDn4s9VG3a4ojrVzQfxTJ5w&oe=6A278387,https://scontent.fblr1-6.fna.fbcdn.net/v/t39.35426-6/650638349_4481693485396722_6092545466693182015_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=lRLqMe0vm5QQ7kNvwEvF9He&_nc_oc=AdoJNudRdLRjocGt7hF2bNg46Xa7Txt_gI8l8gkBmqcMXZYpPVX-2hamoj1kqQxax6-ktYmnURyf-04iO6a-6W0o&_nc_zt=14&_nc_ht=scontent.fblr1-6.fna&_nc_gid=nIWB5pt-oC3fKfafiniazQ&_nc_ss=7b2a8&oh=00_Af-PQQQk-P1uOHMl-YL8lhH7HbNtX4DhLP1_XuBWgNCjQQ&oe=6A2771CD,,2026-06-04
4,Wispr Flow,110864474787474,Wispr Flow,,ALL,1662376828284378,https://www.facebook.com/ads/library/?id=1662376828284378,2026-04-29,,,,1,,,Download,https://www.facebook.com/wisprflow/,Image,,1,0,9:16,,https://scontent.fblr1-9.fna.fbcdn.net/v/t39.35426-6/679540493_833117496498440_8370443326420018339_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=t6NSZRGg378Q7kNvwFL5Dei&_nc_oc=AdroMVqrTlRdPigbZLfehXNC3vtg3JPw5CsI5OWE5ZcNHa5LvjhnZoh9jEvI7d9wK_qnPuESwRx5Tq-tkp2LLRnR&_nc_zt=14&_nc_ht=scontent.fblr1-9.fna&_nc_gid=nIWB5pt-oC3fKfafiniazQ&_nc_ss=7b2a8&oh=00_Af-NnVcXoE24ZWNlw-lHdOykW7eK4aL6wgbqdx0r9ApkxA&oe=6A2791EC,,2026-06-04
5,Wispr Flow,110864474787474,Wispr Flow,,ALL,2000826840827099,https://www.facebook.com/ads/library/?id=2000826840827099,2026-04-29,,,,1,,,,https://www.facebook.com/wisprflow/,Video,,1,0,9:16,https://scontent.fblr1-6.fna.fbcdn.net/o1/v/t2/f2/m412/AQOK6tSwFT0w1mqYu0Vm-yb7_zSjvGoEMPki9MGQY9pFSCObNpUBIUE6P2clRBH-KngYPq25hDpHDLc2pwSe8LMMCjoFBOgJd4ro-Ie1hQ.mp4?_nc_cat=104&_nc_oc=AdoN63e7Y2hwf2NQXtDhgEwqPsYDKglkkTOpqxkz7HejpEI6HNWlRk0EaXFTfzPB-xr22stlM9sPNpllmTyz97sY&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-6.fna.fbcdn.net&_nc_ohc=zi-JU_Pr3h0Q7kNvwF9fHZV&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MzM4OTA2ODE4NDU3OTE4MCwiYXNzZXRfYWdlX2RheXMiOjEyNywidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjYwLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=nIWB5pt-oC3fKfafiniazQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af_C6HS6o_aNUDoc-_7sr3-78Nb6bZPDc8eDfoEg6EO5xA&oe=6A27938A,https://scontent.fblr1-5.fna.fbcdn.net/v/t39.35426-6/683634893_1507297637770023_1467624828323480699_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ZQpgFk0gqCIQ7kNvwGICsxR&_nc_oc=Adq7yp5Lt0hmTfLe1OHsIkouMkY6a5585jcU2odOSz9INLiDd3Ni2FrFsHx5YPWHdotJQHr0wwVAcVfJBvPPoliv&_nc_zt=14&_nc_ht=scontent.fblr1-5.fna&_nc_gid=nIWB5pt-oC3fKfafiniazQ&_nc_ss=7b2a8&oh=00_Af-rQ1RYYfSUdMwYRIAbEHI0TJJ_J7HiORCXHSej24tWkw&oe=6A2790C9,,2026-06-04
6,Wispr Flow,110864474787474,Wispr Flow,,ALL,1514236670316304,https://www.facebook.com/ads/library/?id=1514236670316304,2026-04-29,,,,1,,,Download,https://www.facebook.com/wisprflow/,Video,,1,0,9:16,https://scontent.fblr1-3.fna.fbcdn.net/o1/v/t2/f2/m412/AQPWVuG6WvtKPWyWxAi3p2N8hOZdKBLHsPac3j7RIR3KYBHDVcaV8LcTMXpGIqwJfrPJQgC0YqedbK5BBYi3IvQ26lp00a4K1ahxCN08uw.mp4?_nc_cat=107&_nc_oc=AdpGSC5bRqYo5O3XOtTmWXQ9Vgku8e-szzx4F9RNltYkdQG6qI7OjeTNwIuLA_ZfTeB1TIPVSxwTqOUgFVf9y47u&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-3.fna.fbcdn.net&_nc_ohc=HnVEse1iKLAQ7kNvwE0UK_-&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjA1MDk1Mzk1MjQzMTY2NywiYXNzZXRfYWdlX2RheXMiOjc1LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6NDAsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=nIWB5pt-oC3fKfafiniazQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af9kCzB4CDqIq6qeEb6ilwPNZs9M6IqGIwi3MxOa9eyb5g&oe=6A276F5B,https://scontent.fblr1-5.fna.fbcdn.net/v/t39.35426-6/681462297_997271146188235_5309241106744216013_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=o2ijd41iqBcQ7kNvwHVGlvQ&_nc_oc=Ado4oW9MxsRse1fQRZ40xyAfhXTQZUvTQUEOAPZga5nbRTZCd9NEoKl9jKetJPxvZ6o5nSxD0PGV7W4foIDns-T-&_nc_zt=14&_nc_ht=scontent.fblr1-5.fna&_nc_gid=nIWB5pt-oC3fKfafiniazQ&_nc_ss=7b2a8&oh=00_Af9kg8PWlohjIByq9Cy8Umlh3xZN8BPXDNfS9UAtoCeqEw&oe=6A276A81,,2026-06-04
7,Wispr Flow,110864474787474,Wispr Flow,,ALL,1706333260361238,https://www.facebook.com/ads/library/?id=1706333260361238,2026-05-16,,,,1,,,Download,https://www.facebook.com/wisprflow/,Image,,1,0,9:16,,https://scontent.fblr1-6.fna.fbcdn.net/v/t39.35426-6/702545234_826841296737065_4970263014845693904_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=YpvCl-WVfxUQ7kNvwERmCun&_nc_oc=Adpdr-03Hiol6ZurGAD-WXCbUW2YyxzJm6kygkCGLpgMPwvM0m0_0b2x-pkvrWoPvR8amC2D123FCSgDb3e4cfB0&_nc_zt=14&_nc_ht=scontent.fblr1-6.fna&_nc_gid=nIWB5pt-oC3fKfafiniazQ&_nc_ss=7b2a8&oh=00_Af_4T9T7v35igUheKK0SZvfyLzzs75yguFSSSnTcTRpgMA&oe=6A27980A,,2026-06-04
8,Wispr Flow,110864474787474,Wispr Flow,,ALL,4420596578229527,https://www.facebook.com/ads/library/?id=4420596578229527,2026-05-30,,,,1,,,,https://www.facebook.com/61586484088267/,Video,,1,0,9:16,https://scontent.fblr1-6.fna.fbcdn.net/o1/v/t2/f2/m412/AQPRUWhcPgHjWz3ntAFLavmeP0TGpZICnZtCalUthAuyBBh7vnkjdTPQkzLV4_JcySV7YeDKaF980r69XpzYuqdgxLHZhHY-JQclkROy2Q.mp4?_nc_cat=104&_nc_oc=AdpN-Kt-zvuCeyoueKymqpdh8i24_Q_B9vNuS-jPd5RlW8ok3vBz59rmlq2YMLglc8BnVl-2x8sbEG6OUjxMXGfU&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-6.fna.fbcdn.net&_nc_ohc=rHzh-C1wzdAQ7kNvwFcwcgb&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjYzOTczMzMwMzA4ODEzNSwiYXNzZXRfYWdlX2RheXMiOjE5LCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6MjgsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=nIWB5pt-oC3fKfafiniazQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af8Yh3nmaIvERjkWxQLATyLQzssXMvQa-8QQJFAVhhUY_g&oe=6A2766E2,https://scontent.fblr1-3.fna.fbcdn.net/v/t39.35426-6/709101644_1624156315546924_984413177248506235_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=OAsvq3pAXxQQ7kNvwHePfg3&_nc_oc=AdpK1DzEkPo5DKEFcqmE4qlHOl8GhJRCHwH5qzxOB3a67YCBuhYij2pketd_hkk_LyvJCYbQo0-LDn95rNuTIl41&_nc_zt=14&_nc_ht=scontent.fblr1-3.fna&_nc_gid=nIWB5pt-oC3fKfafiniazQ&_nc_ss=7b2a8&oh=00_Af__Af2EYjdg5O97HNlOg8J63IUeNuEZln8amcM1TjNGAg&oe=6A2765C1,,2026-06-04
9,Wispr Flow,110864474787474,Wispr Flow,,ALL,2292746258177295,https://www.facebook.com/ads/library/?id=2292746258177295,2026-05-21,,,,1,,,Try Wispr Flow free,https://www.facebook.com/61586484088267/,Video,,1,0,9:16,https://scontent.fblr1-6.fna.fbcdn.net/o1/v/t2/f2/m412/AQN3SgWvJpyr0z8sfUpmWlRD5pPLsSXwnQks43-LxtdgkkvPDh9ZCj1l5eWOmAl0XoVvmgQvlk_oKVOjSIQbGLnNidbuZotScafdUGBcHw.mp4?_nc_cat=100&_nc_oc=AdpLzawDCYDhLqzHkox5vEk9B48l6jEfryV3OLTw1EERbrDxij3SfwoZOmFo6E8_6zmJdYE6OWQUkFu14QQCU-Xz&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-6.fna.fbcdn.net&_nc_ohc=L1OI8-7gjTwQ7kNvwHPLCJv&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTYyNjY1NzY1ODY3MDczMSwiYXNzZXRfYWdlX2RheXMiOjYxLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6NDgsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=nIWB5pt-oC3fKfafiniazQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af_9gIa3Eyg7tcCterO4rJP9Pdm5iMnskUapLwz8oxGBdQ&oe=6A277956,https://scontent.fblr1-8.fna.fbcdn.net/v/t39.35426-6/700800340_2024975248088906_3819140134222767043_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=Ch45MgOhn7QQ7kNvwHYySYD&_nc_oc=Adr-Hp0N0q70xIr3cslU2uLlGTGdN7Kw_KbgUSKI_9E53zbYuB0Hp5Y3ebgK9llPDeHsOChTU6KqBBc641xB0wHQ&_nc_zt=14&_nc_ht=scontent.fblr1-8.fna&_nc_gid=nIWB5pt-oC3fKfafiniazQ&_nc_ss=7b2a8&oh=00_Af_hkMKkF2n7aGPAMGEZ3cYqxWBfnQK0Dkdfd1xSp7IDFQ&oe=6A277088,,2026-06-04
10,Wispr Flow,110864474787474,Wispr Flow,,ALL,3035274613339634,https://www.facebook.com/ads/library/?id=3035274613339634,2026-04-29,,,,1,,,,https://www.facebook.com/wisprflow/,Video,,1,0,9:16,https://scontent.fblr1-6.fna.fbcdn.net/o1/v/t2/f2/m412/AQPlIWMTRrJGqbhUPmbKDfBwOrFWib6ofQbDkm2ARH2mz_jTyNwuB2K3JAfWoJZTb8H30-EjYLzGQJ3cfF3T92Z5x05JArD4zEGYXXF4Ig.mp4?_nc_cat=100&_nc_oc=AdoCmo6JfR-vJacrlxXvFDo57qDEdDwvdUsVnHcQIl5Oie0exHx2FNgqCRlTmyyQBzNJZD6SnekM5uxfMS4gl656&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-6.fna.fbcdn.net&_nc_ohc=zUUNCOkj5oQQ7kNvwESDwrC&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjAzOTE0Mjc5MzY3MTM2OSwiYXNzZXRfYWdlX2RheXMiOjExMCwidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjQzLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=nIWB5pt-oC3fKfafiniazQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af8EHWEqf2Fk2alTaY5aA-eMkzBtR5oGMxFPKamDFVA9_A&oe=6A278D26,https://scontent.fblr1-8.fna.fbcdn.net/v/t39.35426-6/681243432_2151675388990721_7265888845889191586_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=CRnflcj8adgQ7kNvwGI0f45&_nc_oc=Adpuqi2Ty_W4vttKLWVgVygeu14soWRvx6X1v88bFjk-ggVkHlUg7Em5D9bkHmYzLZcZ5Vw6lQZnnVaWxYas5XtW&_nc_zt=14&_nc_ht=scontent.fblr1-8.fna&_nc_gid=nIWB5pt-oC3fKfafiniazQ&_nc_ss=7b2a8&oh=00_Af8UQX3IuGJMzIf7KeqvZYQyyYJi4EMtIfRQJT3oXjqTKg&oe=6A277DB0,,2026-06-04
