row_rank,competitor_name,facebook_page_id,facebook_page_name,facebook_page_followers,target_country,ad_library_id,ad_library_url,ad_start_date,ad_end_date,has_low_impression_warning,ad_has_multiple_versions,ad_version_count,ad_primary_text,ad_description,ad_cta_label,ad_destination_url,ad_media_type,ad_distribution_platforms,creative_count_in_ad,creative_index_in_ad,creative_aspect_ratio,facebook_video_cdn_url_at_scrape,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date
1,Zinglish,680109015195106,Zinglish,,IN,1212657180911138,https://www.facebook.com/ads/library/?id=1212657180911138,2026-02-18,,false,false,1,हिंदी के मदद से English जानो 🤩🤩🤩  Sirf @₹3 में,हिंदी के मदद से English जानो 🤩🤩🤩,Install now,,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQO6ouGjwGRL3opalRYFHiC-8mRowSADJI8wRM8720S0iuFavKsQgg4c1fgHQjzpREQKu-PYiViVRSWsacmcFQ42-T5opgBS4kZex7O76Q.mp4?_nc_cat=104&_nc_oc=AdrtT-TTvj1w2maH9yLS5wnpIotfB5EvUMR3A65Dd9T40StmPpbMUR-X1BFuzydkuao&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=9OJFGpInrTEQ7kNvwGoRNsZ&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTMyMzgxNzYzNjE4MzA2MCwiYXNzZXRfYWdlX2RheXMiOjk2LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MTIsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af4o9-WdOm99OMsbjSSPUEbkAQTrrFXfqTZcleqIJogRBQ&oe=6A1B7346,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/638285457_918866267297846_3795325011640986515_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=33D7W_kmRgkQ7kNvwHszQkM&_nc_oc=Adod9d9ji142dxlL_vcX7zWNONeslPNWIIymDHp-W5_nwXLtGoye_b9bCvqzRcduIV8&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&oh=00_Af6rSfPGmjCfgZYK-w_ZCZrW_ei9yt7UR9s3IVVGCKTQLg&oe=6A1B7EF7,2026-05-30T23:31:18.000Z,2026-05-26
2,Zinglish,680109015195106,Zinglish,,IN,908822938160022,https://www.facebook.com/ads/library/?id=908822938160022,2026-01-27,,false,false,1,हिंदी के मदद से English जानो 🤩🤩🤩  Sirf @₹3 में,हिंदी के मदद से English जानो 🤩🤩🤩,Install now,,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQNjNQRb2U9C0Eemzusw9itRIhuab6ukXRZA1t7JiVkQj-zmXS3YvI0xZs0kENjphy3QLbXcTT5SEmSLQe1MXJ7BrSXvcpUSapsfhVJtjw.mp4?_nc_cat=110&_nc_oc=Adq6G9TQ3_m4H1V7FUmUhPqz4vyo22qRrJTgQiPSZ_BPlUZ_sIgx4lHV4fZqjeaBRqE&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=QrmE7gI0rzQQ7kNvwHYDtnb&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTU0ODQxMzA4MjkwMTc3NiwiYXNzZXRfYWdlX2RheXMiOjExOCwidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjExLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af7EyZE8jHuRGJt79On4Tlxqs6Vxbr2ppGl87B03A9DFXg&oe=6A1B7680,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/621771615_873905922106312_3362647613503927174_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=Hj8Us7ydrfQQ7kNvwHXmCZe&_nc_oc=Ado6aNF_YYRwrQmKacOCFxuEALhxgAm7k-1rQHrUzMjjEBviSS024OQXsg3GTP1_iPI&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&oh=00_Af5xu9CZma8JcutxCaO69BaNn65R7cZr3_kSHSwziujs5w&oe=6A1B89F0,2026-05-30T23:45:04.000Z,2026-05-26
3,Zinglish,680109015195106,Zinglish,,IN,1414823376812512,https://www.facebook.com/ads/library/?id=1414823376812512,2026-02-16,,false,false,1,தமிழின் உதவியுடன் English கற்றுக்கொள்ளுங்கள் வெறும் ₹3-க்கே😎🤩,"Tamil-லேயே, English கற்றுக்கொள்ளுங்கள்",Install now,,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQM6-okLr321VFUtY7ZvcFQ3gASb6W6p19srpng9yzJy3Q0O6S469l6J1Kt96ObAD0a8bCdCCNdIG2vAl5B2MZMMwrWcJuSFRNYGBe483w.mp4?_nc_cat=105&_nc_oc=Ado3_p4WuZRcGNsebjlSRf5_3wu9qwEH0tp4RQNccPgbQdoTELbZ4C9Y98EWfk_qA5o&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=izSWRe9cbIkQ7kNvwGnrGrr&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTQ0NzA1ODE0Njk0OTY1MiwiYXNzZXRfYWdlX2RheXMiOjk4LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MzIsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af4VcP3WQiglyizyGUlTwBVKqmsKsxg7JZGexmXbiKk45g&oe=6A1B96B9,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/634720152_2099786490813060_6694751537137493792_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=PAk3jCGHIqQQ7kNvwEywYI_&_nc_oc=AdqVe0I2TgH7kkmv-bBWjFl0rqofqbatb_RgyyJe-tieYwrupENrG1bx8f1_eqhg8PA&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&oh=00_Af5sisfVUq7M5Hf49WLoUXfw0ct0aB_kRNEqiq7VBEvZUQ&oe=6A1B617F,2026-05-31T02:02:33.000Z,2026-05-26
4,Zinglish,680109015195106,Zinglish,,IN,900964249487648,https://www.facebook.com/ads/library/?id=900964249487648,2026-03-12,,false,false,1,हिंदी के मदद से English जानो 🤯 Sirf @₹3 में,Ghar baithe smart bano 😎,Install now,,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQPSr0AVH6rGbtTy62nVfNUnP-2Q3ZJJZVkYx-Dd4-YbzAoZn5Z7WTUbV4XsRY_RPDiRk8duv9MPZKPTBIHtHpCUdPuTpleV6PrrMuvXmA.mp4?_nc_cat=108&_nc_oc=Adr2FPkmar67ch992F49pxKjWHVJLUfCc-0d2FOzJdh53mpcxVC8gsq7nqBtNe8Yavw&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=3oIPb5cmJaYQ7kNvwHyVkuy&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTU3NjMyMjkyNjc3NTc0OCwiYXNzZXRfYWdlX2RheXMiOjc0LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MTUsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af56K9zgMPfCnFhToGsXtZFgLqVVE0FlwRd4bL0_788jQg&oe=6A1B86A6,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/650801474_923810583966019_6607060046103774349_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=qnJdAkacRLYQ7kNvwHrMGAC&_nc_oc=AdpA2JGCykSmw2GP-UrurJugweiLbuyj6vpk6W-K3xfxqTw-uwUchQ8dyM2grqvkrdw&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&oh=00_Af6vtyoUxugK6iQ6HnE8VAayrxG8hEDDQxAcxJV2NYO5GA&oe=6A1B6FE1,2026-05-31T00:53:58.000Z,2026-05-26
5,Zinglish,680109015195106,Zinglish,,IN,2145402302955929,https://www.facebook.com/ads/library/?id=2145402302955929,2026-02-18,,false,false,1,हिंदी के मदद से English जानो 🤩🤩🤩  Sirf @₹3 में,हिंदी के मदद से English जानो 🤩🤩🤩,Install now,,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQPRNUV4DUfeNWqssv45BDEUkh6tXAJ51at2TqtV9V5E6lqkB7oQA1blyCPGvi7pOg6R2IgvO4ikftau5ogMqIezBuJwSvIk8nOMM0iKvg.mp4?_nc_cat=111&_nc_oc=Adqx1IMNOU8tJJFlsg_EArFxHozdWii1SKkuaqZATmdofK-Oucmo2OVh3BXOkuxL5xE&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=hZuFrpSt7t4Q7kNvwHjcumB&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTE1NjEzMjg0MzIxNDA2LCJhc3NldF9hZ2VfZGF5cyI6OTYsInZpX3VzZWNhc2VfaWQiOjEwNzk5LCJkdXJhdGlvbl9zIjoxMSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af6aEJQnQfTrA0Nn2wxRQe2eAFxLOn9Jsjoffozs1fJ1Gw&oe=6A1B767B,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/638827824_3050336001841632_722025433752557899_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=iLJ8F0Q97f4Q7kNvwG-sTWX&_nc_oc=AdqjK0v5IkVpC3kGhwUmTKtPFDcnjIUzpUsMNB5X6bK41XEoarhpQJyNtldsfRn6AFg&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&oh=00_Af7Y2IH-VAwflzRyYNlaulMxjrHKd1S5VYgseSwDjI5jLg&oe=6A1B7BCC,2026-05-30T23:44:59.000Z,2026-05-26
6,Zinglish,680109015195106,Zinglish,,IN,1214331300401198,https://www.facebook.com/ads/library/?id=1214331300401198,2026-02-17,,false,false,1,தமிழின் உதவியுடன் English கற்றுக்கொள்ளுங்கள் வெறும் ₹3-க்கே😎🤩,"Tamil-லேயே, English கற்றுக்கொள்ளுங்கள்",Install now,,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQM0ChZtbqp1BahC2-xJgYqV0Sucla5ULadoS-UYzkmTsKI8fQXTlYConOpPE7-K27KjuVHKAngnUmB1zifmn7iJHXv0uzLfBzh88EMNhQ.mp4?_nc_cat=111&_nc_oc=AdpC_6vLAQdEZvvRYtd6acaHSyov1WQyBm5POzTZq70wHnMc9B-_1NeGul74ijk3hxg&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=BUEanMu66DIQ7kNvwHvKObH&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTE1NjExNDY4MDc4MTYyLCJhc3NldF9hZ2VfZGF5cyI6OTcsInZpX3VzZWNhc2VfaWQiOjEwNzk5LCJkdXJhdGlvbl9zIjoyMiwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af6Ky8WPHuZhcN4zqbcmkfsCFOLeoZqYR2l4_ZWkYQ9qJw&oe=6A1B65E3,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/638094538_935452129160689_7110617340147124269_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=_2pdAkJAXvQQ7kNvwGuye6c&_nc_oc=Adpy3H-FFiDWte0F24-npV6-W66if4aCz7zobuDCNOWPHMs95g9xhNNSJmKdcx20CSQ&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&oh=00_Af4PHjgOW7CnoHqH-OjavUZY79avb7eNaLD7UwiwWR21NA&oe=6A1B6A8E,2026-05-30T22:34:11.000Z,2026-05-26
7,Zinglish,680109015195106,Zinglish,,IN,1417738519758197,https://www.facebook.com/ads/library/?id=1417738519758197,2026-02-26,,false,false,1,தமிழின் உதவியுடன் English கற்றுக்கொள்ளுங்கள் வெறும் ₹3-க்கே😎🤩,"Tamil-லேயே, English கற்றுக்கொள்ளுங்கள்",Install now,,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQP00RnSbm-LqU_X4aKB-dVo1iCiAkWG3-wE3TtigmAj1mzyfWTE0JtMOX8hPJVSyWEXA87Y6QL2_BoTVptxBLJ0YcfK5ezCWXDTXUqmOg.mp4?_nc_cat=108&_nc_oc=Adrxt1N-H-wnLxiT2Y5RSFwujAs3KrAzKMdJcPC8L8fc_HOah8PTL4mu_ZQRdPQSn3Q&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=c_XRZsux12AQ7kNvwHvqemi&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjE1ODUzNDM4ODA1MjU4NywiYXNzZXRfYWdlX2RheXMiOjg4LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MTksInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af5P5vDj_NIhnhb6ocxnz_R6ed4w867kehgLJtNxPSI47A&oe=6A1B675A,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/641265563_1242076261346058_2872687773376928707_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=nsTAl_dLZdIQ7kNvwEn1God&_nc_oc=AdoTNzMaRnPUBtCWc23s09CTxO590zmGlIuYlsFLVulw3w5gkY0EszuliqI_wpkKhb4&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&oh=00_Af7nte17VVzYYF_DvZDPMWqSQpz_jss1UbZU9R8hUSr2Sg&oe=6A1B638B,2026-05-30T22:40:26.000Z,2026-05-26
8,Zinglish,680109015195106,Zinglish,,IN,1457798545962459,https://www.facebook.com/ads/library/?id=1457798545962459,2026-03-02,,false,false,1,ಕನ್ನಡದ ಸಹಾಯದಿಂದ English ಕಲಿಯಿರಿ — ಕೇವಲ ₹3ಕ್ಕೆ🤩,ಕನ್ನಡದಲ್ಲೇ English ಕಲಿಯಿರಿ — ಕೇವಲ ₹3ಕ್ಕೆ🤩,Install now,,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQM4_C6hZzxD_ZRvCa3IFbG0tsbv7-tOsG2-sIbfALBpsh39BaX5i7DOUACWdYqVUZ0iGL-4DAd3DqEiuN-GdJtJwTjCoAkKihSyvMMtCw.mp4?_nc_cat=105&_nc_oc=AdrPMjtqKCa_ng1XblEmOQlCX-EAQO6JGkXPb90N5QNgfEVtbXBiVbKacfhNMNm0xao&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=W6z0Qqmi02sQ7kNvwFz3vV1&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjAyNDczNjg1MTc5NTczMCwiYXNzZXRfYWdlX2RheXMiOjg0LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MjQsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af6Ihq1djqowTzPZCpcHW_iZWY0rh9dLdzc9JtJ1VBWe4Q&oe=6A1B683D,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/646692804_949059744250370_1831653799445858307_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=BZlQse6s5oAQ7kNvwFFnmKh&_nc_oc=AdoviJv5E4VaDso3sTv3AxEhBQYqTFXquXs92S8zC7fYHLBJXgctsuob30fbz02yiiU&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&oh=00_Af4VMfi_xNp41iEqLGSvwVZl5i9UVlwZ-PK6mFRJR4ayEQ&oe=6A1B652E,2026-05-30T22:44:13.000Z,2026-05-26
9,Zinglish,680109015195106,Zinglish,,IN,1403710238171409,https://www.facebook.com/ads/library/?id=1403710238171409,2026-03-06,,false,false,1,தமிழின் உதவியுடன் English கற்றுக்கொள்ளுங்கள் வெறும் ₹3-க்கே😎🤩,"Tamil-லேயே, English கற்றுக்கொள்ளுங்கள்",Install now,,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQMjcnSP4CxODqzvrHAlWF0AUHLQmAnY6n21ntT_OqdAp93zYAvoxEjCxpirVEQiH0krzd4jlZB0BIOMX_dQYcU9aFsphWznoc0lrcTCeQ.mp4?_nc_cat=107&_nc_oc=AdqSq7Hwou5DiZH4Q9thP5ASLiZo6dE04N8x40TnWzOXPWYxRe5CcR0smkBiVxDG348&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=QZ4jOH-Fek8Q7kNvwFaG9yS&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTYyMTQ1NzI5ODg5MDg2OCwiYXNzZXRfYWdlX2RheXMiOjgwLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MTgsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af71JkQsracrMlR2h0BB3N5M6rcoY3oBQRH68tCvU36CxQ&oe=6A1B7117,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/648505139_2029540807595532_3074214338553158271_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=4hBATu4gbC0Q7kNvwERkZ8h&_nc_oc=AdoAA6pCzg6hMGIXc4Pdnc_-KnNjV9fNn86u5t22YyYy-HRdV8QT2l-Op58cN3M7gS0&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&oh=00_Af62QXX9CHobYhtdZOAiK1-CANRe9VMZgIi7pzFP2c8vAw&oe=6A1B9839,2026-05-30T23:21:59.000Z,2026-05-26
10,Zinglish,680109015195106,Zinglish,,IN,895901269731389,https://www.facebook.com/ads/library/?id=895901269731389,2026-02-20,,false,false,1,हिंदी के मदद से English जानो 🤩🤩🤩  Sirf @₹3 में,हिंदी के मदद से English जानो 🤩🤩🤩,Install now,,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQMajexN8vWS8ZXfp6UDt2r4trEHevxvDRFP9QiOYXl3MTcX2WWvU13rUoyY3KHNBTtEaMPUcLOCl9p0C55ZNskf0w2KeWgdJKYBocbE6Q.mp4?_nc_cat=106&_nc_oc=AdrAx5Q72G1VfLSabm3a81XohG0Q6lCYZRT2y0Tjcv68bU3CkOTq_rCZJu5kgY4ukYc&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=K-uOawpc-lgQ7kNvwFfJPkN&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6NDQxNzY2MDIwMTc4MjU5MywiYXNzZXRfYWdlX2RheXMiOjk0LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MTEsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af5Z2LA4p9sxOQtW4x9doSx0e6wJTxHeE5gzVmy__JSXTw&oe=6A1B74E8,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/640390270_1844673949539235_5086220979782024074_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=uUBMrZTSaVAQ7kNvwEftKPc&_nc_oc=AdqEY0QCicq6lTU0y-5aVguEArOcfG3JkwabG51JcsrZPLc5wH2blb3-XEpsSsVsnOA&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=Yqfc0e7WtHcBjUjMc37ZOg&_nc_ss=7b2a8&oh=00_Af6trbGm6VSS4MSQVeSYUTJvOboOQxRqNkI8_AFle3nr1w&oe=6A1B9440,2026-05-30T23:38:16.000Z,2026-05-26
