impression_rank,ad_library_id,media_type,r2_status,ad_library_url,est_step4_cost_usd
1,1284146880301102,Video,in R2,https://www.facebook.com/ads/library/?id=1284146880301102,0.2196
2,1479917686815968,Video,in R2,https://www.facebook.com/ads/library/?id=1479917686815968,0.219
3,942282644920761,Video,in R2,https://www.facebook.com/ads/library/?id=942282644920761,0.2192
4,1000580788969512,Video,in R2,https://www.facebook.com/ads/library/?id=1000580788969512,0.2173
5,1720222669432418,Video,in R2,https://www.facebook.com/ads/library/?id=1720222669432418,0.2129
6,2114713116051354,Video,in R2,https://www.facebook.com/ads/library/?id=2114713116051354,0.2125
7,1481040770146627,Video,in R2,https://www.facebook.com/ads/library/?id=1481040770146627,0.2197
8,1412613080667553,Video,in R2,https://www.facebook.com/ads/library/?id=1412613080667553,0.2148
9,975765704980225,Video,in R2,https://www.facebook.com/ads/library/?id=975765704980225,0.2168
10,1282822937331618,Video,in R2,https://www.facebook.com/ads/library/?id=1282822937331618,0.2119
11,874091655660010,Video,in R2,https://www.facebook.com/ads/library/?id=874091655660010,0.3001
12,1354760609752319,Video,in R2,https://www.facebook.com/ads/library/?id=1354760609752319,0.2122
13,3197124493824638,Video,in R2,https://www.facebook.com/ads/library/?id=3197124493824638,0.2195
14,1391383766354969,Video,in R2,https://www.facebook.com/ads/library/?id=1391383766354969,0.5029
15,1311129607090927,Video,in R2,https://www.facebook.com/ads/library/?id=1311129607090927,0.2163
16,1607879553589187,Video,in R2,https://www.facebook.com/ads/library/?id=1607879553589187,0.2975
17,2204393376963501,Video,in R2,https://www.facebook.com/ads/library/?id=2204393376963501,0.2129
18,1266895682308848,Video,in R2,https://www.facebook.com/ads/library/?id=1266895682308848,0.2188
19,2972791772910738,Video,in R2,https://www.facebook.com/ads/library/?id=2972791772910738,0.1729
20,1449273303357626,Video,in R2,https://www.facebook.com/ads/library/?id=1449273303357626,0.5858
