row_rank,page_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag
1,1,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR00101879854076526593,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR00101879854076526593?region=IN,Image,2026-06-13,"2254,2250,2705,2050,2818,2528,2191,2616,2100,2703,2442,2056,2752,2380,2470,2620,2356,2372,2032,2724,2196,2586,2826,2203,2040,2578,2788,2504,2642,2756,2246,2638,2440,2276,2348,2474,2300,2144,2792",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/4321481351827732291,,2026-06-15,
2,2,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR01799058325942304769,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR01799058325942304769?region=IN,YouTubeVideo,2026-06-14,"2076,2591,2348,2840,2804,2608,2642,2246,2792,2440,2068,2504,2188,2276,2410,2170,2203,2208,2040,2484,2578,2300,2604,2352,2320,2826,2196,2724,2218,2862,2356,2152,2360,2032,2372,2752,2732,2620,2100,2616,2380,2528,2703,2124,2191,2428,2250,2056,2470,2705,2442",0,3,Aprende más con Busuu. Obtén correcciones de otros usuarios. Aprende para la vida real.,Instalar,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
3,3,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR01799058325942304769,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR01799058325942304769?region=IN,YouTubeVideo,2026-06-14,"2076,2591,2348,2840,2804,2608,2642,2246,2792,2440,2068,2504,2188,2276,2410,2170,2203,2208,2040,2484,2578,2300,2604,2352,2320,2826,2196,2724,2218,2862,2356,2152,2360,2032,2372,2752,2732,2620,2100,2616,2380,2528,2703,2124,2191,2428,2250,2056,2470,2705,2442",1,3,Busuu te enseña idiomas,DESCARGAS,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
4,4,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR01799058325942304769,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR01799058325942304769?region=IN,YouTubeVideo,2026-06-14,"2076,2591,2348,2840,2804,2608,2642,2246,2792,2440,2068,2504,2188,2276,2410,2170,2203,2208,2040,2484,2578,2300,2604,2352,2320,2826,2196,2724,2218,2862,2356,2152,2360,2032,2372,2752,2732,2620,2100,2616,2380,2528,2703,2124,2191,2428,2250,2056,2470,2705,2442",2,3,Aprende más con Busuu. Obtén correcciones de otros usuarios. Aprende para la vida real.,Instalar,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
5,5,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR02836618950303809537,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR02836618950303809537?region=IN,Image,2026-06-14,"2356,2724,2840,2124,2250,2348,2642,2380,2056,2616,2300,2620,2276",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/8087489434610434801,,2026-06-15,
6,6,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR03239106211127230465,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR03239106211127230465?region=IN,Image,2026-06-15,"2100,2372,2792,2440,2032,2620,2380,2356,2348,2642,2300,2616,2196,2276,2724,2826,2203,2250,2586,2428,2528,2703",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/5198420201462342691,,2026-06-15,
7,7,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR03579516110598307841,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR03579516110598307841?region=IN,Image,2026-06-14,"2642,2724,2826,2356,2100,2792,2032,2348,2616",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/2648516876297421833,,2026-06-15,
8,8,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR03654745520804462593,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR03654745520804462593?region=IN,Image,2026-06-14,"2703,2100,2528,2276,2440,2792,2616,2191,2638,2348,2474,2540,2804,2642,2608,2586,2203,2756,2175,2372,2504,2442,2704,2233,2752,2356,2458,2380,2032,2566,2300,2196,2705,2724,2076,2360,2254,2056,2258,2250,2428,2050,2620,2524,2012",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/2150038795400981044,,2026-06-15,
9,9,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR03828542025272131585,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR03828542025272131585?region=IN,Image,2026-06-14,"2458,2724,2203,2756,2175,2300,2792,2638,2276,2642,2440,2348,2608,2474,2705,2254,2258,2428,2056,2540,2100,2616,2620,2528,2566,2250,2442,2752,2356,2380,2191,2360",0,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/9752974531506896230/index.html,,2026-06-15,
10,10,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR03828542025272131585,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR03828542025272131585?region=IN,Image,2026-06-14,"2458,2724,2203,2756,2175,2300,2792,2638,2276,2642,2440,2348,2608,2474,2705,2254,2258,2428,2056,2540,2100,2616,2620,2528,2566,2250,2442,2752,2356,2380,2191,2360",1,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/1325915841166894322,,2026-06-15,
11,11,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR03828542025272131585,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR03828542025272131585?region=IN,Image,2026-06-14,"2458,2724,2203,2756,2175,2300,2792,2638,2276,2642,2440,2348,2608,2474,2705,2254,2258,2428,2056,2540,2100,2616,2620,2528,2566,2250,2442,2752,2356,2380,2191,2360",2,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/1325915841166894322,,2026-06-15,
12,12,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR04190672124114894849,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR04190672124114894849?region=IN,Image,2026-06-14,"2124,2356,2840,2076,2642,2616",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/12721730945764734219,,2026-06-15,
13,13,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR04424761448203288577,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR04424761448203288577?region=IN,YouTubeVideo,2026-04-30,"2792,2484,2616,2100,2703,2620,2428,2124,2440,2250,2554,2528,2191,2076,2196,2840,2724,2372,2300,2752,2360,2356,2380,2203,2036,2764,2826,2348,2352,2804,2642,2276",0,3,Gain Independence Through Languages With Busuu&#39;s Easy-To-Follow Lessons. Download Now!,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
14,14,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR04424761448203288577,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR04424761448203288577?region=IN,YouTubeVideo,2026-04-30,"2792,2484,2616,2100,2703,2620,2428,2124,2440,2250,2554,2528,2191,2076,2196,2840,2724,2372,2300,2752,2360,2356,2380,2203,2036,2764,2826,2348,2352,2804,2642,2276",1,3,Gain Independence Through Languages With Busuu&#39;s Easy-To-Follow Lessons. Download Now!,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
15,15,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR04424761448203288577,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR04424761448203288577?region=IN,YouTubeVideo,2026-04-30,"2792,2484,2616,2100,2703,2620,2428,2124,2440,2250,2554,2528,2191,2076,2196,2840,2724,2372,2300,2752,2360,2356,2380,2203,2036,2764,2826,2348,2352,2804,2642,2276",2,3,Gain Independence Through Languages With Busuu&#39;s Easy-To-Follow Lessons. Download Now!,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
16,16,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR05322909959577403393,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR05322909959577403393?region=IN,Image,2026-06-14,"2380,2076,2484,2840,2124,2276,2250,2356,2056,2724,2620,2642,2528",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/7726033272052483081,,2026-06-15,
17,17,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR05925405034102652929,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR05925405034102652929?region=IN,Image,2025-11-20,2356,0,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/1275722104518683084,,2026-06-15,
18,18,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR05925405034102652929,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR05925405034102652929?region=IN,Image,2025-11-20,2356,1,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/1275722104518683084,,2026-06-15,
19,19,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR05925405034102652929,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR05925405034102652929?region=IN,Image,2025-11-20,2356,2,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/1275722104518683084,,2026-06-15,
20,20,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06135470613239693313,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06135470613239693313?region=IN,YouTubeVideo,2026-06-14,"2705,2792,2356,2250,2756,2040,2056,2203,2191,2703,2208,2300,2642,2616,2380,2620,2276,2528,2724,2348,2442,2804",0,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
21,21,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06135470613239693313,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06135470613239693313?region=IN,YouTubeVideo,2026-06-14,"2705,2792,2356,2250,2756,2040,2056,2203,2191,2703,2208,2300,2642,2616,2380,2620,2276,2528,2724,2348,2442,2804",1,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
22,22,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06135470613239693313,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06135470613239693313?region=IN,YouTubeVideo,2026-06-14,"2705,2792,2356,2250,2756,2040,2056,2203,2191,2703,2208,2300,2642,2616,2380,2620,2276,2528,2724,2348,2442,2804",2,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
23,23,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06135470613239693313,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06135470613239693313?region=IN,YouTubeVideo,2026-06-14,"2705,2792,2356,2250,2756,2040,2056,2203,2191,2703,2208,2300,2642,2616,2380,2620,2276,2528,2724,2348,2442,2804",3,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
24,24,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06235048313305956353,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06235048313305956353?region=IN,Image,2026-06-14,"2608,2392,2840,2124,2484,2356,2250,2616",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/10713890122016732029,,2026-06-15,
25,25,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06721449580006735873,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06721449580006735873?region=IN,Image,2026-06-14,"2792,2528,2703,2104,2616,2191,2012,2620,2818,2258,2250,2050,2428,2540,2100,2076,2470,2276,2705,2056,2312,2724,2254,2638,2032,2752,2442,2356,2512,2203,2300,2175,2380,2504,2400,2586,2704,2348,2756,2474,2804,2642,2440",0,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/3391447691026354871,,2026-06-15,
26,26,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06721449580006735873,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06721449580006735873?region=IN,Image,2026-06-14,"2792,2528,2703,2104,2616,2191,2012,2620,2818,2258,2250,2050,2428,2540,2100,2076,2470,2276,2705,2056,2312,2724,2254,2638,2032,2752,2442,2356,2512,2203,2300,2175,2380,2504,2400,2586,2704,2348,2756,2474,2804,2642,2440",1,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/3391447691026354871,,2026-06-15,
27,27,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06800463028199358465,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06800463028199358465?region=IN,YouTubeVideo,2026-06-14,"2704,2356,2504,2756,2040,2348,2144,2578,2826,2246,2276,2792,2682,2440,2008,2703,2528,2616,2012,2840,2470,2076,2100,2620,2250,2398,2056,2724,2442,2752,2380,2214,2070,2458,2404,2360,2788,2410,2300,2208,2352,2586,2498,2203,2368,2608,2764,2484,2804,2642,2050,2428,2191,2674,2705,2254,2818,2196,2032,2372,2233",0,4,Busuu aumenta la tua sicurezza. Impara gratis ed esercitati con i madrelingua.,Installa,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
28,28,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06800463028199358465,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06800463028199358465?region=IN,YouTubeVideo,2026-06-14,"2704,2356,2504,2756,2040,2348,2144,2578,2826,2246,2276,2792,2682,2440,2008,2703,2528,2616,2012,2840,2470,2076,2100,2620,2250,2398,2056,2724,2442,2752,2380,2214,2070,2458,2404,2360,2788,2410,2300,2208,2352,2586,2498,2203,2368,2608,2764,2484,2804,2642,2050,2428,2191,2674,2705,2254,2818,2196,2032,2372,2233",1,4,Scopri le lezioni interattive di Busuu negli scenari di vita reale. Prova subito!,Installa,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
29,29,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06800463028199358465,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06800463028199358465?region=IN,YouTubeVideo,2026-06-14,"2704,2356,2504,2756,2040,2348,2144,2578,2826,2246,2276,2792,2682,2440,2008,2703,2528,2616,2012,2840,2470,2076,2100,2620,2250,2398,2056,2724,2442,2752,2380,2214,2070,2458,2404,2360,2788,2410,2300,2208,2352,2586,2498,2203,2368,2608,2764,2484,2804,2642,2050,2428,2191,2674,2705,2254,2818,2196,2032,2372,2233",2,4,Busuu aumenta la tua sicurezza. Impara gratis ed esercitati con i madrelingua.,Installa,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
30,30,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06800463028199358465,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06800463028199358465?region=IN,YouTubeVideo,2026-06-14,"2704,2356,2504,2756,2040,2348,2144,2578,2826,2246,2276,2792,2682,2440,2008,2703,2528,2616,2012,2840,2470,2076,2100,2620,2250,2398,2056,2724,2442,2752,2380,2214,2070,2458,2404,2360,2788,2410,2300,2208,2352,2586,2498,2203,2368,2608,2764,2484,2804,2642,2050,2428,2191,2674,2705,2254,2818,2196,2032,2372,2233",3,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
31,31,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR07528491286593011713,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR07528491286593011713?region=IN,Image,2026-06-14,"2380,2442,2356,2608,2175,2276,2642,2620,2254,2300,2616,2528,2250,2056,2474,2724,2638",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/16545434174002567686,,2026-06-15,
32,32,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR07531383173972754433,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR07531383173972754433?region=IN,Image,2026-06-14,"2380,2124,2356,2276,2300,2100,2616,2250,2191,2840,2040,2203,2642,2724,2348",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/9614991806555568111,,2026-06-15,
33,33,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR07564755104222412801,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR07564755104222412801?region=IN,Image,2026-06-14,"2578,2756,2826,2203,2196,2586,2300,2276,2642,2440,2144,2348,2246,2840,2050,2100,2616,2528,2191,2752,2250,2056,2380,2442,2372,2356,2620,2470,2724",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/15371302436370383289,,2026-06-15,
