row_rank,page_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag
1,1,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00040292024506646529,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00040292024506646529?region=IN,YouTubeVideo,2026-04-27,2356,0,3,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
2,2,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00040292024506646529,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00040292024506646529?region=IN,YouTubeVideo,2026-04-27,2356,1,3,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
3,3,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00040292024506646529,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00040292024506646529?region=IN,YouTubeVideo,2026-04-27,2356,2,3,ഇന്\u200dസ്റ്റാള്\u200d ചെയ്യുക,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
4,4,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00080860868245454849,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00080860868245454849?region=IN,YouTubeVideo,2026-06-14,"2524,2356,2050,2586,2840,2784",0,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
5,5,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00080860868245454849,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00080860868245454849?region=IN,YouTubeVideo,2026-06-14,"2524,2356,2050,2586,2840,2784",1,4,Start Learning Spoken English,CATEGORY,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
6,6,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00080860868245454849,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00080860868245454849?region=IN,YouTubeVideo,2026-06-14,"2524,2356,2050,2586,2840,2784",2,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
7,7,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00080860868245454849,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00080860868245454849?region=IN,YouTubeVideo,2026-06-14,"2524,2356,2050,2586,2840,2784",3,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
8,8,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00202131314252447745,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00202131314252447745?region=IN,YouTubeVideo,2026-03-27,2356,0,4,Speak English with Pride,CATEGORY,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
9,9,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00202131314252447745,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00202131314252447745?region=IN,YouTubeVideo,2026-03-27,2356,1,4,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
10,10,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00202131314252447745,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00202131314252447745?region=IN,YouTubeVideo,2026-03-27,2356,2,4,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
11,11,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00202131314252447745,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00202131314252447745?region=IN,YouTubeVideo,2026-03-27,2356,3,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
12,12,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00356683599275098113,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00356683599275098113?region=IN,YouTubeVideo,2026-06-15,2356,0,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
13,13,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00356683599275098113,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00356683599275098113?region=IN,YouTubeVideo,2026-06-15,2356,1,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
14,14,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00356683599275098113,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00356683599275098113?region=IN,YouTubeVideo,2026-06-15,2356,2,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
15,15,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00356683599275098113,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00356683599275098113?region=IN,YouTubeVideo,2026-06-15,2356,3,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
16,16,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00374679349036580865,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00374679349036580865?region=IN,YouTubeVideo,2026-04-27,2356,0,3,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
17,17,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00374679349036580865,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00374679349036580865?region=IN,YouTubeVideo,2026-04-27,2356,1,3,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
18,18,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00374679349036580865,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00374679349036580865?region=IN,YouTubeVideo,2026-04-27,2356,2,3,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
19,19,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00426987352007639041,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00426987352007639041?region=IN,YouTubeVideo,2026-01-18,2356,0,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
