row_rank,page_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag
1,1,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR00460064819299483649,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR00460064819299483649?region=IN,Image,2025-10-20,"2208,2300,2458,2704,2392,2586,2410,2036,2578,2764,2203,2040,2826,2348,2156,2792,2276,2246,2344,2608,2642,2050,2702,2616,2191,2620,2124,2100,2528,2250,2056,2470,2724,2840,2752,2158,2380,2356,2360,2372",0,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/15136063618993043816/index.html,,2026-06-22,
2,2,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR00460064819299483649,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR00460064819299483649?region=IN,Image,2025-10-20,"2208,2300,2458,2704,2392,2586,2410,2036,2578,2764,2203,2040,2826,2348,2156,2792,2276,2246,2344,2608,2642,2050,2702,2616,2191,2620,2124,2100,2528,2250,2056,2470,2724,2840,2752,2158,2380,2356,2360,2372",1,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/446634437888131498/index.html,,2026-06-22,
3,3,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR00460064819299483649,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR00460064819299483649?region=IN,Image,2025-10-20,"2208,2300,2458,2704,2392,2586,2410,2036,2578,2764,2203,2040,2826,2348,2156,2792,2276,2246,2344,2608,2642,2050,2702,2616,2191,2620,2124,2100,2528,2250,2056,2470,2724,2840,2752,2158,2380,2356,2360,2372",2,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/10811125463154539907/index.html,,2026-06-22,
4,4,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR00719391405578911745,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR00719391405578911745?region=IN,Image,2026-06-21,"2470,2840,2702,2344,2792,2276,2246,2620,2642,2764,2040,2036,2203,2826,2348,2608,2300,2410,2392,2208,2458,2704,2752,2372,2360,2380,2356,2724,2158,2056,2616,2250,2528,2124",0,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/1558210597998230755,,2026-06-22,
5,5,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR00719391405578911745,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR00719391405578911745?region=IN,Image,2026-06-21,"2470,2840,2702,2344,2792,2276,2246,2620,2642,2764,2040,2036,2203,2826,2348,2608,2300,2410,2392,2208,2458,2704,2752,2372,2360,2380,2356,2724,2158,2056,2616,2250,2528,2124",1,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/1558210597998230755,,2026-06-22,
6,6,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR00719391405578911745,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR00719391405578911745?region=IN,Image,2026-06-21,"2470,2840,2702,2344,2792,2276,2246,2620,2642,2764,2040,2036,2203,2826,2348,2608,2300,2410,2392,2208,2458,2704,2752,2372,2360,2380,2356,2724,2158,2056,2616,2250,2528,2124",2,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/1558210597998230755,,2026-06-22,
7,7,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR01089078327580295169,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR01089078327580295169?region=IN,Image,2025-07-29,"2380,2608,2203,2840,2250,2392,2528,2056,2616,2764,2704,2360,2356,2276,2246,2348,2724",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/8979459366137136977/index.html,,2026-06-22,
8,8,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR01428209546567876609,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR01428209546567876609?region=IN,YouTubeVideo,2026-01-13,"2442,2788,2686,2300,2352,2392,2208,2203,2266,2764,2608,2020,2036,2178,2834,2642,2710,2638,2484,2170,2818,2384,2124,2191,2428,2705,2480,2254,2258,2540,2784,2196,2372,2120,2032,2466,2233,2356,2450,2312,2704,2204,2175,2324,2132,2578,2756,2040,2348,2504,2768,2826,2492,2246,2792,2440,2474,2276,2682,2116,2702,2376,2470,2008,2100,2012,2840,2076,2528,2616,2620,2663,2724,2703,2056,2250,2380,2752,2214,2360",0,5,,,,,,,,,,,,,,2026-06-22,html5-banner-no-mp4
9,9,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR01428209546567876609,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR01428209546567876609?region=IN,YouTubeVideo,2026-01-13,"2442,2788,2686,2300,2352,2392,2208,2203,2266,2764,2608,2020,2036,2178,2834,2642,2710,2638,2484,2170,2818,2384,2124,2191,2428,2705,2480,2254,2258,2540,2784,2196,2372,2120,2032,2466,2233,2356,2450,2312,2704,2204,2175,2324,2132,2578,2756,2040,2348,2504,2768,2826,2492,2246,2792,2440,2474,2276,2682,2116,2702,2376,2470,2008,2100,2012,2840,2076,2528,2616,2620,2663,2724,2703,2056,2250,2380,2752,2214,2360",1,5,,,,,,,,,,,,,,2026-06-22,html5-banner-no-mp4
10,10,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR01428209546567876609,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR01428209546567876609?region=IN,YouTubeVideo,2026-01-13,"2442,2788,2686,2300,2352,2392,2208,2203,2266,2764,2608,2020,2036,2178,2834,2642,2710,2638,2484,2170,2818,2384,2124,2191,2428,2705,2480,2254,2258,2540,2784,2196,2372,2120,2032,2466,2233,2356,2450,2312,2704,2204,2175,2324,2132,2578,2756,2040,2348,2504,2768,2826,2492,2246,2792,2440,2474,2276,2682,2116,2702,2376,2470,2008,2100,2012,2840,2076,2528,2616,2620,2663,2724,2703,2056,2250,2380,2752,2214,2360",2,5,,,,,,,,,,,,,00:00,2026-06-22,html5-banner-no-mp4
