row_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag,r2_public_url,first_scrape_run_date,latest_scrape_run_date,competitor_analysis_docx_r2_url,supernova_rewrite_docx_r2_url,competitor_analysis_image_r2_urls,supernova_rewrite_image_r2_urls
1,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR00035075571977289729,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR00035075571977289729?region=IN,YouTubeVideo,2025-06-05,"2620,2191,2250,2840,2484,2724,2356,2616,2300,2380,2372,2276",0,3,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
2,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR00035075571977289729,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR00035075571977289729?region=IN,YouTubeVideo,2025-06-05,"2620,2191,2250,2840,2484,2724,2356,2616,2300,2380,2372,2276",1,3,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
3,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR00035075571977289729,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR00035075571977289729?region=IN,YouTubeVideo,2025-06-05,"2620,2191,2250,2840,2484,2724,2356,2616,2300,2380,2372,2276",2,3,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
4,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR00914879719684440065,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR00914879719684440065?region=IN,YouTubeVideo,2026-04-10,"2196,2578,2840,2250,2124,2036,2300,2616,2203,2504,2484,2703,2442,2440,2826,2752,2372,2642,2356,2620,2724,2348",0,5,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
5,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR00914879719684440065,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR00914879719684440065?region=IN,YouTubeVideo,2026-04-10,"2196,2578,2840,2250,2124,2036,2300,2616,2203,2504,2484,2703,2442,2440,2826,2752,2372,2642,2356,2620,2724,2348",1,5,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
6,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR00914879719684440065,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR00914879719684440065?region=IN,YouTubeVideo,2026-04-10,"2196,2578,2840,2250,2124,2036,2300,2616,2203,2504,2484,2703,2442,2440,2826,2752,2372,2642,2356,2620,2724,2348",2,5,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
7,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR00914879719684440065,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR00914879719684440065?region=IN,YouTubeVideo,2026-04-10,"2196,2578,2840,2250,2124,2036,2300,2616,2203,2504,2484,2703,2442,2440,2826,2752,2372,2642,2356,2620,2724,2348",3,5,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
8,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR00914879719684440065,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR00914879719684440065?region=IN,YouTubeVideo,2026-04-10,"2196,2578,2840,2250,2124,2036,2300,2616,2203,2504,2484,2703,2442,2440,2826,2752,2372,2642,2356,2620,2724,2348",4,5,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
9,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR01084621637585731585,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR01084621637585731585?region=IN,Image,2026-06-04,"2124,2616,2620,2818,2428,2642,2191,2703,2484,2276,2792,2170,2348,2608,2756,2440,2826,2036,2392,2040,2578,2410,2203,2300,2208,2704,2152,2356,2360,2380,2032,2233,2752,2372,2196,2724,2442,2056,2250,2705,2528,2840,2076,2100",0,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/13156060863032764749,,2026-06-04,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR01084621637585731585.jpg,2026-06-03,2026-06-05,,,,
10,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR01084621637585731585,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR01084621637585731585?region=IN,Image,2026-06-04,"2124,2616,2620,2818,2428,2642,2191,2703,2484,2276,2792,2170,2348,2608,2756,2440,2826,2036,2392,2040,2578,2410,2203,2300,2208,2704,2152,2356,2360,2380,2032,2233,2752,2372,2196,2724,2442,2056,2250,2705,2528,2840,2076,2100",1,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/13156060863032764749,,2026-06-04,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR01084621637585731585.jpg,2026-06-03,2026-06-05,,,,
