row_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag,r2_public_url,first_scrape_run_date,latest_scrape_run_date,competitor_analysis_docx_r2_url,supernova_rewrite_docx_r2_url,competitor_analysis_image_r2_urls,supernova_rewrite_image_r2_urls,page_rank
352,SpeakX,AR02221466555617640449,Ivypods Technology Pvt. Ltd,India,IN,CR13952643204600823809,https://adstransparency.google.com/advertiser/AR02221466555617640449/creative/CR13952643204600823809?region=IN,YouTubeVideo,2026-05-25,2356,0,4,Some controls cannot be shown due to the small ad.You can see it in fullscreen mode.,,,,,mPx0ccxP9ag,https://www.youtube.com/watch?v=mPx0ccxP9ag,,,,,,,2026-07-13,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR13952643204600823809.mp4,2026-05-30,2026-07-13,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR13952643204600823809_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR13952643204600823809_supernova_rewrite.docx,"[{""type"":""original_frame"",""r2_url"":""https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR13952643204600823809_img_orig_01.jpg"",""scene_n"":1},{""type"":""original_frame"",""r2_url"":""https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR13952643204600823809_img_orig_02.jpg"",""scene_n"":2},{""type"":""original_frame"",""r2_url"":""https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR13952643204600823809_img_orig_03.jpg"",""scene_n"":3},{""type"":""clean_panel"",""r2_url"":""https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR13952643204600823809_img_panel_01_full.jpg"",""scene_n"":1,""position"":""full""},{""type"":""clean_panel"",""r2_url"":""https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR13952643204600823809_img_panel_02_full.jpg"",""scene_n"":2,""position"":""full""},{""type"":""clean_panel"",""r2_url"":""https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR13952643204600823809_img_panel_03_full.jpg"",""scene_n"":3,""position"":""full""},{""type"":""character_sheet"",""r2_url"":""https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR13952643204600823809_img_char_A.jpg"",""character_id"":""A""},{""type"":""character_sheet"",""r2_url"":""https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR13952643204600823809_img_char_B.jpg"",""character_id"":""B""},{""type"":""character_sheet"",""r2_url"":""https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR13952643204600823809_img_char_C.jpg"",""character_id"":""C""}]","[{""type"":""clean_panel"",""r2_url"":""https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR13952643204600823809_img_panel_01_full.jpg"",""scene_n"":1,""position"":""full""},{""type"":""clean_panel"",""r2_url"":""https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR13952643204600823809_img_panel_02_full.jpg"",""scene_n"":2,""position"":""full""},{""type"":""clean_panel"",""r2_url"":""https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR13952643204600823809_img_panel_03_full.jpg"",""scene_n"":3,""position"":""full""}]",352
353,SpeakX,AR02221466555617640449,Ivypods Technology Pvt. Ltd,India,IN,CR13952643204600823809,https://adstransparency.google.com/advertiser/AR02221466555617640449/creative/CR13952643204600823809?region=IN,YouTubeVideo,2026-05-25,2356,1,4,Some controls cannot be shown due to the small ad.You can see it in fullscreen mode.,,,,,PCuNWnRa9KQ,https://www.youtube.com/watch?v=PCuNWnRa9KQ,,,,,,,2026-07-13,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR13952643204600823809.mp4,2026-05-30,2026-07-13,,,,,353
354,SpeakX,AR02221466555617640449,Ivypods Technology Pvt. Ltd,India,IN,CR13952643204600823809,https://adstransparency.google.com/advertiser/AR02221466555617640449/creative/CR13952643204600823809?region=IN,YouTubeVideo,2026-05-25,2356,2,4,Some controls cannot be shown due to the small ad.You can see it in fullscreen mode.,,,,,jF46f5X4ccA,https://www.youtube.com/watch?v=jF46f5X4ccA,,,,,,,2026-07-13,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR13952643204600823809.mp4,2026-05-30,2026-07-13,,,,,354
355,SpeakX,AR02221466555617640449,Ivypods Technology Pvt. Ltd,India,IN,CR13952643204600823809,https://adstransparency.google.com/advertiser/AR02221466555617640449/creative/CR13952643204600823809?region=IN,YouTubeVideo,2026-05-25,2356,3,4,,,,,,,,,,,,,,2026-07-13,html5-banner-no-mp4,,2026-05-30,2026-07-13,,,,,355
58,SpeakX,AR02221466555617640449,Ivypods Technology Pvt. Ltd,India,IN,CR02580772670513610753,https://adstransparency.google.com/advertiser/AR02221466555617640449/creative/CR02580772670513610753?region=IN,YouTubeVideo,2026-06-05,2356,0,6,इंस्टॉल करें,,,,,,,,,,,,00:00,2026-07-13,html5-banner-no-mp4,,2026-05-30,2026-07-13,,,,,58
59,SpeakX,AR02221466555617640449,Ivypods Technology Pvt. Ltd,India,IN,CR02580772670513610753,https://adstransparency.google.com/advertiser/AR02221466555617640449/creative/CR02580772670513610753?region=IN,YouTubeVideo,2026-06-05,2356,1,6,इंस्टॉल करें,,,,,,,,,,,,00:00,2026-07-13,html5-banner-no-mp4,,2026-05-30,2026-07-13,,,,,59
60,SpeakX,AR02221466555617640449,Ivypods Technology Pvt. Ltd,India,IN,CR02580772670513610753,https://adstransparency.google.com/advertiser/AR02221466555617640449/creative/CR02580772670513610753?region=IN,YouTubeVideo,2026-06-05,2356,2,6,इंस्टॉल करें,,,,,,,,,,,,00:00,2026-07-13,html5-banner-no-mp4,,2026-05-30,2026-07-13,,,,,60
61,SpeakX,AR02221466555617640449,Ivypods Technology Pvt. Ltd,India,IN,CR02580772670513610753,https://adstransparency.google.com/advertiser/AR02221466555617640449/creative/CR02580772670513610753?region=IN,YouTubeVideo,2026-06-05,2356,3,6,Speak freely. AI corrects privately - no judgment. Build fluency for work and interviews.,,,,,,,,,,,,00:00,2026-07-13,html5-banner-no-mp4,,2026-05-30,2026-07-13,,,,,61
62,SpeakX,AR02221466555617640449,Ivypods Technology Pvt. Ltd,India,IN,CR02580772670513610753,https://adstransparency.google.com/advertiser/AR02221466555617640449/creative/CR02580772670513610753?region=IN,YouTubeVideo,2026-06-05,2356,4,6,,,,,,,,,,,,,,2026-07-13,html5-banner-no-mp4,,2026-05-30,2026-07-13,,,,,62
404,SpeakX,AR02221466555617640449,Ivypods Technology Pvt. Ltd,India,IN,CR15658730589689741313,https://adstransparency.google.com/advertiser/AR02221466555617640449/creative/CR15658730589689741313?region=IN,YouTubeVideo,2026-07-12,2356,0,5,,,,,,,,,,,,,00:00,2026-07-13,html5-banner-no-mp4,,2026-05-30,2026-07-13,,,,,404
